keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Medical Malpractice Lawyer Chicago,1,https://ankinlaw.com/medical-malpractice/,40,37,1,93946,9257,2762,80,0,62,17,71,3.0,True,Chicago Medical Malpractice Lawyer - Ankin Law Offices,True,1,['Chicago Medical Malpractice Lawyer'],[True],10,"['Top Medical Malpractice Lawyer On Your Side', 'Common Examples of Medical Negligence Seen by Chicago Medical Malpractice Law Firms', 'Illinois Medical Malpractice Lawsuits', 'Types of Medical Malpractice Claims and Lawsuits', 'A Chicago Medical Malpractice Attorney Can Help You Recover', 'Why File a Medical Malpractice Claim?', 'Our Medical Malpractice Lawyers in Chicago Have the Answers to Clients’ FAQ’s', 'Personal Injury Videos', 'Our Chicago Medical Malpractice Attorneys', 'Latest posts:']","[True, True, True, True, True, True, True, False, True, False]",12,"['Our Medical Malpractice Attorneys Have Recovered Hundreds of Millions of Dollars on Behalf of Our Clients', 'Who Can Be Held Liable in Medical Malpractice Claims and Lawsuits?', 'Requirements for a Successful Medical Malpractice Lawsuit', 'How much will a medical malpractice lawsuit cost me?', 'How long do medical malpractice lawsuits usually take?', 'How much money can I recover for my injuries?', 'How do I know if I have a medical malpractice case?', 'How long do I have to file a claim with medical malpractice lawyers in Illinois?', 'What Should I Do If I Have Been Injured By A Medical Professional?', 'Can I Sue for Anesthesia Complications?', 'Top 3 Reasons to Sue a Dentist for Malpractice', 'Should I File a Medical Malpractice Lawsuit for Brachial Plexus Injuries?']","[True, True, True, True, True, False, True, True, False, False, False, True]",47,"['NO ALT', 'Polski', 'Polski', 'Español', 'Español', 'Ankin Law logotype', 'Ankin Law logotype', 'Polski', 'Polski', 'Español', 'Español', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'doctor Injecting anesthesia', 'doctor Injecting anesthesia', 'Ankin Law Office', 'Ankin Law Office', 'Dental instruments on blue.', 'Dental instruments on blue.', 'Ankin Law Office', 'Ankin Law Office', 'gavel and stethoscope', 'gavel and stethoscope', 'Ankin Law Office', 'Ankin Law Office', '', '', 'Ankin Law logotype', 'Ankin Law logotype', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,2,https://www.levinperconti.com/medical-malpractice/,37,33,3,707000,13864,3204,0,0,104,10,23,72.0,True,Chicago Medical Malpractice Lawyer | Levin & Perconti﻿,True,1,['Chicago Medical Malpractice Lawyer'],[True],15,"['Real Results: Battling Medical Malpractice', 'Facts About Levin & Perconti:', 'Why is There so Much Medical Malpractice?', 'Medical Malpractice: A Scenario', 'What Qualifies as Medical Malpractice?', 'Proving Medical Malpractice in Illinois', 'Things to Keep in Mind About Medical Malpractice', 'How Does Levin & Perconti Help?', 'Levin & Perconti Will:', 'Medical Malpractice: A Challenging Battle', 'What Kind of Payout can I Expect?', 'Medical Malpractice Cases won by Levin & Perconti', 'Take Action Against Medical Malpractice', 'Frequently Asked Questions (FAQs)', 'Testimonials']","[True, False, True, True, True, True, True, False, False, True, False, True, True, False, False]",10,"['Quick Links', '$17.7 million', '$14 million', '$7.62 million', 'Contact Us', 'Related Pages', 'Notable Results', 'FAQs', 'Our Office', 'Local Communities']","[False, False, False, False, False, False, False, False, False, False]",18,"['levin & perconti logo', 'levin & perconti logo', 'Team of doctors during surgery', 'Team of doctors during surgery', 'Doctor with people behind', 'Doctor with people behind', 'M.R.Z.,', 'M.R.Z.,', 'W.R., ', 'W.R., ', 'Kathy and Ron', 'Kathy and Ron', 'W.R., ', 'W.R., ', 'D.G., ', 'D.G., ', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,3,https://www.salvilaw.com/medical-malpractice/,43,39,1,51017,9488,4135,0,0,46,15,34,17.0,True,"Chicago Medical Malpractice Lawyer - Salvi, Schostok & Pritchard P.C.",True,1,['Chicago Medical Malpractice Lawyer'],[True],12,"['What Is Medical Malpractice?', 'How Can Our Experienced Lawyers Help You With Your Claim?', 'Medical Malpractice FAQs', 'Medical Malpractice', 'How Does a Medical Malpractice Claim Work?', '', 'What Should You Do If You Believe You Are a Victim of Medical Negligence?', 'Other Common Causes of Medical Malpractice Include:', 'How Long Do You Have to File a Medical Malpractice Claim in Illinois?', 'What Can You Recover in a Medical Negligence Claim?', 'Contact an Attorney Today', 'Common Medical Malpractice Cases']","[True, False, True, True, True, False, False, True, True, False, False, True]",23,"['You trusted a professional with your health or your loved one’s health. However, something went terribly wrong.', 'Not all negative outcomes are the result of medical malpractice. Malpractice occurs only when a medical professional fails to adhere to an applicable standard of medical care, and an injury or death occurs as a result.', 'Can I make a malpractice claim for every medical mistake?', 'How can I know if I have been the victim of medical malpractice?', 'Who can I sue for medical malpractice?', 'How can I make a claim for medical malpractice?', 'What do I need to prove in a medical malpractice lawsuit?', 'What should I expect after I have filed my medical malpractice claim?', 'What are some of the challenges I will face in my medical malpractice case?', 'What kinds of compensation can I expect to recover in a medical malpractice lawsuit?', 'What are my rights if a family member died because of medical malpractice?', 'How much do attorneys charge to help clients in medical malpractice cases?', 'DENTAL MALPRACTICE', 'TYPES OF MEDICAL MALPRACTICE & NEGLIGENCE', 'MISDIAGNOSIS', 'BIRTH INJURIES', 'ANESTHESIA ERRORS', 'SURGICAL ERRORS', 'EMERGENCY ROOM ERRORS', 'MEDICATION ERRORS', 'RADIOLOGY ERRORS', 'BOWEL INJURY', 'MENINGITIS']","[False, True, False, True, True, True, True, True, True, True, True, True, False, True, False, False, False, False, False, False, False, False, False]",30,"['Salvi, Schostok & Pritchard P.C. Personal Injury Lawyers', 'Patrick A. Salvi', 'https://www.salvilaw.com/wp-content/uploads/2018/11/video02.jpg', 'Jennifer Cascio, Jennifer Ashley, Thomas Mulroy III, Jaclyn Kurth, and Lance Nothcutt', '', 'NEVER EVENTS', 'BIRTH INJURIES', 'HOSPITAL INFECTIONS', 'FAILURE TO MONITOR', 'GENETIC TESTING MALPRACTICE', 'DENTAL MALPRACTICE', '', '', 'BIRTH INJURIES', 'ANESTHESIA ERRORS', 'SURGICAL ERRORS', '', '', 'RADIOLOGY ERRORS', 'BOWEL INJURY', 'MENINGITIS', 'Top Abogados de Accidentes de Auto in Chicago', 'Top Personal Injury Lawyer in Waukegan', '', 'Super Lawyers Top 10 Illinois', 'Patrick A. Salvi - Lawyer of the Year', 'The National Trial Lawyers', 'Avvo Rating 10.0', 'Salvi Schostok & Pritchard P C BBB Business Review', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,4,https://www.powerrogers.com/medical-malpractice/,29,29,1,95482,1849,2414,158,70,40,8,17,10.0,True,Chicago Medical Malpractice Attorney | Medical Negligence Lawyer,True,1,['Attorneys Fighting For Victims Of Medical Negligence Across Illinois'],[False],18,"['We Are Leaders In Illinois Medical Malpractice Law', 'Filing A Medical Malpractice Claim: What You Need To Know', 'Proving Medical Negligence: Four Important Elements', 'Statute Of Limitations For Medical Malpractice In Illinois', 'Who Can You Sue For Medical Malpractice?', 'Your Right To A Recovery Of Damages', 'Medical Malpractice Checklist: What Documents Will You Need?', 'Do You Need A Medical Malpractice Lawyer?', 'Contact Us Today To Request A Free Consultation', 'Practice Areas', '$95,477,464', '$40,000,000', '$38,250,000', '$35,000,000', '$33,400,000', '$10,000,000', 'Get The RepresentationYou Need', 'Chicago Office']","[True, True, False, True, True, False, True, True, False, False, False, False, False, False, False, False, False, False]",1,['What Qualifies As Medical Malpractice?'],[True],16,"['Power Rogers, LLP', 'Power Rogers, LLP', '', '', 'Best Lawyers | Best Law Firms | U.S News & World Report | 2023', 'The Inner Circle Of Advocates', 'American College Of Trial Lawyers', 'The Best Lawyers In America', 'Law Dragon', 'Illinois Super Lawyers Top 10 Lawyer', 'Salus Populi Suprema Lex Esto', 'Top 10 Jury Verdicts All Practice Areas Illinois 2018', 'Top 10 Settlements Medical Malpractice United States 2018', 'International Society Of Barristers', 'Power Rogers, LLP', 'Power Rogers, LLP Group Photo']","[False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,5,https://www.briskmanandbriskman.com/practice-areas/medical-malpractice/,30,32,2,133910,3019,5592,26,0,41,19,42,57.0,True,Chicago Medical Malpractice Attorney - Free Consultation | Briskman Briskman & Greenberg,True,1,['Speak With a Knowledgeable Chicago Medical Malpractice Attorney Today'],[True],6,"['Chicago Medical Malpractice Attorneys', 'We Treat You With Respect', 'Damages in a Chicago Medical Malpractice Lawsuit', 'How Long Do I Have to Bring a Chicago Medical Malpractice Lawsuit?', 'Our focus is on family', 'THERE IS NO FEE UNLESS WE WIN YOUR CASE']","[True, False, True, True, False, False]",3,"['Abogados de negligencia médica en Chicago', 'We Handle Medical Malpractice Cases At Hospitals Throughout Illinois', 'Contact Us']","[False, True, False]",11,"['', 'Malpractice Feature 1', 'Malpractice Feature 2', 'Malpractice Feature 3', 'Malpractice Feature 4', '', '', 'Chicago Injury Alert by Briskman Briskman & Greenberg', 'Custom Legal Marketing | Law Firm SEO That Works', '', '']","[False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,6,https://www.cliffordlaw.com/medical-malpractice/,49,35,1,505603,12336,2174,93,108,32,10,29,133.0,True,Chicago Medical Malpractice Lawyer,True,1,['Chicago Medical Malpractice Attorneys'],[True],4,"['What Is Malpractice, and What Should You Do About It?', 'The Causes of Medical Malpractice', 'Elements of a Medical Malpractice Claim', 'Our Medical Negligence Practice']","[False, True, True, False]",1,['Our Multi-Million-Dollar Medical Malpractice Case Results'],[True],16,"['NO ALT', 'logo', 'logo-mobile', 'NO ALT', 'Best Lawyers Medical Malpractice 2023', 'Clifford Law Offices Best Medical Malpractice Lawyers in Chicago 2023 by Expertise', '2020-no_1-medical-malpractice-settlement-il-clifford-law', 'Easton AT100_Med Malp Lit_2022', 'Easton AT100_High Stakes Lit_2022', 'Footer Background', 'Footer Background Tablet', 'Footer Mobile', 'Clifford Law Offices', 'NO ALT', 'iLawyer Marketing Logo', '']","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,7,https://zayedlawoffices.com/chicago-medical-malpractice-lawyer/,31,32,1,48389,1264,4413,0,56,71,67,106,16.0,True,Chicago Medical Malpractice Lawyer | Zayed Law Offices,True,1,['Chicago Medical Malpractice Lawyers'],[True],13,"['Chicago Medical Malpractice Guide', 'About Our Firm', 'What Is Medical Malpractice?', 'Top Causes of Medical Malpractice Lawsuits in Chicago', 'The Types of Monetary Damages You Can Fight for Following a Medical Malpractice Incident in Chicago', 'How Much Money Can You Obtain in a Medical Malpractice Lawsuit?', 'The Time It Takes for a Medical Malpractice Case to Resolve in Chicago', 'Who Is Responsible for Medical Malpractice in Chicago?', 'The Local Issues Impacting Medical Malpractice Cases in Chicago', 'Dealing With the Insurance Company After a Chicago Medical Malpractice Incident', 'Helping Your Legal Claim Following a Chicago Medical Malpractice Incident', 'Get Help From Zayed Law Offices and Fight for the Justice You Deserve After a Chicago Medical Malpractice Incident', 'Looking for an experienced Chicago Medical Malpractice Attorney?']","[True, False, True, True, True, True, True, True, True, True, True, True, True]",35,"['PRACTICE AREAS', 'Connect with one of our experienced trial attorneys', 'RECENT VERDICTS', 'How Much Should You Ask for in a Car Accident Settlement?', 'Should I Take the First Offer for a Car Accident Settlement?', '$ 2.12 M', '$ 1.77 M', 'LOCATIONS', 'The Adequate Standard of Care was Not Provided', 'An Injury Occurred Because of the Health Care Professional’s Negligence', 'You Suffered Substantial Financial Damages', 'Not All Medical Mistakes Constitute Malpractice', 'Get Another Doctor to Examine You', 'Get All of Your Medical Records', 'Do Not Discuss Your Malpractice With Anyone Else', 'Talk to Your Attorney After the Accident', 'Zayed Law Offices', 'Birth Injuries Birth injuries can be caused by natural complications. However, many birth injuries are caused because of mistakes made by medical professionals involved in the delivery. An experienced malpractice attorney should be consulted if you suspect that birth injuries were caused by medical mistake.', 'Nursing Home Injuries It is then beyond appalling when you discover that your family member has suffered neglect or abuse at the hands of the nursing home staff. These offenses can range from outright physical abuse, to the patient simply not getting the care to which they are entitled. A qualified lawyer can help you assess your case and provide best options for moving forward in your lawsuit.', 'Brain Injuries The leading causes of traumatic brain injuries are serious personal injury accidents such as car accidents, truck accidents, and highway accidents. However, serious brain injuries can also result from medical malpractice, slip-and-fall injuries, and construction accidents; including falls from scaffolding and electrocution.', 'Hospital Malpractice The investigation process is one of the most important steps involved in establishing a case for hospital negligence. Our highly skilled team has the resources, technology and tools available to determine the tests that should have been ordered and how the proper diagnosis should have been determined.', 'Surgical Errors In the event of a personal injury due to surgical error, nothing can fully restore you to your position prior to your accident. However, a Chicago personal attorney will ensure that you receive maximum compensation for your loss. An attorney will also ensure that you receive the financial resources you will need, now and in the future.', 'Bile Duct Injuries If a surgeon severs a bile duct during surgery, a patient can experience excruciating pain and other various medical conditions. A patient will likely be forced to undergo numerous future surgical operations to repair the severed bile duct and drain the bile as a result of a surgeon’s negligence. Gallstones, small and hard crystallized bits of cholesterol and bile salts, can form in the gallbladder or in the bile duct and block the flow of bile to the intestinal track. This causes the gallbladder to swell and results in excruciating abdominal pain. The recommended method to relieve this severe pain is to undergo gallbladder removal surgery.', 'Anesthesia Malpractice The effects of improper application of anesthesia can be devastating. The range of effects is anywhere from brain damage, to paralysis, to wrongful death. An experienced medical malpractice attorney will be able to marshal the facts of your case in order to command insurance companies to pay you or your family member the compensation you deserve.', 'Failure to Diagnose A misdiagnosis or a delayed diagnosis can be disastrous, especially in conditions involving cancer or heart disease. It can lower the quality of a life and can even lead to death. If you or a family member has been injured as a result of a doctor’s failure to properly diagnose a medical condition, contact a medical malpractice attorney right away.', 'Broken Bones / Orthopedic Injuries A fracture occurs when a force is applied to a bone that is stronger than the bone itself. Risk of fracture depends in part on age. While children are very susceptible to fractures of a less serious nature, the elderly are prone to serious fractures because our bones become more brittle as we age. If the accident that caused your broken bone(s) was caused by the negligence of another person, you may be entitled to compensation.', 'Medication Errors As a patient, your health can suffer drastically as the result of not receiving proper treatment. Proper medical treatment involves not only being appropriately diagnosed, but receiving the appropriate type and amount of medication. If the underlying cause of your illness or injury is not properly determined, then the appropriate course for treatment cannot be fully implemented. Regardless of where the error in communication occurred, a medical malpractice attorney can represent your interests.', 'Lacerations, Scars, and Burns As a patient, your health can suffer drastically as the result of not receiving proper treatment. Proper medical treatment involves not only being appropriately diagnosed, but receiving the appropriate type and amount of medication. If the underlying cause of your illness or injury is not properly determined, then the appropriate course for treatment cannot be fully implemented. Regardless of where the error in communication occurred, our medical malpractice attorney can represent your interests.', 'JOLIET 815.726.1616', 'WHEATON 630.690.1919', 'ROCKFORD 815.205.1519', 'PEORIA 309.518.1413', 'AURORA 630.348.9513', 'CHICAGO 312.726.1616', 'BLOOMINGTON309.955.5044']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, True, False, True, True, False, False, False, False, False, False, False]",15,"['injury attorney chicago', 'medical malpractice attorney', 'How Much Should You Ask for in a Car Accident Settlement?', 'Adam Zayed', 'Should I Take the First Offer for a Car Accident Settlement?', 'Adam Zayed', 'badge', '', 'Adam J Zayed, Founder & Trial Attorney', 'Zayed Logo', 'chicago injury lawyer', 'A C', ""Mikey's Moving and Delivery"", 'jj', 'chicago injury lawyer']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Chicago,8,https://www.corboydemetrio.com/practices-medical-malpractice,48,29,1,938510,8370,3681,16,25,66,69,79,3.0,True,Chicago Medical Malpractice Attorneys | Corboy & Demetrio,True,1,['Chicago Medical Malpractice Attorneys'],[True],9,"['Overview', 'Professionals', 'Successes', 'Successes', 'Media Center', 'News', 'Attorney-Authored Articles', 'Major Media Coverage', 'Multimedia']","[False, False, False, False, False, False, False, False, False]",0,[],[],18,"['NO ALT', 'Corboy & Demetrio', 'NO ALT', 'NO ALT', 'Search', 'NO ALT', '{ Banner Image }', '', '', '', '1982 Tylenol Cyanide Deaths & The Legacy of Lawsuits', 'Type the following characters: three, whisky, tango, november', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer Chicago,9,https://www.chicagomedicalmalpracticefirm.com/,17,31,2,7001,3430,1762,0,0,14,13,17,10.0,True,Chicago Medical Malpractice Lawyer | Illinois Personal Injury Attorney | Goldberg & Goldberg,True,1,"['The Largest Personal Injury Verdict in Illinois History: $127,000,000']",[False],0,[],[],0,[],[],11,"['Logo of Law Offices of Goldberg & Goldberg', 'Group Picture of Goldberg & Goldberg', 'Facebook Icon', 'Twitter Icon', 'Justia Icon', 'In the Media', 'Rated by Super Lawyers', 'Leading Lawyers Network', 'The National Trial Lawyers', 'American Association for Justice', 'Contact Form']","[False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer Chicago,10,https://www.chicagomalpracticeteam.com/,19,26,2,13986,774,985,216,81,14,15,6,31.0,True,Chicago Medical Malpractice Attorneys,True,1,['Chicago Medical Malpractice Attorneys'],[True],3,"['A Chicago Law Firm Dedicated to the Best Results for Medical Malpractice Victims', 'Our Commitment to Our Clients Shows up in Everything We Do', 'Call Today if You or Your Loved One Has Been Harmed by Medical Malpractice in Chicago']","[True, False, True]",0,[],[],26,"['Switch to ADA Accessible Theme', 'Chicago Medical Malpractice Attorneys', 'Video Preview', '', '', 'Facebook', 'Twitter', 'LinkedIn', 'Video Preview', 'Video Preview', 'Video Preview', 'Practice Areas', 'Best Law Firms', ""America's Top 100"", 'Top 100 Trial Lawyers', 'Top 40 Under 40', 'Multi-Million Dollar Advocates Forum', 'Super Lawyers', 'American Association for Justice', 'Maryland Association for Justice', 'Baltimore', 'Chicago Medical Malpractice Lawyer', 'Facebook', 'Twitter', 'LinkedIn', 'MileMark Media - Practice Growth Solutions']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",True,False
