keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Motorcycle Accident Lawyer Chicago,1,https://www.kryderlaw.com/chicago-motorcycle-accident-lawyer/,29,27,4,6122,2346,2253,256,296,46,27,26,3,True,Chicago Motorcycle Accident Lawyers | Motorbike Crash Attorney,True,1,['Chicago Motorcycle Accident Lawyer'],[True],11,"['What to Do After a Motorcycle Accident', 'What Is the Average Payout for a Motorcycle Accident?', 'What Your Motorcycle Accident Case May Be Worth', 'Motorcycle Accidents and Wrongful Death', 'Motorcycle Helmet Laws', 'Why Are Motorcycle Accidents So Common?', 'When to Hire Chicago Motorcycle Accident Attorneys', 'Can I Afford a Motorcycle Accident Lawyer?', 'Reach Out to a Motorcycle Accident Attorney', 'Do I have a case?', 'Settlements & Verdicts']","[True, True, True, True, False, True, True, True, True, False, False]",7,"['Example Settlements and Verdicts from The Kryder Law Group', 'Examples of Compensation for Chicago Motorcycle Accidents', 'Examples of Compensation for Wrongful Death Motorcycle Accident Victims', 'Other Drivers Fail to See Motorcycles', 'Motorcycle Riders Can Be Reckless', 'Motorcycle Riders Are Aging', 'What will I get in my free consultation?']","[False, True, True, False, False, False, False]",16,"['serach', 'The Kryder Law Group, LLC Accident and Injury Lawyers', 'Search', 'What Is a Motorcycle Accident Case Worth Infographic', 'traffic accident between a motorcycle and a car', 'Phone', 'Fax', 'Address', 'Award Logo', 'Award Logo', 'Award Logo', 'Award Logo', 'Award Logo', 'Phone', 'The Kryder Law Group, LLC Accident and Injury Lawyers', 'Cleantalk Pixel']","[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,2,https://www.horwitzlaw.com/motorcycle-accident-lawyer/,33,23,1,142908,3372,2062,86,117,30,20,21,190,True,Chicago Motorcycle Accident Lawyer,True,1,['Chicago Motorcycle Accident Attorney'],[True],8,"['How Can a Chicago Motorcycle Accident Lawyer Help Your Claim?', 'Do You Have a Motorcycle Accident Case?', 'Common Causes of Motorcycle Accidents in Chicago', 'What Should You Do After a Motorcycle Accident?', 'How Long Does It Take to Reach a Motorcycle Injury Settlement in Chicago?', 'How Much is Your Chicago Motorcycle Accident Case Worth?', 'Motorcycle Injury Statistics in Illinois', 'Let Our Chicago Motorcycle Accident Attorneys Help You Today']","[True, True, True, True, False, True, False, True]",6,"['Practice Areas', 'Services We Provide to Property Owners & Public Adjustors', 'Settlement Before Filing', 'Settlement During the Discovery Phase', 'Settlement During Mediation', 'Settlement After Trial']","[False, False, False, False, False, False]",13,"['NO ALT', 'Illinois Personal Injury Lawyers', 'Illinois Personal Injury Lawyers', 'NO ALT', 'NO ALT', 'Chicago motorcycle accident attorney', 'Chicago motorcycle accident attorney', 'What to do After a Motorcycle Accident | Chicago Motorcycle Accident Lawyer', 'What to do After a Motorcycle Accident | Chicago Motorcycle Accident Lawyer', 'Illinois Motorcyclist Fatality Statistics', 'Illinois Motorcyclist Fatality Statistics', 'Jelly MDHV', 'Jelly MDHV']","[False, False, False, False, False, True, True, True, True, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,3,https://www.rosenfeldinjurylawyers.com/motorcycle-accidents.html,47,43,1,343081,22246,3635,131,177,70,40,50,12,True,Chicago Motorcycle Accident Lawyer | Rosenfeld Injury Attorneys,True,1,['Chicago Motorcycle Accident Lawyer'],[True],22,"['Have You or a Loved One Been Involved in a Motorcycle Crash in Chicago, Illinois?', 'Do You Have Serious Motorcycle Injuries?', 'Benefit from Our Extensive Experience Handling Illinois Motorcycle Accident Claims', 'Common Causes of Motorcycle Accidents in Chicago', 'Disturbing Statistics About Chicago Motorcycle Accidents', 'We Have a History of Successful Settlements', 'What to Expect When Filing an Illinois Motorcycle Accident Claim', 'Facts About Chicago Motorcycle Accident Cases', 'Making a Low-Ball Offer', 'Our Commitment to Motorcycle Accident Victims', 'Motorcycle Accident Attorney FAQs', 'Will My Chicago Motorcycle Case Settle Out-of-Court?', ""Who is at Fault in Motorcycle Accidents When Motorcyclists Aren't Wearing Helmets?"", 'Should Riders Wear Helmets to Prevent Serious Injury?', ""What If the Driver in a Motorcycle Accident Didn't Have Insurance?"", 'What Are the Legal Rights of an Injured Motorcycle Passenger?', 'Who Can File Wrongful Death Claims in a Fatal Motorcycle Accident?', 'Contact Experienced Chicago Motorcycle Accident Lawyers for the Best Chance of Maximum Compensation', 'About Us', 'Practice Areas', 'Mass Torts', 'Attorneys Near You']","[False, False, True, True, True, False, True, True, False, True, True, False, True, False, True, False, True, True, False, False, False, False]",1,['Resources:'],[False],21,"['Logo of Rosenfeld Injury Lawyers LLC', 'Jonathan Rosenfeld', 'Super Lawyers', 'Illinois State Bar Association', 'Justia Lawyer Rating', 'Million Dollar Advocates Forum', 'Avvo Rating', 'Rosenfeld Injury Lawyers BBB Business Review', 'Chicago motorcycle accident injuries', 'Deaths resulting from motorcycle accidents', 'Illinois motorcycle accident statistics', 'Illinois motorcycle fatalities', 'Illinois Motorcycle Accidents book cover', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'Pinterest Icon', 'Flag of Spain', 'Flag of Russia']","[False, False, False, False, False, False, False, False, True, True, True, False, True, False, False, False, False, False, False, False, False]",False,False
Motorcycle Accident Lawyer Chicago,4,https://chicago-personal-injury-lawyers.us/automobile-accidents/motorcycles-accidents/fatal-motorcycle-accidents/,19,24,2,184015,1136,3285,0,0,30,9,27,105,True,The Horwitz Law Group | Chicago Motorcycle Accident Lawyer | Fatal Motorcycle Accident Lawyer Chicago,True,1,['Chicago Fatal Motorcycle Accident Lawyer'],[True],6,"['Fatal Motorcycle Accidents', 'Contact a Chicago Fatal Motorcycle Crash Attorney', 'Contact Us', 'Client Testimonials', 'Case Results', 'Tell Us About Your Case']","[True, False, False, False, False, False]",9,"['$4,500,000.00', '$2,100,000.00', '$2,300,000.00', '$1,400,000.00', '$1,200,000.00', '$1,197,000.00', '$175,000.00', '$100,000.00', '$100,000.00']","[False, False, False, False, False, False, False, False, False]",10,"['The Horwitz Law Group', '', '', '', 'image', 'image', 'image', 'image', 'img', '']","[False, False, False, False, False, False, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,5,https://motorcyclesafetylawyers.com/,23,33,-1,4769,311,2873,26,52,46,8,19,91,True,Chicago Motorcycle Accident Lawyer | Motorcycle Safety Lawyers®,True,1,['Are You or Someone You Know a Victim of a Motorcycle Accident?'],[True],15,"['Our Promises To You', 'Online Store Specials', 'Do You Have Proper Insurance Coverage?', 'Embedded In Your Motorcycle Community', 'Before You Ride', 'While You’re Riding', 'In Case of An Accident', 'Your Recovery', 'In Case of A Fatality', 'Chicago Motorcycle Accident Lawyer Is Here To Support You On Your Ride', 'HELP SUPPORT MY CHILD’S LIFE MATTERS IN ILLINOIS!', 'FEATURED IN OUR ONLINE STORE', 'Latest Videos', 'Chicago Motorcycle Accident Advice', 'WHAT OUR CLIENTS ARE SAYING…']","[False, False, False, False, False, False, False, False, False, True, False, False, False, True, False]",23,"['NATIONAL BIKER VIP CARD™, TRAUMA PACK, RAFFLE TICKETS AND MUCH MORE', 'Register For Your FREE Chance To Win Up To $20,000 Toward A Motorcycle of Your Choice!', 'What do you do after a minor motorcycle accident?', 'What is the most common motorcycle injury?', 'Can you get PTSD from a motorcycle accident?', 'What is the fastest way to recover from a motorcycle accident?', 'At what speed do most motorcycle accidents happen?', 'What time of day do most motorcycle accidents happen?', 'Does everyone fall off a motorcycle?', 'Can a motorcycle accident change your personality?', 'What are the chances of surviving a motorcycle accident?', 'How do you deal with witnessing a fatal motorcycle accident?', 'Who is at fault in most motorcycle accidents?', 'Where do most fatal motorcycle accidents happen?', 'What percentage of motorcycle riders get in accidents?', 'What is the main cause of motorcycle accidents?', 'Where is the safest place to ride a motorcycle?', 'Which state has the highest motorcycle fatality rate?', 'Is a motorcycle worth the risk?', 'Are motorcycle accidents common?', 'Why can’t I remember my motorcycle accident?', 'Are motorcycles statistically safer than cars?', 'What type of motorcycle is safest?']","[False, False, True, False, True, True, True, True, False, True, True, True, True, True, False, True, False, False, False, True, True, False, False]",56,"['Cart', 'Motorcycle Safety Lawyers', 'play', 'play', 'MSL National Biker VIP Card and Advanced Trauma Pack', 'MSL National Biker VIP Card and Advanced Trauma Pack', 'Win A Customized Motorcycle', 'Win A Customized Motorcycle', 'MSL T-Shirt Front', 'MSL T-Shirt Front', 'Before You Ride', 'Before You Ride', 'While You Ride', 'While You Ride', 'In Case of An Accident', 'In Case of An Accident', 'BikerDown Logo', 'BikerDown Logo', 'NAMIL Founding Member', 'NAMIL Founding Member', 'Register to win', 'Register to win', 'Upcoming events we sponsor', 'Upcoming events we sponsor', ""My Child's Life Matters"", ""My Child's Life Matters"", 'NAMIL Founding Member', 'NAMIL Founding Member', 'MSL National Biker VIP Card and Advanced Trauma Pack', 'MSL National Biker VIP Card and Advanced Trauma Pack', 'Win A Customized Motorcycle', 'Win A Customized Motorcycle', 'MSL T-Shirt Front', 'MSL T-Shirt Front', '5 stars', '5 stars', 'Facebook Icon', 'Facebook Icon', 'Instagram Icon', 'Instagram Icon', 'Youtube Icon', 'Youtube Icon', 'american bar association', 'american bar association', 'Illinois Bar Association', 'Illinois Bar Association', 'Illinois Trial Lawyers Association', 'Illinois Trial Lawyers Association', 'WCLA', 'WCLA', 'Chicago Bar Association', 'Chicago Bar Association', 'NAMIL', 'NAMIL', 'motorcyle-audit', 'motorcyle-audit']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,6,https://www.chicagolegalgroup.com/personal-injury-lawyers/motorcycle-accidents/,26,26,1,3471,519,1560,8,124,25,15,29,19,True,Chicago Motorcycle Accident Lawyer - Chicago Legal Group,True,1,['Chicago Motorcycle Accident Lawyer'],[True],16,"['847-305-4105', 'Were you or a loved one involved in a motorcycle crash in Chicago and need an attorney?', 'How can a lawyer help after a motorcycle accident?', 'Alarming motorcycle accident stats in Chicago, Illinois', 'How do I know if I need a lawyer after a motorcycle accident?', 'How much can you sue for? Can you sue for pain and suffering?', 'What\xa0are the\xa0most common major motorcycle accident injuries?', 'Dedicated, driven Chicago motorcycle accident attorney', 'Chicago scooter accident lawyer', 'Our motorcycle attorneys serve Illinois cities near you', '847-305-4105', 'News & Developments', 'Proudly Serving', 'Recent Posts', 'Representation', 'Social Links']","[False, False, True, True, True, False, True, True, False, False, False, False, False, False, False, False]",0,[],[],10,"['Chicago Legal Group', '', 'chicago motorcycle personal injury lawyer', 'chicago motorcycle injury stats', 'Chicago Legal Group', '', '', '', 'Motorcycle Insurance Claims Process', '']","[False, False, False, False, False, False, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,7,https://www.malmanlaw.com/motorcycle-accidents-lawyer/,36,31,1,171808,7072,2713,140,15,27,26,19,1,True,Chicago Motorcycle Accident Lawyers | Malman Law,True,1,['Motorcycle\xa0Accident Lawyers'],[False],10,"['Common Injuries from Chicago Motorcycle Accidents', 'Safety Tips for Bikers', '$11.8 Million', '$6 Million', '$5 Million', '$3 Million', '$9 Million', 'Know Your Rights!', 'What’s your case worth? Submit for a free case review', '1 (888) 625-6265']","[True, False, False, False, False, False, False, False, False, False]",9,"['1.888.625.6265', 'Qualified Chicago Motorcycle Accident Lawyers', 'Use Protective Gear', 'Stay Visible', 'Check the Weather Before a Long Ride', 'Say No to Speeding', 'What’s your case worth? Submit for a free case review', 'Our Location', 'Know Your Rights!']","[False, True, False, False, False, False, False, False, False]",328,"['NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'img', 'img', 'NO ALT', 'NO ALT', 'img', 'img', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'img', 'img', 'img', 'img']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,True
Motorcycle Accident Lawyer Chicago,8,https://www.shumanlegal.com/practice-area/motorcycle-accidents/,36,31,3,9557,607,1733,244,35,28,20,16,10,True,Chicago Motorcycle Accident Lawyer Shuman Legal,True,1,['Chicago Motorcycle Accident Lawyer'],[True],1,['Chicago Motorcycle Accident Lawyer Service'],[True],11,"['Motorcycle Accidents are NOT like other accidents!', 'Have you, or someone you love, been hurt in a Motorcycle Accident?', 'How long do you have to file your claim for a motorcycle accident in Chicago?', 'What should you do first after a motorcycle accident in Chicago?', 'What kinds of damages are typically covered in a motorcycle accident claim?', 'How does liability work in motorcycle accidents in Chicago?', 'Are you required to wear a motorcycle helmet in Chicago?', 'Have you, or someone you love, been hurt in a Motorcycle Accident?', '', 'Get Our Team, Working In Your Favor', ""Shuman Legal named as one of America's Most Trusted Lawyers Award for the 6th year in a row.""]","[True, True, True, True, True, True, False, True, False, False, False]",59,"['Shuman Legal', 'Shuman Legal', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Chicago Motorcycle Accident Lawyer', 'Chicago Motorcycle Accident Lawyer', 'Call us at 312-460-2572', 'Call us at 312-460-2572', 'Call us at 312-460-2572', 'Call us at 312-460-2572', 'Sidebar top', 'Sidebar top', 'Sidebar Call to Action', 'Sidebar Call to Action', 'Sidebar bottom', 'Sidebar bottom', '', '', '2017 Most Trusted Lawyers', '2017 Most Trusted Lawyers', '2018 Most Trusted Lawyers', '2018 Most Trusted Lawyers', '2019 Most Trusted Lawyers', '2019 Most Trusted Lawyers', '2020 Most Trusted Lawyers', '2020 Most Trusted Lawyers', '2021 Most Trusted Lawyers', '2021 Most Trusted Lawyers', '2022 Most Trusted Lawyers', '2022 Most Trusted Lawyers', '', '', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'Shuman Legal', 'Shuman Legal', 'Facebook', 'Facebook', 'Instagram', 'Instagram', 'Youtube', 'Youtube', '']","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,9,https://www.salvilaw.com/motorcycle-accidents/,43,35,1,51017,9488,3224,0,0,50,7,24,166,True,"Chicago Motorcycle Accident Lawyers | Salvi, Schostok & Pritchard P.C.",True,1,['Chicago Motorcycle Accident Lawyer'],[True],7,"['Did the Car Driver Cause My Motorcycle Crash?', 'Can I Still Recover If I’m Partially to Blame for the Accident?', 'What Will My Motorcycle Case Be Worth?', 'Motorcycle Accident Damages', 'Contact Our Chicago Motorcycle Accident Attorneys', 'Motorcycle FAQs', 'Motorcycle Accidents']","[False, False, False, True, True, False, True]",13,"['What are my rights under Illinois law if I’ve been involved in a motorcycle accident?', 'What are my rights after my family member was killed in a motorcycle accident?', 'Should I talk to the insurance company of the driver responsible?', 'What if I was partly to blame for the motorcycle accident?', 'What if I did not have a helmet on at the time of the motorcycle accident?', 'How do I make a claim for motorcycle accident compensation?', 'What should I expect if I make a claim for compensation after a motorcycle accident?', 'Do I need to do anything to protect my legal rights in a motorcycle accident case?', 'What kinds of compensation should I expect to receive after I’ve been involved in a motorcycle accident?', 'What if I am being offered a settlement to cover motorcycle accident losses?', 'What if I was a passenger on a motorcycle when a collision occurred?', 'Should I talk to a lawyer if a motorcycle accident caused me to get hurt or killed my family member?', 'Useful Information']","[True, True, False, True, True, True, True, True, True, True, False, True, False]",22,"['Salvi, Schostok & Pritchard P.C. Personal Injury Lawyers', 'motorcycle accident', 'salvi motorcycle-01', '', 'salvi motorcycle-03', 'salvi motorcycle-04', 'salvi motorcycle-05', 'salvi motorcycle-06', 'salvi motorcycle-07', 'salvi motorcycle-08', 'less than 50 percent at fault', 'more than 50 percent at fault', 'Jennifer Tara and Jaclyn', 'Top Abogados de Accidentes de Auto in Chicago', 'Top Personal Injury Lawyer in Waukegan', '', 'Super Lawyers Top 10 Illinois', 'Patrick A. Salvi - Lawyer of the Year', 'The National Trial Lawyers', 'Avvo Rating 10.0', 'Salvi Schostok & Pritchard P C BBB Business Review', '']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Motorcycle Accident Lawyer Chicago,10,https://www.daveabels.com/chicago-motorcycle-accident-lawyers/,41,35,1,111348,5017,4283,293,157,65,27,31,20,True,"Chicago Motorcycle Accident Attorney | Abels & Annes, P.C.",True,1,['Chicago Motorcycle Accident Lawyer'],[True],6,"['Have You Been Injured in a Chicago Motorcycle Accident?', '', 'Table of Contents', 'Our Firms Results in Handling Motorcycle Accident Claims', 'Chicago Motorcycle Accident FAQs', 'Contact Our Chicago Motorcycle Accident Attorneys for a Free Consultation']","[True, False, False, True, True, True]",18,"['Motorcycle Riders are More Vulnerable to Injuries', 'Motorcycle Accident Injury Statistics in Chicago, IL', 'What are Causes of Motorcycle Accidents?', 'Types of Motorcycle Accidents', 'Liability for Chicago Motorcycle Accidents', 'What Are the Odds of Getting in a Motorcycle Accident?', 'What Should I do After a Motorcycle Accident?', 'Is Making a Police Report Important?', 'What Are The Most Common Motorcycle Injuries?', 'How long after my accident can I file a claim?', 'How do I pay my bills when I’m out of work?', 'Should I take a quick settlement?', 'Won’t my case settle anyway?', 'Call Abels & Annes For a Free Case Evaluation', 'Client Testimonial', 'Contact Us', 'Practice Areas', 'Client Reviews']","[False, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",23,"['Abels & Annes, P.C. Personal Injury Law Logo', 'Mówimy po Polsku', 'Mówimy po Polsku', 'Hablamos Español', 'Hablamos Español', '', '', 'national trial lawyer top 100 trial lawyers', 'national trial lawyer top 100 trial lawyers', 'multi million dollar advocates forum badge', 'multi million dollar advocates forum badge', 'Abels & Annes, P.C.', 'Abels & Annes, P.C.', 'Facebook', 'Facebook', 'Twitter', 'Twitter', 'Linkedin', 'Linkedin', 'Justia', 'Justia', 'YouTube', 'YouTube']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,True
