keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Personal Injury Lawyer Chicago,1,https://www.malmanlaw.com/,36,45,1,171808,7072,2120,140,15,32,13,71,7.0,True,Chicago Personal Injury Attorney | Malman Law,True,6,"['Chicago Personal Injury Lawyer', '400M+', '', '25+years', '95%', 'No Fee Unless You Win']","[True, False, False, False, False, False]",16,"['$11.8 Million', '$6 Million', '$5 Million', '$3 Million', '$9 Million', 'Injured? Let’s get started on your case', 'Chicago’s Most Trusted Injury Attorney', 'Contact One of The Best Personal Injury Lawyers Near Your Location', 'Malman Law Practice Areas', 'Clients Testimonials', 'A Team With Experience And Visions', 'Frequently asked questions', 'Malman Gives Back', 'In The Media', 'What’s your case worth? Submit for a free case review', '1 (888) 625-6265']","[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False]",14,"['1.888.625.6265', 'Malman Law wins 95% of their cases. Let our experience work for you too.', 'Personal Injury', 'Nursing Home  Abuse', 'Vehicle  Accidents', 'Workers  Compensations', 'Medical  Malpractice', 'Truck  accident', 'Wrongful death', 'Camp Lejeune Lawsuit', 'Do I Always Need a Personal Injury Lawyer?', 'How Long Do I Have to File a Personal Injury Lawsuit in Illinois?', 'How Can I Afford to Hire an Injury Attorney?', 'Will My Injury Case Go to Trial?']","[False, False, True, False, False, False, False, False, False, False, True, True, False, False]",243,"['NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'img', 'img', 'NO ALT', 'NO ALT', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Chicago,2,https://ankinlaw.com/personal-injury/,40,42,1,93946,9257,2657,80,0,41,6,117,3.0,True,Chicago Personal Injury Lawyer - Ankin Law Offices,True,1,['Chicago Personal Injury Lawyer'],[True],8,"['Dedicated, Focused Personal Injury Legal Representation', 'Damages You May BeEligible To Receive', 'Hey, Howard!', 'Protecting the Rights of Injured People', 'Personal Injury Videos', 'Personal Injury FAQs', 'Personal Injury Videos', 'Illinois Personal Injury Attorneys']","[True, False, False, False, True, True, True, True]",3,"['Can Medicaid Take My Personal Injury Settlement to Cover Medical Bills?', 'Can Passengers Sue a Cruise Ship for a Slip and Fall Accident?', 'Illinois Appellate Court: UIM Coverage Must Extend to Pedestrians and Bicyclists']","[True, False, False]",49,"['NO ALT', 'Polski', 'Polski', 'Español', 'Español', 'Ankin Law logotype', 'Ankin Law logotype', 'Polski', 'Polski', 'Español', 'Español', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Howard Ankin, personal injury lawyer', 'Howard Ankin, personal injury lawyer', 'Howard Ankin, personal injury lawyer', 'Howard Ankin, personal injury lawyer', 'settlement title on legal documents', 'settlement title on legal documents', 'Ankin Law Office', 'Ankin Law Office', 'Sign showing warning of wet floor on wet floor', 'Sign showing warning of wet floor on wet floor', 'Ankin Law Office', 'Ankin Law Office', 'UIM Coverage Must Extend to Pedestrians and Bicyclists', 'UIM Coverage Must Extend to Pedestrians and Bicyclists', 'Ankin Law Office', 'Ankin Law Office', '', '', 'Ankin Law logotype', 'Ankin Law logotype', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Chicago,3,https://www.levinperconti.com/personal-injury/,37,32,3,707000,13864,2556,0,0,34,19,51,70.0,True,Chicago Personal Injury Lawyer | Levin & Perconti﻿,True,1,['Chicago Personal Injury Lawyer'],[True],10,"['What Types of Cases Do Personal Injury Attorneys Handle?', 'How Do I Prove Fault in My Chicago Personal Injury Case?', 'What if I’m Partially at Fault for My Injury?', 'How Long Do I Have to File a Personal Injury Case in Chicago?', ""Exceptions to Illinois' Statutes of Limitations"", 'How Can a Personal Injury Lawyer Help Me?', 'What Compensation Am I Entitled to After Being Involved in a Personal Injury?', 'Does Illinois Have Caps on the Amount of Damages Received?', 'How Can the Chicago Personal Injury Attorneys at Levin & Perconti Help With My Claim?', 'Testimonials']","[True, True, False, True, False, True, True, False, True, False]",13,"['Quick Links', '$17.7 million', '$14 million', '$10 million', '$6 million', '$4.1 million', '$6.5 million', 'Contact Us', 'Related Pages', 'Notable Results', 'FAQs', 'Our Office', 'Local Communities']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",20,"['levin & perconti logo', 'levin & perconti logo', 'Partners at Levin & Perconti in a meeting', 'Partners at Levin & Perconti in a meeting', 'John J. Perconti working at desk', 'John J. Perconti working at desk', 'Levin Perconti team meeting', 'Levin Perconti team meeting', 'M.R.Z.,', 'M.R.Z.,', 'W.R., ', 'W.R., ', 'Kathy and Ron', 'Kathy and Ron', 'W.R., ', 'W.R., ', 'D.G., ', 'D.G., ', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Chicago,4,https://www.corboydemetrio.com/,48,42,1,938510,8370,4983,16,24,12,41,99,76.0,True,Chicago Personal Injury Law Firm | Corboy & Demetrio,True,1,"[""Chicago's Premier Personal Injury Lawyers""]",[True],4,"['Firm News', 'Personal Injury Lawyers Committed to Fair & Full Compensation', 'Why Corboy & Demetrio?', 'Meet Our Attorneys']","[False, True, False, False]",0,[],[],34,"['NO ALT', 'Corboy & Demetrio', 'NO ALT', 'NO ALT', 'Search', '{ Animation Image }', '{ Animation Image }', '{ Animation Image }', '{ Animation Image }', '{ Animation Image }', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Type the following characters: niner, mike, foxtrot, mike, mike, niner', 'Best Lawyers - Chicago', 'Leading Lawyers', 'Best Lawyers', 'American Association for Justice', 'Super Lawyers', '500 Leading Lawyers', 'The Inner Circle of Advocates', 'Best Law Firms', 'American College of Trial Lawyers', 'Leading Lawyers', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer Chicago,5,https://www.rosenfeldinjurylawyers.com/,47,52,1,343081,22246,4126,130,196,53,34,74,12.0,True,Chicago Personal Injury Lawyer | Rosenfeld Injury Lawyers LLC | 24-7 Service,True,1,['Chicago Personal Injury Lawyer'],[True],18,"['When an Accident Happens, Our Chicago, IL Personal Injury Lawyers Get to Work for You', 'The Selection of a Personal Injury Law Firm Will Impact Your Case', 'Our Personal Injury Attorneys Your Interests First & Foremost', 'What Separates Rosenfeld Injury Lawyers LLC from Other Chicago Personal Injury Attorneys?', 'Types of Personal Injury Cases Our Firm Can Handles', 'Chicago Car Accident Lawyer', 'Chicago Truck Accident Lawyer', 'Chicago Motorcycle Accident Lawyer', 'Nursing Home Abuse', 'Medical Malpractice', ""Worker's Compensation & Work Accident Injury Lawyers"", 'Chicago Personal Injury Attorneys for Premises Liability', 'Hire a Premier Personal Injury Lawyer in Chicago for Your Case', 'Get a Free Consultation With an Experienced Personal Injury Attorney Now', 'About Us', 'Practice Areas', 'Mass Torts', 'Attorneys Near You']","[True, True, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False, False]",0,[],[],47,"['Logo of Rosenfeld Injury Lawyers LLC', 'Jonathan Rosenfeld', 'Super Lawyers', 'Illinois State Bar Association', 'Justia Lawyer Rating', 'Million Dollar Advocates Forum', 'Avvo Rating', 'Rosenfeld Injury Lawyers BBB Business Review', 'Jonathan Rosenfeld', 'Personal Injury Accident', 'Chicago injury Lawyer', 'Car Accidents', 'Truck Accidents', 'Motorcycle Accidents', 'Nursing Home Abuse', 'Medical Negligence Lawsuit', 'Work Injury Accident', 'Premises Liability Accident', 'Chicago injury Attorney', '250 million recovered', 'No Fee Guarantee', 'Always available', 'Satisfied clients', 'Service is our business', 'Fully Commited', 'Tenacious and ethical litigators', 'Free consultation', 'attorney', 'attorney', 'attorney', 'attorney', 'attorney', 'attorney', 'American Association for Justice', 'Chicago Bar Association', 'Illinois Trial Lawyers Association', 'WCLA', 'DCBA', 'Illinois State Bar Association', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'Pinterest Icon', 'Flag of Spain', 'Flag of Russia']","[False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer Chicago,6,https://www.willenslaw.com/,71,46,1,414546,4325,3675,0,0,38,35,59,59.0,True,"Personal Injury Lawyers in Chicago, IL | Willens & Baez Personal Injury Lawyers, P.C.",True,1,['Chicago Personal Injury Lawyers'],[True],2,"['Illinois Personal Injury Attorneys', 'What Types of Cases Can a Personal Injury Attorney Handle?']","[True, True]",20,"['Call Now For A Free Consultation', 'Willens Injury Law Firm Philosophy is Simple: Clients Come First', 'What Separates Us From Other Illinois Personal Injury Law Firms?', 'Call Now For A Free Consultation', 'Have You Been Injured in a Car Accident Near Chicago, Illinois?', 'Personal Injury', 'Car Accident Injury', 'Truck Accident Injury', 'Motorcycle Accident Injury', 'Bicycle Accident Injury', 'Construction Accident Injury', 'Dog Bite Injury', 'Premises Liability Injury', 'Nursing Home Abuse & Neglect', 'Defective Products', 'Medical Malpractice', 'Child Birth Injury', '', 'Call Now For A Free Consultation', 'Free Case Evaluation']","[False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",62,"['NO ALT', 'ClickCease', 'Willens & Baez Personal Injury Lawyers, P.C.', 'Willens & Baez Personal Injury Lawyers, P.C.', 'Willens & Baez Personal Injury Lawyers, P.C.', 'Willens & Baez Personal Injury Lawyers, P.C.', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Williens-Injury-Law-Offices-Chicago-Personal-Injury-Lawyers', 'Williens-Injury-Law-Offices-Chicago-Personal-Injury-Lawyers']","[False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False]",True,False
Personal Injury Lawyer Chicago,7,https://www.cliffordlaw.com/,49,49,1,505603,12336,2091,93,108,14,17,38,7.0,True,Chicago Personal Injury Lawyers | Clifford Law Offices,True,1,"[""Chicago's Premier Personal Injury Law Firm""]",[True],2,"['Serious Cases. Exceptional Results.', 'If you have a case in one of these areas of law, why are we the right law firm for you?']","[False, False]",3,"['Clifford Law Offices has represented victims and their families in nearly every major commercial airline crash in the U.S. in the last 40 years.', 'Why Hire Us?', 'Dedicated Personal Injury Attorneys']","[False, False, True]",102,"['NO ALT', 'logo', 'logo-mobile', 'NO ALT', '', '', '', '', '', 'Video Thumbnail', 'NO ALT', 'Best Lawyers', 'Best Lawyers', 'Video Thumbnail', 'NO ALT', 'Video Thumbnail', 'NO ALT', 'Chicago', 'The Washington Post', 'WSJ', 'The New York Times', 'CBS Chicago', 'Bloomberg', 'Law 360', 'Chicago Tribune', 'Reuters', 'Claims Journal', 'The National Law Review', ""Crain's Chicago Business"", 'The Miami Herald', 'Big Law Business Logo', 'WGN Radio 720 Logo', 'ABC News Logo', 'USA Today Logo', 'The Seattle Times Logo', 'Star Tribune Logo', 'Clifford Law Offices Aviation Timeline', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Easton AT100_Med Malp Lit_2022', 'Easton AT100_Personal Inj Att_2022', 'Easton AT100_High Stakes Lit_2022', 'American Inns of Court', 'Clifford Law Offices Best Truck Accident Lawyers in Chicago 2023 by Expertise', 'Clifford Law Offices Best Medical Malpractice Lawyers in Chicago 2023 by Expertise', 'Clifford Law Offices Best Motorcycle Accident Lawyers in Chicago 2023 by Expertise', 'Clifford Law Offices Best Litigation Lawyers in Chicago 2023 by Expertise', 'Clifford Law Offices Best Personal Injury Lawyers in Chicago 2023 by Expertise', 'Clifford Law Offices Best Car Accident Lawyers in Chicago 2023 by Expertise', 'Best Law Firms 2023', 'Best Lawyers Aviation 2023', 'Best Lawyers Mass Tort National 2023', 'Best Lawyers Mass Tort 2023', 'Best Lawyers Medical Malpractice 2023', 'Best Lawyers Personal Injury 2023', 'Best Lawyers Product Liability 2023', 'Best Lawyers Commercial Litigation 2023', '2021_The_National_Law_Review_Go_To_Thought_Leader', 'National Law Journal Elite Trial Lawyers Finalist 2022', 'Clifford_Law_Offices_Aviation_Law_Firm_Of_The_Year_2020', 'LawDragon', '2021-elite-trial-lawyers-winner', 'Firm Badge - Top 10 Wrongful Death Settlements Illinois 2021', 'Firm Badge - Top 10 Verdicts Illinois 2021', '2020-no_1-medical-malpractice-settlement-il-clifford-law', '2020-no_1-burn-injury-settlement-il-clifford-law', '2020-no_1-personal-injury-settlement-il-clifford-law', '2020-no_1-product-liability-settlement-il-clifford-law', '2020-no_1-truck-accidents-settlement-il-clifford-law', 'Clifford_Law_Offices_number_1_verdict_illinois_2019', 'Clifford_Law_Offices_top_10_verdict_illinois_2019', 'Clifford_Law_Offices_top_19_railroad_accident_verdict_illinois_2019', 'Clifford_Law_Offices_top_20_verdict_united_states_2019', 'Clifford_Law_Offices_top_50_verdict_united_states_2019', ""The World's Premier Guide Best Lawyers"", 'American Association for Justice', 'Law Journal 2013', 'Global Law Experts 2015', 'The National Law Journal', 'BBB Accredited Business', 'Super Lawyers', '2016-top50-illinois-firm-clifford-law', '2018-top10-verdicts-il-firm', 'global_100_award_2019_logo_clifford_law_offices', 'Clifford_Law_Offices_Hall_Of_Fame_Verdicts_2015-2019_Cases_by_The_National_Law_Journal', 'Robert Clifford Illinois Top 10 Number 1 Super Lawyers', 'Shannon Mcnulty Illinois Top 50 Super Lawyers', 'Cosgrove Durkin Hebeisen Mcnulty Illinois Top 100 Super Lawyers', 'Top 100 Super Lawyers', '15+ Years Super Lawyers', 'National Law Journal Best of 2022', 'Footer Background', 'Footer Background Tablet', 'Footer Mobile', 'Clifford Law Offices', 'NO ALT', 'iLawyer Marketing Logo', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Chicago,8,https://www.smithlacien.com/,22,27,1,27263,69,1216,73,97,17,4,10,116.0,True,"Chicago Personal Injury Lawyers | Smith LaCien, LLP",True,1,['Chicago PersonalInjury Lawyers'],[False],6,"['What Does Justice Look Like To You?', 'This Is What A Positive Reputation Looks Like', 'What is Personal Injury Law?', 'What Kinds of Damages Can You Get from a Personal Injury Case?', 'How Much Time Do I Have to File a Personal Injury Case?', 'Free Consultation About Getting Results That Matter To You']","[False, False, True, True, True, False]",0,[],[],43,"['Smith LaCien LLP | Chicago Personal Injury Lawyers', 'site-logo', 'site-logo', 'site-logo', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Chicago,9,https://www.mancinilaw.com/,22,34,1,5269,760,3263,61,167,17,35,33,105.0,True,Personal Injury Lawyers Chicago - Injury Attorneys Illinois,True,2,"['Maximum Justice \xa0 Maximum Results', 'Personal Injury Attorneys in Chicago, Illinois']","[False, True]",5,"['ABOUT THE MANCINI LAW GROUP P.C.', 'Contact Our Personal Injury Lawyers in Chicago Today to Schedule a Free Consultation', 'Your Legal Team', 'VIDEOS', 'Practice Areas']","[False, True, False, False, False]",22,"['Knowledgeable Personal Injury Attorneys in Chicago, Illinois at Mancini Law Group P.C.', 'What are the Most Common Causes of Auto Accidents in Chicago, Illinois?', 'Are Bicycle Accident Injuries Common in Chicago, Illinois?', 'How Many Boat Accidents Occur in Illinois Each Year?', 'Dangerous Products Are Causing Serious Injuries Throughout Illinois', 'Who Can Be Held Liable for Dog Bite Injuries in Chicago, Illinois?', 'Is Medical Malpractice Common in Chicago, Illinois?', 'Warmer Months Mean More Motorcycle Accidents on Our Chicago, Illinois Roadways', 'Can I Pursue a Nursing Home for Negligence or Abuse in Illinois?', 'Substantial Foot Traffic in Chicago Leads to Rising Pedestrian Accident & Injuries', 'At Mancini Law Group P.C. Our Illinois Sexual Abuse Attorneys Are Advocates for Justice', 'Premises Liability and Slip & Fall Injuries in Chicago Can Occur Anywhere Negligence is a Factor', 'Semi-Truck and Commercial Delivery Vehicle Accidents are Rising with Online Shipping Demands', 'What If I Am a Chicago Commercial Delivery Driver Who Was Injured in a Collision?', 'Can I Pursue Financial Recovery for the Loss of a Loved One in Chicago, Illinois?', 'Frequently Asked Questions', 'Welcome to our Firm', 'Helping You Find A Solution', 'An Experienced Advocate On Your Side', 'Mancini Law Group P.C. Is Here for You', 'Contact Us Today', 'Office Location']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",32,"['Mancini Law Group P.C.', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', '', '', '', '', '', '', '', '', '', '', '', '', 'Mancini Law Group P.C.']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer Chicago,10,https://lambergoodnow.com/chicago/personal-injury-lawyers-chicago/,48,39,-1,15810,6544,3453,206,290,51,47,40,29.0,True,Chicago Personal Injury Lawyer Team -- 99% Success Rate,True,2,"['Chicago Personal Injury Lawyer Team', 'The Best Chicago Personal Injury Lawyer Team leveraging innovative technology to resolve your personal injury case in Phoenix,\xa0Chicago and Denver.']","[True, True]",4,"['Free Case Review', 'How Can We Help?', 'Articles', 'Local Experts, Nationwide Reach']","[False, False, False, False]",1,['Free Case Review'],[False],41,"['NO ALT', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'chicago personal injury lawyer', '', '', '', '', '', '', '', '', '', 'NO ALT', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
