keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Truck Accident Lawyer Chicago,1,https://www.shumanlegal.com/practice-area/semi-truck-accidents/,36,31,3,9557,607,2753,244,35,39,14,40,10,True,Chicago Truck Accident Lawyer - Let Our Expertise Help!,True,1,['Chicago Truck Accident Lawyer'],[True],1,"['Your Commercial Semi Truck Accident Lawyer, Ready to Fight, In Your Favor']",[True],16,"['Decades of Experience with Truck Accident Cases, Fighting In Your Favor', 'What’s the Biggest Mistake You Can Make After an Accident Involving a Semi-Truck?', 'Finding The Right Commercial Truck Accident Attorney to Protect Your Rights', 'How do you prove negligence in a truck accident case?', 'What should I do after a Semi-Truck Accident in Illinois?', 'How do I know who is liable for a Truck Accident in Illinois?', 'How long do I have to file a lawsuit for a Semi-Truck Accident?', 'How are Semi-Truck Accidents different than normal car accidents?', 'What are the most common causes of Semi-Truck accidents?', 'How much are truck accident cases worth?', 'What kind of injuries do people usually get from Semi-Truck Accidents?', 'Where are the worst places for Semi-Truck accidents in Illinois?', 'A Semi Truck Accident Lawyer Means a Higher Settlement', 'A Truck Accident Lawyer Brings Peace of Mind', 'Get Our Team, Working In Your Favor', ""Shuman Legal named as one of America's Most Trusted Lawyers Award for the 6th year in a row.""]","[True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False]",65,"['Shuman Legal', 'Shuman Legal', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Chicago Truck Accident Lawyer', 'Chicago Truck Accident Lawyer', 'play', 'play', 'Call us at 312-422-0700', 'Call us at 312-422-0700', 'Call us at 312-422-0700', 'Call us at 312-422-0700', 'semi truck accident attorney Illinois', 'semi truck accident attorney Illinois', 'Call us at 312-422-0700', 'Call us at 312-422-0700', 'Sidebar top', 'Sidebar top', 'Sidebar Call to Action', 'Sidebar Call to Action', 'Sidebar bottom', 'Sidebar bottom', '', '', '2017 Most Trusted Lawyers', '2017 Most Trusted Lawyers', '2018 Most Trusted Lawyers', '2018 Most Trusted Lawyers', '2019 Most Trusted Lawyers', '2019 Most Trusted Lawyers', '2020 Most Trusted Lawyers', '2020 Most Trusted Lawyers', '2021 Most Trusted Lawyers', '2021 Most Trusted Lawyers', '2022 Most Trusted Lawyers', '2022 Most Trusted Lawyers', '', '', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'association-logo', 'Shuman Legal', 'Shuman Legal', 'Facebook', 'Facebook', 'Instagram', 'Instagram', 'Youtube', 'Youtube', '']","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Chicago,2,https://www.rosenfeldinjurylawyers.com/truck-accidents.html,47,47,1,343081,22246,3680,131,177,86,25,43,12,True,Chicago Truck Accident Lawyer | Rosenfeld Injury Attorneys,True,1,['Chicago Truck Accident Lawyer'],[True],23,"['Hire an Experienced Truck Accident Lawyer', 'When Large Trucks are Considered ""Unsafe""', 'What to Do If You Hit a Semi-Truck on the Highway or Interstate', 'We Handle Your Tractor-Trailer Truck Accident Case While You Focus on Your Recovery', 'We Know What to Do to Help Truck Accident Victims', 'Frequent Causes of Truck Accidents in the Chicago, Illinois Area', 'Things to Know About Commercial Vehicle Accident Cases', 'Permanent Disabilities from a Catastrophic Truck Accident', ""The Impact a Truck Accident Has on the Injured Victim's Life"", 'What to Do if You Have Been Involved in a Truck Accident', 'Truck Accident Cases Statistics', 'Dealing with Truck Insurance Problems', 'Commercial Vehicle Accident FAQs', 'Should I Hire a Chicago Truck Accident Lawyer for My Case?', 'How Long Will It Take to Settle a Truck Collision Case?', 'How Much is My Accident Case Worth?', 'What Are My Legal Rights if I am a Truck Driver Hurt in a Crash or on the Job?', 'What are the Most Common Causes of Truck Crashes?', 'Begin the Legal Process Today. Hire Our Chicago Truck Accident Lawyers', 'About Us', 'Practice Areas', 'Mass Torts', 'Attorneys Near You']","[True, False, False, True, True, True, False, True, True, True, True, False, False, True, False, False, False, False, True, False, False, False, False]",5,"['Giving a Statement', 'Considering the First Insurance Settlement Offer', 'Multiple Defendants', 'Resolving the Case', 'Resources:']","[False, False, False, False, False]",21,"['Logo of Rosenfeld Injury Lawyers LLC', 'Jonathan Rosenfeld', 'Super Lawyers', 'Illinois State Bar Association', 'Justia Lawyer Rating', 'Million Dollar Advocates Forum', 'Avvo Rating', 'Rosenfeld Injury Lawyers BBB Business Review', 'many people have died in Illinois truck crashes', 'Illinois truck accidents cause serious injuries', 'truck accident causes', 'Semi truck accident data-include center', 'Illinois Truck Accidents book cover', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'Pinterest Icon', 'Flag of Spain', 'Flag of Russia']","[False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False]",False,False
Truck Accident Lawyer Chicago,3,https://www.dispartilaw.com/truck-accident-lawyer/,31,28,1,6148,2610,4593,230,280,88,43,70,2,True,Chicago Truck Accident Lawyer - Disparti Law Group,True,1,['Chicago Truck Accident Attorney'],[True],67,"['OVER\xa0$1 BILLION IN RECOVERIES FOR OUR CLIENTS', 'Federal Motor Carrier Safety Regulations and Truck Accidents', 'Non-Driver Liability in Truck Accidents', 'Let a Disparti Truck Accident Lawyer Help Seek Compensation', 'Disparti Chicago Truck Accident Practice Areas:', '', 'Truck Accident Lawyer Chicago, IL', 'HOW A TRUCK ACCIDENT LAWYER WILL HELP', 'HOW DAMAGES ARE CALCULATED', 'WHAT KIND OF INJURIES YOU MAY SUSTAIN FROM A TRUCK ACCIDENT', 'Chicago Truck Crash Statistics', 'MOTORISTS AT RISK FOR TRUCK ACCIDENTS DUE TO DRIVING DROWSY', 'TRUCK DRIVERS AND DROWSY DRIVING', 'TRUCKING COMPANIES OFTEN PLAY A ROLE IN DROWSY DRIVING TRUCK ACCIDENTS', 'HOW MUCH DOES A LAWYER COST?', 'WILL MY CASE GO TO COURT?', 'WHAT TO DO IF YOU’RE OFFERED A SETTLEMENT', 'HOW LONG WILL MY CASE TAKE?', 'In Need Of a Truck Accident Lawyer', 'Holding Negligent Parties Accountable', 'Why Choose the Disparti Law Group, PA?', 'CONTACT A TRUCK ACCIDENT LAWYER FROM DISPARTI LAW GROUP TODAY', 'Chicago Truck Accident Google Review:', 'LARRY WINS TRUCK ACCIDENT CASES', 'Car Accident', 'Truck Accident', 'Motorcycle Accident', 'Bicycle accident', 'Catastrophic Accident', 'Dog bite injury', 'Medical Malpractice', 'Nursing Home Abuse', 'Slip and fall', 'Product Liability', 'Traumatic Brain Injury', 'Uber Accident', 'FREE CASE EVALUATION', 'Disparti Law Group is the Official Law Group of the DePaul Blue Demons', 'Reasons To Consult A Workers Compensation Lawyer', 'DISPARTI LAW GROUP NOMINATED  FOR GOLDEN GAVEL AWARD', 'DISPARTI LAW GROUP GIVES AWAY FREE UBER RIDES THIS NEW YEAR’S EVE', 'Personal Injury Attorney in Chicago: How to Choose the Right One for Your Case', '""I love the service they provided. They took time to explain the procedure for my case, then they asked if there was anything else they could do. I appreciate the service and wouldn\'t trade it for the 🌍. Love my Lawyers. If you want to win try Disparti Law Group.""', '- Gwen', '""I feel you guys did a great job in handling my case.""', '- V. Gentry', '""Was a great fit for me and would definitely recommend to family and friends.""', '- Christine', '""It has been a wonderful experience working with Disparti Law Group. They are highly recommended.""', '- John', '""Very professional staff, great experience.""', '- Lisa', '""I have NEVER, and I mean, EVER, had such a great experience dealing with lawyers.... I don\'t ever want to be in an accident again, but if I am, I\'m calling Disparti Law. Fantastic service.""', '- Dani', 'FREE CASE EVALUATION', 'DISPARTI LAW GROUP NOMINATED  FOR GOLDEN GAVEL AWARD', 'DISPARTI LAW GROUP GIVES AWAY FREE UBER RIDES THIS NEW YEAR’S EVE', 'Personal Injury Attorney in Chicago: How to Choose the Right One for Your Case', 'Join Our Newsletter', 'Success!', 'LATEST NEWS', 'Disparti Law Group is the Official Law Group of the DePaul Blue Demons', 'Reasons To Consult A Workers Compensation Lawyer', 'PRACTICE AREAS', 'Chicago, IL', 'Tampa, FL', 'Follow Us']","[False, True, True, True, True, False, True, True, False, True, False, True, False, True, False, False, False, False, True, False, False, True, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",22,"['Schedule Your Free Consultation Today!', 'Truck Accident Attorney Chicago, IL', 'The Disparti Law Group', 'TAMPA', 'CHICAGO', 'PERSONAL INJURY', 'PERSONAL INJURY', 'PERSONAL INJURY', 'PERSONAL INJURY', 'CLAIMS', 'BENEFITS', 'THE ULTIMATE EMPLOYMENT LAW GUIDE', 'EMPLOYMENT', 'Resources', 'SHOP', 'FAQ', 'DOWNLOAD OUR FREE E BOOK', 'Our Team', 'Our Team', 'Our Team', 'Our Team', 'Our Team']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",32,"['', '', '', 'Truck Accident Attorney Chicago, IL', 'Truck Accident', 'Contact chicago truck attorney', 'Chicago Truck Crash Statistics', '5 Star Client Reviews', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', '', '', '', '', '', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '']","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Chicago,4,https://zayedlawoffices.com/chicago-truck-accident-lawyer/,31,32,1,48389,1264,4758,0,56,57,59,127,271,False,Chicago Truck Accident Attorney | Zayed Law Offices,True,1,['Chicago Truck Accident Lawyer'],[True],15,"['Chicago Truck Accident Attorney', 'Why Do I Need Truck Accident Attorneys?', 'When Do I Hire a Truck Accident Lawyer?', 'Why Do I Hire a Trucking Accident Attorney?', 'How Do I File a Lawsuit for a Truck Accident?', 'Who is at Fault in a Semi-Truck Accident?', 'Have you been in an accident and need a truck accident lawyer?', 'Types of Semi-Truck Accidents', '', 'Trucking Accident Investigations', 'Why You Should Hire a Trucking Accident Attorney?', 'How Much Is a Tractor-Trailer Accident Case Worth?', 'What Should I Do If I Was in a Truck Accident?', 'Our Chicago Truck Attorneys Are Here to Help', 'Reach Out to Zayed for Truck Accident Lawyers']","[True, True, True, False, True, True, True, True, False, False, False, False, True, False, True]",16,"['PRACTICE AREAS', 'Connect with one of our experienced trial attorneys', 'RECENT VERDICTS', 'How Much Should You Ask for in a Car Accident Settlement?', 'Should I Take the First Offer for a Car Accident Settlement?', '$ 2.12 M', '$ 1.77 M', 'LOCATIONS', 'Here’s a list of the steps you should take after being involved in a trucking accident:', 'JOLIET 815.726.1616', 'WHEATON 630.690.1919', 'ROCKFORD 815.205.1519', 'PEORIA 309.518.1413', 'AURORA 630.348.9513', 'CHICAGO 312.726.1616', 'BLOOMINGTON309.955.5044']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",19,"['injury attorney chicago', 'chicago truck accident lawyer', 'How Much Should You Ask for in a Car Accident Settlement?', 'Adam Zayed', 'Should I Take the First Offer for a Car Accident Settlement?', 'Adam Zayed', 'truck accident lawyer chicago', 'chicago truck accident attorney', 'truck accident lawyer', 'tractor trailer accident lawyer', 'truck accident attorney', 'big rig accident lawyer', 'Adam J Zayed, Founder & Trial Attorney', 'Zayed Logo', 'chicago injury lawyer', 'A C', ""Mikey's Moving and Delivery"", 'jj', 'chicago injury lawyer']","[False, True, False, False, False, False, True, True, True, False, True, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Chicago,5,https://www.levinperconti.com/truck-accidents/,37,31,3,707000,13864,2722,0,0,37,27,20,158,True,Chicago Truck Accident Lawyer | Levin & Perconti﻿,True,1,['Chicago Truck Accident Lawyer'],[True],9,"['Common Causes of Chicago Truck Accidents', 'How Dangerous Are Chicago Truck Accidents?', 'Who Can I Sue in a Truck Accident Case?', 'How Much Is My Chicago Truck Accident Worth?', 'Can I Still Receive Compensation if I’m Partially Responsible for the Accident?', 'What if a Chicago Truck Accident Killed My Loved One?', 'Statute of Limitations to File a Chicago Truck Accident Lawsuit', 'Why Should I Hire the Chicago Personal Injury Attorneys at Levin & Perconti to Handle My Truck Accident Case?', 'Frequently Asked Questions (FAQs) About Chicago Truck Accidents']","[True, True, True, True, False, True, True, True, True]",16,"['Quick Links', '$10 million', 'Truck Driver Liability', 'Trucking Company Liability', 'Cargo Shipper and Loader Liability', 'Parts Manufacturer Liability', 'Government Liability', 'Extent of Your Injuries', 'Police Report', 'Prompt Medical Care', 'Testimonials', 'Contact Us', 'Related Pages', 'Notable Results', 'FAQs', 'Our Office']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",8,"['levin & perconti logo', 'levin & perconti logo', 'Common Causes of Truck Accidents Infographic', 'Common Causes of Truck Accidents Infographic', 'D.C.,', 'D.C.,', '', '']","[False, False, True, True, False, False, False, False]",True,False
Truck Accident Lawyer Chicago,6,https://www.kfeej.com/truck-accidents.html,25,26,6,102130,7210,1327,0,0,58,7,9,157,True,Truck Accidents | Chicago Trucking Injury Lawyers Katz Friedman,True,1,['Truck Accidents'],[True],0,[],[],0,[],[],5,"['Logo of Katz Friedman', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon']","[False, False, False, False, False]",False,False
Truck Accident Lawyer Chicago,7,https://www.curcio-law.com/practice-areas/motor-vehicle-accidents/truck-accident/,28,30,6,5443,1842,2916,379,0,62,35,32,61,True,Chicago Truck Accident Lawyer | Truck Accident Injury Attorneys,True,1,['CHICAGO TRUCK ACCIDENT LAWYER'],[True],3,"['Experienced Chicago, Illinois Truck Accident Lawyers', 'Fatal Truck Accidents in Chicago', 'Experienced Chicago Truck Accident Lawyers']","[True, True, True]",11,"['What is Considered a Truck Accident in Illinois?', 'Who is Responsible in Chicago Semi-Truck Accidents?', 'What is Truck Driver Negligence?', 'I Was Partially Responsible for the Truck Crash. Can I Still File a Insurance Claim in Illinois?', 'Can Chicago Truck Accident Victims Get Treatment Without Health Insurance?', 'How Long Does it Take to Settle a Semi Truck Accident Case in Chicago?', 'What Damages Can I Recover in a Chicago Truck Accident Lawsuit?', 'What Can I Expect From a Truck Accident Settlement in Chicago?', 'ADDRESS', 'PHONE', 'FAX']","[True, True, False, False, True, True, True, True, False, False, False]",6,"['Curcio Law Offices logo', 'chicago truck accident lawyer', 'chicago truck accident lawyers', 'chicago lawyer', 'phone', 'fax']","[False, True, True, False, False, False]",True,False
Truck Accident Lawyer Chicago,8,https://www.salvilaw.com/truck-accidents/,43,35,1,51017,9488,3402,0,0,53,21,32,162,True,"Chicago Truck Accident Lawyer - Salvi, Schostok & Pritchard P.C.",True,1,['Chicago Truck Accident Lawyer'],[True],9,"['What Is Our Experience with Truck Accident Cases?', 'How Can Our Chicago Truck Accident Attorneys Help You?', '', 'Chicago Truck Accident Common FAQs', 'Truck Accident', 'Who Can You Sue After a Truck Crash?', 'What Damages Can You Recover for Your Injuries?', 'Our Chicago Truck Accident Attorneys', 'Types of Truck Accidents']","[True, True, False, True, True, False, False, True, True]",22,"['', 'Through the years, we have secured more than $2 billion in verdicts and settlements, including more than 310 multi-million dollar verdicts and settlements. Our record of success includes many truck crash cases, including:', 'How Long Do I Have to File a Lawsuit or Insurance Claim?', 'What Do I Do If I’m Involved in a Truck Accident?', 'Should I Hire a Truck Accident Lawyer?', 'How Common Are Truck Accidents?', 'How Are Truck Accidents Worse Than Car Accidents?', 'Who Is Responsible in a Truck Accident?', 'Alcohol & Drug Abuse Accidents', 'Fatigued Driving Accident Lawyers', 'Distracted Driving Accident Lawyers', '18-Wheeler Truck Accidents', 'Big Rig Truck Accidents', 'Blind Spot Truck Accidents', 'Cement Truck Accidents', 'Garbage Truck Accidents', 'Tanker Truck Accident Lawyer', 'Wide Turn Truck Accidents', 'I-74 Truck Accidents', 'I-290 Truck Accidents', 'I-90 Truck Accidents', 'I-80 Truck Accidents']","[False, False, False, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, True, True, True]",27,"['Salvi, Schostok & Pritchard P.C. Personal Injury Lawyers', 'Patrick A. Salvi', 'Patricl I Patrick II and Brian', 'Jennifer, Tara, and Jaclyn.', 'Alcohol & Drug Abuse Accidents', 'Fatigued Driving Accident Lawyers', 'Distracted Driving Accident Lawyers', '18-Wheeler Truck Accidents', 'Big Rig Truck Accidents', 'Blind Spot Truck Accidents', 'Cement Truck Accidents', 'Garbage Truck Accidents', 'Tanker Truck Accident Lawyer', 'Wide Turn Truck Accidents', 'I-74 Truck Accidents', 'I-290 Truck Accidents', 'I-90 Truck Accidents', '', 'Top Abogados de Accidentes de Auto in Chicago', 'Top Personal Injury Lawyer in Waukegan', '', 'Super Lawyers Top 10 Illinois', 'Patrick A. Salvi - Lawyer of the Year', 'The National Trial Lawyers', 'Avvo Rating 10.0', 'Salvi Schostok & Pritchard P C BBB Business Review', '']","[False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Chicago,9,https://www.gwclaw.com/practice-areas/personal-injury/car-accidents/truck/,31,29,2,115923,3419,5200,44,123,105,22,58,5,True,"Chicago Truck Accident Lawyer | Trucking Accident Wrecks Injury Attorneys Near Me in Illinois | Law Firm for Semi-Truck, 18 Wheeler, Tractor Trailer, Big Rig Accidents & Crashes - Burr Ridge & Libertyville, IL",True,1,['Chicago Truck Accident Lawyers'],[True],17,"['Have you or someone that you love been injured or suffered significant property damage in a Chicago truck accident that was not your fault?', 'How Do Truck Drivers Cause Accidents?', 'Where Are Large Truck Accidents Most Common in Illinois?', 'Truck Accident Frequently Asked Questions', 'Truck Accident Injuries Often Cause Chronic Pain', 'Other Truck Accident Damages', 'Who Is Responsible for a Truck Accident?', 'What If the Victim Is Partly Responsible for the Truck Accident?', 'What You Should Do After a Truck Accident', 'How Long Will a Truck Accident Claim Take?', 'How Much Will It Cost to Hire a Truck Accident Lawyer?', 'GWC Injury Lawyers: YOUR Chicago Truck Accident Lawyers', 'We Win Cases', '$8,000,000', 'Free Case Evaluation', 'Take Control', 'Office Locations']","[True, False, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]",8,"['Mechanical Failures', 'Driver Error', '18-Wheeler Accidents', 'Delivery Truck Accidents', 'Chicago Office', 'Burr Ridge Office', 'Libertyville Office', 'Rockford Office']","[False, False, False, True, False, False, False, False]",9,"['Chicago Personal Injury Attorneys', 'Truck Accidents', 'Truck Accidents', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Lawyers', 'Chicago Personal Injury Attorneys', 'Chicago Personal Injury Attorneys', 'captcha txt', 'captcha txt']","[False, True, True, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Chicago,10,https://www.cliffordlaw.com/truck-accidents/,49,31,1,505603,12336,949,93,108,13,6,8,206,False,Chicago Truck Accident Attorney,True,1,['Chicago Truck Accident Lawyers'],[True],5,"['Why Choose Us?', 'When to See a Lawyer', 'Common Causes of Truck Accidents', 'Determining Liability', 'Contact Us Today']","[False, False, True, False, False]",1,['Resources:'],[False],15,"['NO ALT', 'logo', 'logo-mobile', 'NO ALT', 'Best Lawyers Personal Injury 2023', 'Clifford_Law_Offices_Trucking_Litigation_Timeline', 'Clifford Law Offices Best Truck Accident Lawyers in Chicago 2023 by Expertise', '2020-no_1-truck-accidents-settlement-il-clifford-law', 'Footer Background', 'Footer Background Tablet', 'Footer Mobile', 'Clifford Law Offices', 'NO ALT', 'iLawyer Marketing Logo', '']","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False]",True,False
