keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Wrongful Death Lawyer Chicago,1,https://www.levinperconti.com/wrongful-death/,37,30,3,707000,13864,2993,0,0,77,27,26,84,True,Chicago Wrongful Death Lawyer | Levin & Perconti﻿,True,1,['Chicago Wrongful Death Lawyer'],[True],12,"['What Qualifies as Wrongful Death?', 'Who Can File a Wrongful Death Lawsuit in Chicago?', 'How Long Do I Have to File a Wrongful Death Claim in Illinois?', 'Chicago Wrongful Death Laws', 'How to Prove a Wrongful Death Claim in Chicago', 'Who Can I Hold Accountable for a Wrongful Death?', 'What Damages Can I Recover in a Wrongful Death Lawsuit?', 'Most Common Types of Wrongful Death Cases in Chicago', 'How Can a Chicago Wrongful Death Lawyer Help with My Claim?', 'How Much is a Wrongful Death Case Worth?', 'Contact a Chicago Wrongful Death Lawyer', 'Testimonials']","[True, True, True, True, True, True, True, True, True, True, True, False]",18,"['Quick Links', 'Motor Vehicle Accidents', 'Pet Accidents', 'Medical Malpractice', 'Nursing Home Abuse', 'Product Defect', 'Police Shootings', '$2.3 Million', '$3.6 Million', '$5 Million', '$12 Million', '$7.62 Million', '$6.5 Million', 'Contact Us', 'Related Pages', 'Notable Results', 'FAQs', 'Our Office']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",16,"['levin & perconti logo', 'levin & perconti logo', 'Infographic - Common Causes of Injury Deaths in Illinois', 'Infographic - Common Causes of Injury Deaths in Illinois', 'M.R.Z.,', 'M.R.Z.,', 'W.R., ', 'W.R., ', 'Kathy and Ron', 'Kathy and Ron', 'W.R., ', 'W.R., ', 'D.G., ', 'D.G., ', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Chicago,2,https://www.horwitzlaw.com/areas-of-practice/wrongful-death-lawyer/,33,30,1,142908,3372,1974,86,117,38,13,21,65,True,Dedicated Chicago wrongful death attorneys | No fees unless we win,True,1,['Dedicated Chicago wrongful death attorneys'],[True],7,"['What is wrongful death?', 'Proving fault for a wrongful death', 'Who can file a wrongful death lawsuit?', 'What is the statute of limitations?', 'Compensation in a wrongful death case', 'Illinois wrongful death FAQs', 'Contact our attorneys today']","[True, True, True, False, True, True, False]",14,"['Practice Areas', 'Services We Provide to Property Owners & Public Adjustors', 'Duty', 'Breach of Duty', 'Damages', 'Causation', 'Multiple liable parties', 'Q: What is the difference between a wrongful death claim and a survival action?', 'Q: What are my options if the cause of a loved one’s death isn’t immediately identifiable?', 'Q: Are there limits on the amount of recovery I can receive from a wrongful death claim?', 'Q: Can I file a wrongful death claim if my loved one died from a criminal act?', 'Q: How much will legal representation cost?', 'Q: Why do I need an attorney?', 'Q: What are the wrongful death statistics in Illinois?']","[False, False, False, False, False, False, False, True, False, True, True, False, False, True]",11,"['NO ALT', 'Illinois Personal Injury Lawyers', 'Illinois Personal Injury Lawyers', 'NO ALT', 'NO ALT', 'chicago wrongful death attorney', 'chicago wrongful death attorney', 'Illinois Wrongful Death Statistics', 'Illinois Wrongful Death Statistics', 'Jelly MDHV', 'Jelly MDHV']","[False, False, False, False, False, True, True, True, True, False, False]",True,False
Wrongful Death Lawyer Chicago,3,https://www.salvilaw.com/wrongful-death/,43,35,1,51017,9488,3641,4,0,62,18,25,147,True,"Chicago Wrongful Death Attorney | Salvi, Schostok & Pritchard P.C.",True,1,['Chicago Wrongful Death Attorney'],[True],13,"['Our Experience with Illinois Wrongful Death Cases', 'Are Accidents a Leading Cause of Death in Illinois?', 'What Is A Wrongful Death Lawsuit?', 'Wrongful Death Accidents FAQs', 'Wrongful Death', 'How Do You Prove a Wrongful Death Claim in Illinois?', 'What is the Statute of Limitations on a Wrongful Death Suit in Illinois?', 'Who Can File a Wrongful Death Lawsuit in Illinois?', 'Who Can Be Sued for Wrongful Death in Illinois?', 'What Can You Recover in a Lawsuit in Illinois?', 'Does Comparative Fault Factor into a Lawsuit?', 'How Can a Chicago Attorney Help with Your Claim?', 'Contact a Chicago Lawyer']","[True, False, True, True, True, True, True, True, True, False, False, False, False]",14,"['Can I afford to hire an attorney to handle my wrongful death action?', 'What is a wrongful death accident lawsuit?', 'Who can file a wrongful death accident lawsuit?', 'What are common causes of wrongful death accidents in Chicago and Illinois?', 'What damages can be recovered in a wrongful death accident case?', 'What are common causes of medical malpractice wrongful deaths?', 'Who can recover in a medical malpractice wrongful death matter?', 'What damages are available in medical negligence wrongful death cases?', 'Who may be sued in a medical mistake wrongful death case?', 'What is the statute of limitations in an Illinois medical malpractice wrongful death case?', 'Can I afford an attorney to pursue a medical negligence wrongful death lawsuit?', 'Who can be sued in a wrongful death accident case?', 'When does a wrongful death lawsuit have to be filed?', 'Our Results']","[True, True, True, True, True, True, True, True, True, True, True, True, True, False]",36,"['Salvi, Schostok & Pritchard P.C. Personal Injury Lawyers', 'wrongful death lawyer', 'Patrick  II and Tara', 'wrongful death Verdict icon', 'wrongful death Settlement', 'wrongful death Settlement', 'Leading Cause of Death in Illinois', 'Top 3 causes of deaths in the U.S.', 'Statute of Limitations', 'wrongful death lawsuit graphic', 'Wrongful death in Motor vehicle accidents', 'Fair compensation - Money, goods and services', 'Comparative Fault Factor in cars collision', 'initial consultation with our wrongful death lawyer', 'Patrick A. Salvi', 'image', 'image', 'image', 'image', 'image', 'image', 'image', 'image', 'image', 'image', 'image', 'image', 'Top Abogados de Accidentes de Auto in Chicago', 'Top Personal Injury Lawyer in Waukegan', '', 'Super Lawyers Top 10 Illinois', 'Patrick A. Salvi - Lawyer of the Year', 'The National Trial Lawyers', 'Avvo Rating 10.0', 'Salvi Schostok & Pritchard P C BBB Business Review', '']","[False, True, False, True, True, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Chicago,4,https://www.powerrogers.com/wrongful-death/,29,26,1,95482,1849,1384,158,70,41,11,12,10,True,Wrongful Death Lawyer Chicago | IL Wrongful Death Claims,True,1,['Chicago Wrongful Death Attorney'],[True],15,"['Representing Grieving Families Throughout Illinois', 'What Is A Wrongful Death Action?', 'Who Can File A Wrongful Death Claim?', 'What Is The Illinois Wrongful Death Statute Of Limitations?', 'Elements Of A Wrongful Death Claim', 'Over $5 Billion Won In Verdicts And Settlements', 'Practice Areas', '$95,477,464', '$40,000,000', '$38,250,000', '$35,000,000', '$33,400,000', '$10,000,000', 'Get The RepresentationYou Need', 'Chicago Office']","[False, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",3,"['On This Page:', 'Is This A Criminal Case?', 'Why Is There A Statute Of Limitations?']","[False, False, False]",15,"['Power Rogers, LLP', 'Power Rogers, LLP', '', 'Best Lawyers | Best Law Firms | U.S News & World Report | 2023', 'The Inner Circle Of Advocates', 'American College Of Trial Lawyers', 'The Best Lawyers In America', 'Law Dragon', 'Illinois Super Lawyers Top 10 Lawyer', 'Salus Populi Suprema Lex Esto', 'Top 10 Jury Verdicts All Practice Areas Illinois 2018', 'Top 10 Settlements Medical Malpractice United States 2018', 'International Society Of Barristers', 'Power Rogers, LLP', 'Power Rogers, LLP Group Photo']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Chicago,5,https://www.meyers-flowers.com/practice-areas/injury/wrongful-death/,31,25,4,97018,716,1720,306,71,25,5,11,3,True,Chicago Wrongful Death Attorney | Best Wrongful Death Lawyer Chicago,True,1,['Wrongful Death'],[True],7,"['Who can bring a wrongful death lawsuit under Illinois law?', 'What If the Deceased Person Survived for a Period of Time After Sustaining Injuries?', 'What Are My First Steps in a Wrongful Death Suit?', 'What Constitutes a Wrongful Death Case in Illinois?', 'What Can a Wrongful Death Suit Do for Me?', 'What Are Some Examples of a Wrongful Death Case?', 'What Types of Compensation Are Available?']","[True, False, True, True, True, True, False]",14,"['Schedule A Consultation', 'Duty', 'Breach', 'Causation', 'Damages', 'Schedule a free case evaluation or join a case', 'Defective Devices', 'Harmful Products', 'Dangerous Drugs', 'Defective Hip Litigation', 'Injury', 'Our Firm', 'Business Litigation', 'Waverly Flood Lawsuit']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",5,"['Meyers & Flowers Trial Attorneys', '', '', 'Schedule a consultation | Meyers & Flowers Trial Attorneys', 'Meyers & Flowers Trial Attorneys']","[False, False, False, False, False]",False,False
Wrongful Death Lawyer Chicago,6,https://www.dispartilaw.com/wrongful-death-lawyer-chicago-il/,31,22,1,6148,2610,2994,230,280,49,44,47,2,True,Chicago Wrongful Death Lawyer | Disparti Law Group,True,1,['Chicago Wrongful Death Lawyer'],[True],55,"['OVER\xa0$1 BILLION IN RECOVERIES FOR OUR CLIENTS', 'Wrongful Death Lawyer Chicago, IL', 'WE WILL MAKE SURE ALL OF THE PAPERWORK IS FILED PROPERLY.', 'WE WILL INVESTIGATE WHAT HAPPENED.', 'WE WILL CALCULATE THE DAMAGES.', 'WE WILL FOCUS ON THE CASE WHILE YOU FOCUS ON YOUR FAMILY.', 'FREQUENT QUESTIONS ABOUT ILLINOIS WRONGFUL DEATH LAWSUITS', 'Chicago Wrongful Death Law Infographic', 'Chicago Wrongful Death Law Statistics', 'Disparti Law Group Chicago Wrongful Death Lawyer', 'Chicago Wrongful Death Lawyer Google Review', 'CONTACT US TODAY', 'Car Accident', 'Truck Accident', 'Motorcycle Accident', 'Bicycle accident', 'Catastrophic Accident', 'Dog bite injury', 'Medical Malpractice', 'Nursing Home Abuse', 'Slip and fall', 'Product Liability', 'Traumatic Brain Injury', 'Uber Accident', 'FREE CASE EVALUATION', 'Disparti Law Group is the Official Law Group of the DePaul Blue Demons', 'Reasons To Consult A Workers Compensation Lawyer', 'DISPARTI LAW GROUP NOMINATED  FOR GOLDEN GAVEL AWARD', 'DISPARTI LAW GROUP GIVES AWAY FREE UBER RIDES THIS NEW YEAR’S EVE', 'Personal Injury Attorney in Chicago: How to Choose the Right One for Your Case', '""I love the service they provided. They took time to explain the procedure for my case, then they asked if there was anything else they could do. I appreciate the service and wouldn\'t trade it for the 🌍. Love my Lawyers. If you want to win try Disparti Law Group.""', '- Gwen', '""I feel you guys did a great job in handling my case.""', '- V. Gentry', '""Was a great fit for me and would definitely recommend to family and friends.""', '- Christine', '""It has been a wonderful experience working with Disparti Law Group. They are highly recommended.""', '- John', '""Very professional staff, great experience.""', '- Lisa', '""I have NEVER, and I mean, EVER, had such a great experience dealing with lawyers.... I don\'t ever want to be in an accident again, but if I am, I\'m calling Disparti Law. Fantastic service.""', '- Dani', 'FREE CASE EVALUATION', 'DISPARTI LAW GROUP NOMINATED  FOR GOLDEN GAVEL AWARD', 'DISPARTI LAW GROUP GIVES AWAY FREE UBER RIDES THIS NEW YEAR’S EVE', 'Personal Injury Attorney in Chicago: How to Choose the Right One for Your Case', 'Join Our Newsletter', 'Success!', 'LATEST NEWS', 'Disparti Law Group is the Official Law Group of the DePaul Blue Demons', 'Reasons To Consult A Workers Compensation Lawyer', 'PRACTICE AREAS', 'Chicago, IL', 'Tampa, FL', 'Follow Us']","[False, True, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",29,"['Schedule Your Free Consultation Today!', 'Chicago Wrongful Death Lawyer', 'WHO CAN FILE A WRONGFUL DEATH LAWSUIT?', 'WHAT TYPE OF LOSSES CAN THE VICTIM’S FAMILY BE COMPENSATED FOR?', 'HOW DO I FILE A WRONGFUL DEATH LAWSUIT?', 'HOW LONG DO I HAVE TO FILE A WRONGFUL DEATH CASE?', 'HOW DO I KNOW WHO WAS RESPONSIBLE FOR THE ACCIDENT?', 'WHAT ELSE SHOULD I KEEP IN MIND DURING THIS TIME?', 'IS IT IN MY BEST INTEREST TO ACCEPT A SETTLEMENT OFFER?', 'WHAT IF I’M NOT READY TO TAKE ON THIS CASE?', 'TAMPA', 'CHICAGO', 'PERSONAL INJURY', 'PERSONAL INJURY', 'PERSONAL INJURY', 'PERSONAL INJURY', 'CLAIMS', 'BENEFITS', 'THE ULTIMATE EMPLOYMENT LAW GUIDE', 'EMPLOYMENT', 'Resources', 'SHOP', 'FAQ', 'DOWNLOAD OUR FREE E BOOK', 'Our Team', 'Our Team', 'Our Team', 'Our Team', 'Our Team']","[False, True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",30,"['', '', '', 'Wrongful Death', 'common types of wrongful death cases Infographic', 'Contact Chicago Wrongful Death Lawyer', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', '', '', '', '', '', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '']","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Chicago,7,https://www.duncanlawgroup.com/personal-injury/wrongful-death/,24,23,1,15175,1532,2027,42,134,46,22,17,134,True,Chicago Wrongful Death Lawyer | IL,True,1,['Chicago Wrongful Death Attorney'],[True],11,"['Page Navigation', 'What is a Wrongful Death Lawsuit?', 'Who Can File a Wrongful Death Claim in Illinois?', 'What Damages Can be Recovered in a Chicago Wrongful Death Claim?', 'What is the Statute of Limitations for a Wrongful Death Lawsuit in Illinois?', 'Proving Fault for Wrongful Death', '', 'Who Can Be Sued for Wrongful Death in Chicago?', 'Comparative Fault in Chicago Wrongful Death Claims', 'Wrongful Death Statistics', 'Contact an Experienced Chicago Wrongful Death Lawyer Today']","[False, True, True, True, True, True, False, True, True, True, True]",5,"['Practice Areas', 'Duty of Care', 'Deviation from Duty of Care', 'Direct Causation', 'Damages']","[False, False, False, False, False]",5,"['duncan law group logo', 'duncan personal injury law group logo', 'chicago skyscrapers', 'chicago wrongful death lawyer ', 'Chicago cemetery ']","[False, False, False, True, False]",True,False
Wrongful Death Lawyer Chicago,8,https://www.kryderlaw.com/chicago-wrongful-death-lawyer/,29,27,4,6122,2346,1982,256,296,45,26,18,3,True,Chicago Wrongful Death Lawyer | Survival Action Attorney | Fatal Accident,True,1,['Chicago Wrongful Death Lawyer'],[True],9,"['How Do You Know if You Have a Wrongful Death Case?', 'What Are the Steps Involved in a Wrongful Death Case?', 'What Forms of Compensation Can You Recover?', 'What Can The Kryder Law Group, LLC Do for You?', 'The Statute of Limitations Restricts the Amount of Time You Have to File a Wrongful Death Lawsuit', 'Our Chicago Wrongful Death Lawyers Are Here for You in Your Time of Loss', 'A Chicago Wrongful Death Attorney is Ready to Help', 'Do I have a case?', 'Settlements & Verdicts']","[True, True, False, False, True, True, True, False, False]",6,"['Duty of Care', 'Breach of Duty of Care', 'Causation', 'Losses', 'Past Results for Our Clients', 'What will I get in my free consultation?']","[False, False, False, False, False, False]",16,"['serach', 'The Kryder Law Group, LLC Accident and Injury Lawyers', 'Search', 'How Do You Know If You Have a Wrongful Death Case Infographic', 'woman mourns deceased husband in hospital bed', 'Phone', 'Fax', 'Address', 'Award Logo', 'Award Logo', 'Award Logo', 'Award Logo', 'Award Logo', 'Phone', 'The Kryder Law Group, LLC Accident and Injury Lawyers', 'Cleantalk Pixel']","[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Chicago,9,https://www.malmanlaw.com/chicago-wrongful-death-lawyer/,36,31,1,171808,7072,4490,140,15,69,24,34,2,True,Chicago Wrongful Death Attorney | Malman Law,True,1,['Chicago Wrongful Death Attorney'],[True],24,"['Chicago Wrongful Death Attorney', 'Unintentional Injury Causes of Death for Americans aged 1 to 44 years old in 2020', 'What Constitutes a Wrongful Death?', 'What Are Some Examples Of A Wrongful Death Case?', 'How Can The Best Wrongful Death Attorney Help?', 'Chicago Wrongful Death Laws', 'How Wrongful Death Claims Work in Illinois', 'Who Can File a Wrongful Death Lawsuit in Chicago?', 'Who Can I Hold Accountable for a Wrongful Death?', 'Timeline to File a Wrongful Death Claim in Chicago', 'Recover Damages in a Wrongful Death Lawsuit', 'How Much is a Wrongful Death Case Worth?', 'Proving a Wrongful Death Claim', 'Who Can Be Sued For Wrongful Death in Chicago?', 'Most Common Types of Wrongful Death Cases in Illinois', 'Contact a Wrongful Death Attorney Near You Today', '$11.8 Million', '$6 Million', '$5 Million', '$3 Million', '$9 Million', 'Know Your Rights!', 'What’s your case worth? Submit for a free case review', '1 (888) 625-6265']","[True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False]",13,"['1.888.625.6265', '49,643', '21,780', '2,232', '1,176', '5,377', 'Auto Accidents', 'Medical Malpractice', 'Work Accidents', 'Many wrongful death cases involve severe injuries', 'What’s your case worth? Submit for a free case review', 'Our Location', 'Know Your Rights!']","[False, False, False, False, False, False, False, False, False, True, False, False, False]",350,"['NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'img', 'img', 'NO ALT', 'NO ALT', 'img', 'img', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'img', 'img', 'img', 'img']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,True
Wrongful Death Lawyer Chicago,10,https://www.coplancrane.com/personal-injury-cases/wrongful-death/,24,20,1,1719,805,464,286,0,9,8,7,2,True,Chicago Wrongful Death Lawyer | IL Wrongful Death Attorneys,True,1,['Chicago Wrongful Death Lawyers'],[True],2,"['Wrongful Death Attorneys Serving Illinois', 'Chicago wrongful death lawyers Coplan & Crane – We can help you through this']","[True, True]",0,[],[],22,"['Coplan and Crane | Personal Injury Lawyers', 'Coplan and Crane | Personal Injury Lawyers', 'phone', 'search', 'menu bars', 'close menu', 'shield', 'aaj leaders forum logo', 'av preeminent peer rated logo', 'avvo rated logo', 'best and brightest logo', 'leading lawyers network logo', 'million dollar advocated forum logo', 'super lawyers logo', 'Coplan and Crane | Personal Injury Lawyers', 'phone solid', 'twitter', 'youtube', 'linkedin', 'facebook', 'instagram', 'twelve three media']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
