keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Personal Injury Lawyer Denver,1,https://www.whaleninjurylawyers.com/denver/,19,10,1,23118,413,1030,197,48,22,22,30,4,True,Denver Personal Injury Attorneys - Whalen Injury Lawyers,True,1,['Denver Personal Injury Attorneys'],[True],11,"['Personal Injury Law', 'Personal Injury Law', 'Case Results', 'Why should you hire Denver personal injury attorneys?', 'Why Whalen Injury Lawyers?', 'Denver Tech Center', 'Request a Free Consultation', 'Practice Areas', 'Attorneys', 'Denver Tech Center', 'Colorado Springs:']","[True, True, False, True, False, False, False, False, False, False, False]",14,"['$100 K', '$125 K', '$125 K', '$140 K', '$150 K', '$150 K', '$150 K', '$185 K', '$200 K', '$200 K', 'The lawyers at Whalen Injury lawyers are tough and courageous advocates', 'Large insurance companies and big corporations', 'We are proud to be one of America’s Top 100 Attorneys', 'Whalen Injury lawyers will fight for your best interests']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",29,"['Whalen_Injury_Lawyers_GreenWhite', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Whalen_Injury_Lawyers_GreenWhite', 'Whalen_Injury_Lawyers_GreenWhite']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,2,https://www.fanglawfirm.com/,28,37,3,42950,1329,2971,19,101,33,18,52,74,True,Denver Personal Injury Lawyer | The Fang Law Firm,True,1,['Denver Personal Injury Attorneys'],[True],9,"['The Fang Law Firm: Who We Are.', 'Why Choose The Fang Law Firm in Denver?', 'Do I Have a Personal Injury Case?', 'What Damages Are Available?', 'Proving Negligence in an Injury Claim', 'What Is the Statute of Limitations in Colorado?', 'What to Look for in Your Personal Injury Lawyer', 'Contact Us for Help', 'Proudly Serving Colorado Communities']","[False, False, True, False, False, False, True, False, False]",8,"['Why You Need a Personal Injury Lawyer', 'Medical Costs', 'Lost Wages', 'Property Damage', 'Pain and Suffering', 'Out-of-Pocket Expenses', 'Wrongful Death Damages', 'Punitive Damages']","[True, False, False, False, False, False, False, False]",37,"['', 'sixcount lne svg', 'NO ALT', 'NO ALT', 'NO ALT', 'Denver Personal Injury Attorney Video Thumbnail', 'NO ALT', 'Parralax Img One', 'Parralax Img One', 'Parralax Img One', 'Small Device Section One Background', 'Small Device Section One Background', 'Co Image Bg', 'NO ALT', 'Denver Accident Attorneys', 'Denver Accident Attorneys Image One', 'Denver Accident Attorneys Image Two', 'NO ALT', '', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Fang Law', 'Fang Law Image One', 'Fang Law Image Two', 'NO ALT', 'NO ALT', 'denver icon svg', 'denver title accent', 'boulder icon', 'boulder title accent', 'colorado_springs icon', 'colorado_springs title accent', 'six count line', 'three count line', 'ilawyermarketing logo']","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,3,https://www.coloradoinjurylaw.com/,32,40,1,29066,1017,1355,62,76,8,5,13,5,True,Denver Personal Injury Attorneys | Colorado Injury Law,True,1,['Denver Personal  Injury Attorneys'],[False],4,"['What Sets Our Firm Apart', 'Contact Fuicelli & Lee for Assistance', 'We know the true value of your claim, and we never back down from a fight.', 'Free Consultation']","[False, False, False, False]",1,['Contact Us For  Your Free Consultation'],[False],31,"['NO ALT', '', '', 'Fuicelli & Lee Injury Lawyers', '', '', '', '', 'Fuiceilli & Lee Injury Lawyers Team', '', '', '', '', '', '', '', 'Fuicelli & Lee Injury Lawyers', '', '', 'Fuicelli & Lee Injury Lawyers', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,4,https://www.denverlaw.com/,28,30,2,108848,78,3944,0,0,54,50,72,25,True,Denver Personal Injury Lawyers,True,1,['Denver Personal Injury Lawyers'],[True],8,"['Call (720) 500-HURT', 'Making a Difference in the People of Colorado’s Lives', 'Meet Our Team', 'Practice Areas', 'Latest News', 'Providing Personal Injury Legal Services to  Denver and Surrounding Areas', 'Tell Us About Your Case', 'Free Consultations']","[False, False, False, False, False, True, False, False]",11,"['Recover from Your Accident- Financially and Physically', 'CAR ACCIDENTS', 'CAR ACCIDENTS', 'PERSONAL INJURY', 'PERSONAL INJURY', 'WRONGFUL DEATH', 'WRONGFUL DEATH', 'Can I Get Reimbursed For Lost Wages After a Car Accident?', 'What Are the Most Dangerous Types of Car Accidents?', 'What Happens When a Car Accident Causes a Permanent Disability?', 'Denver Personal Injury Lawyers']","[False, False, False, True, True, False, False, False, False, False, True]",114,"['Denver Personal Injury Lawyer', 'Denver Personal Injury Lawyer', 'Denver Personal Injury Lawyer', 'Denver Personal Injury Lawyer', 'Denver Personal Injury Lawyers', 'Denver Personal Injury Lawyers', 'Denver Car Accident Lawyers Shadow', 'Denver Car Accident Lawyers Shadow', 'Denver Personal Injury Lawyers', 'Denver Personal Injury Lawyers', 'Jonathon Douglas', 'Jonathon Douglas', 'Sean McQuaid', 'Sean McQuaid', 'Jesse Morse', 'Jesse Morse', 'D Ranger Jackson', 'D Ranger Jackson', 'AV', 'AV', 'AVVO', 'AVVO', 'BBB', 'BBB', 'Google', 'Google', 'Justia', 'Justia', 'CBA', 'CBA', 'Jonathon Douglas on CBS News', 'Jonathon Douglas on CBS News', 'Denver CBS News', 'Denver CBS News', 'in-the-news-digital-journal', 'in-the-news-digital-journal', 'in-the-news-fox-news', 'in-the-news-fox-news', 'in-the-news-market-watch', 'in-the-news-market-watch', 'in-the-news-yahoo-finance', 'in-the-news-yahoo-finance', 'Stephen R. Avatar', 'Stephen R. Avatar', 'Janis G. Avatar', 'Janis G. Avatar', 'Brenda T. Avatar', 'Brenda T. Avatar', 'Krystal P. Avatar', 'Krystal P. Avatar', 'Mason D. Avatar', 'Mason D. Avatar', 'Carole M. Avatar', 'Carole M. Avatar', 'A G. Avatar', 'A G. Avatar', 'Mike M. Avatar', 'Mike M. Avatar', 'Catherine H. Avatar', 'Catherine H. Avatar', 'Helen A. Avatar', 'Helen A. Avatar', 'Ralph B. Avatar', 'Ralph B. Avatar', 'Alene K. Avatar', 'Alene K. Avatar', 'A G. Avatar', 'A G. Avatar', 'Eloise G. Avatar', 'Eloise G. Avatar', 'Kelli B. Avatar', 'Kelli B. Avatar', 'John H. Avatar', 'John H. Avatar', 'Michael R. Avatar', 'Michael R. Avatar', 'Jody K. Avatar', 'Jody K. Avatar', 'A G. Avatar', 'A G. Avatar', 'Delia G. Avatar', 'Delia G. Avatar', 'Victor N. Avatar', 'Victor N. Avatar', 'Andrew H. Avatar', 'Andrew H. Avatar', 'Jack K. Avatar', 'Jack K. Avatar', 'Nathan D. Avatar', 'Nathan D. Avatar', 'A G. Avatar', 'A G. Avatar', 'Dedrick B. Avatar', 'Dedrick B. Avatar', 'A G. Avatar', 'A G. Avatar', 'Christopher J. Avatar', 'Christopher J. Avatar', 'A G. Avatar', 'A G. Avatar', 'Karen L. Avatar', 'Karen L. Avatar', 'Can I Get Reimbursed For Lost Wages After a Car Accident?', 'Can I Get Reimbursed For Lost Wages After a Car Accident?', 'What Are the Most Dangerous Types of Car Accidents?', 'What Are the Most Dangerous Types of Car Accidents?', 'What Happens When a Car Accident Causes a Permanent Disability?', 'What Happens When a Car Accident Causes a Permanent Disability?', 'Denver Car Accident Lawyers Shadow', 'Denver Car Accident Lawyers Shadow', 'Denver Personal Injury Lawyers', 'Denver Personal Injury Lawyers', 'Denver Personal Injury Lawyers', 'Denver Personal Injury Lawyers']","[True, True, True, True, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True]",True,False
Personal Injury Lawyer Denver,5,https://www.coloradolaw.net/,37,45,1,58499,5557,1217,156,97,7,9,17,16,True,Denver Personal Injury Lawyers | Bachus & Schanker,True,1,['PERSONAL INJURY LAWYERS'],[True],33,"['TRUSTED SINCE 1996', 'Consultation is free.No hourly fees, No upfront expenses.Only pay when we win.', 'OVER $1 BILLION RECOVERED.', 'NO UPFRONT FEE', 'WINS', 'OVER $1 BILLION', 'FOR OUR CLIENTS', 'get a free caseconsultation', 'our practice areas', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'LEARN MORE', 'DENVER PERSONAL INJURY LAWYERS', 'testimonials', 'how we help you', 'we get real results for you', 'CLIENT STORIES', 'you deserve fair compensation', 'call or message us today to talk about your case', 'MOTOR VEHICLE ACCIDENTS', 'PRACTICE AREAS', 'THE FIRM', 'INFORMATION CENTER', 'CONTACT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",21,"['GET A FREE CASE CONSULTATION', 'see all practice areas', 'helping clients win since 1996', 'Helping clients nationwide pursue justice', '$15 Million', '$3.75 Million', '$11.5 Million', '$3.75 Million', '$3.75 Million', '$7 Million', '$4.6 Million', '$3 Million', '$4.7 Million', '$2.1 Million', '$1.8 Million', '$1.2 Million', 'Denver', 'Englewood', 'Fort Collins', 'Colorado Springs', 'Aurora']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",24,"['Bachus & Schanker', '', '', 'Bachus & Schanker', 'top-lawyer', '10-best', 'super-lawyers', 'multi-million', 'national-trial', 'av', 'accred-business', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,6,https://www.wilhitelawfirm.com/,18,32,40,4857,652,620,17,186,11,0,8,86,True,Colorado & Texas Personal Injury Lawyers - The Wilhite Law Firm,True,1,['Personal Injury Law Firm in Colorado & Texas'],[True],4,"['Our Lawyers Demand Justice for Accident Victims', 'How Can We Help You?', 'Helping Injured PeopleThroughout Colorado and Texas', 'Talk to a Personal Injury Lawyer Near You']","[False, False, False, True]",1,['Helping accident victims secure the compensation they deserve throughout Colorado and Texas'],[False],51,"['logo', 'logo', 'hero image', 'icon play', 'award-aaj-wilhite', 'award-super-lawyer-wilhite', 'award-mulimillion-wilhite', 'award-million-wilhite', 'award-abta-wilhite', '', '', '', '', '', '', 'image', 'image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'attorney image', 'image', 'image', 'image', 'Sawaya Law Firm', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,7,https://olsonlawfirm.com/personal-injury/,28,30,1,241796,2128,4129,83,130,63,23,65,30,True,"Denver Personal Injury Attorney - Olson Law Firm, LLC",True,1,['Denver Personal Injury Lawyer'],[True],15,"['Compensation You Could Recover in a Denver Personal Injury Claim', 'How Our Denver Personal Injury Lawyer Can Help with Your Case', 'Denver, Colorado Statute of Limitations on Injury Claims', 'Steps to Take to Protect Your Rights After a Denver Accident', 'Common Types of Catastrophic Injuries in Denver', 'Talk to a Denver Personal Injury Lawyer Now', 'Frequently Asked Questions', 'A Word from Sean', 'How Injured Are You?', 'Are You a Good Negotiator?', 'Can You Learn Court Rules?', 'Speak with a Denver Personal Injury Lawyer Today', 'Understanding Liens in Colorado Personal Injury Cases', 'Determining the Value of Your Personal Injury Case', 'A Personal Injury Claim Can Be a Complex Issue']","[True, True, False, False, False, True, False, False, False, False, False, True, True, True, True]",1,['Compensation is divided into two different categories:'],[False],91,"['logo', 'logo', 'Phone Number', 'Phone Number', 'logo', 'logo', 'Sean Olson Profile', 'Sean Olson Profile', 'car accident icon', 'car accident icon', 'motorcycle accident icon', 'motorcycle accident icon', 'truck accident icon', 'truck accident icon', '', '', 'premises liability icon', 'premises liability icon', '', '', 'medical malpractice icon', 'medical malpractice icon', 'wrongful death icon', 'wrongful death icon', 'Injured client in appointment with his lawyer', 'Injured client in appointment with his lawyer', 'Statute of limitation', 'Statute of limitation', 'Results Matter', 'Results Matter', 'Sean Olson', 'Sean Olson', 'Play Video Button', 'Play Video Button', 'Sean Olson', 'Sean Olson', 'Dominic’s Story', 'Dominic’s Story', 'Play Video Button', 'Play Video Button', 'Client’s Story', 'Client’s Story', 'Play Video Button', 'Play Video Button', 'Jillian’s Story', 'Jillian’s Story', 'Play Video Button', 'Play Video Button', 'Couple arguing with a police over a ticket', 'Couple arguing with a police over a ticket', 'Common Types of Catastrophic Injuries in Denver', 'Common Types of Catastrophic Injuries in Denver', 'Contact Sean Today', 'Contact Sean Today', 'NO ALT', 'NO ALT', 'Play Video Button', 'Play Video Button', 'NO ALT', 'NO ALT', 'Expertise 2022 - Best Personal Injury Lawyers in Westminster', 'Expertise 2022 - Best Personal Injury Lawyers in Westminster', 'Super Lawyers', 'Super Lawyers', 'Avvo Rating', 'Avvo Rating', 'Multi-million Dollar advocates forum', 'Multi-million Dollar advocates forum', 'BBB', 'BBB', 'Best Car Accident Lawyers in Denver', 'Best Car Accident Lawyers in Denver', 'Top 100 Trial Lawyers', 'Top 100 Trial Lawyers', 'Truck Safety Coalition', 'Truck Safety Coalition', 'Olson Law Firm', 'Olson Law Firm', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'DMCA.com Protection Status', 'DMCA.com Protection Status', 'Back to top', 'Back to top', '', '', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,8,https://www.mydenveraccidentlawfirm.com/practices/personal-injury/,33,31,2,7828,966,4617,9,116,55,40,59,144,True,Denver Personal Injury Lawyer | 5 Star Levine Law | Available 24/7,True,1,['Denver Personal Injury Lawyer'],[True],23,"['Denver Personal Injury Lawyer Helping Injured Victims Obtain Compensation and Justice', 'FREE CASE REVIEW', 'How a Denver Personal Injury Lawyer Can Assist Colorado Victims of Negligence or Wrongdoing', 'How Do I Know If I Have an Injury Claim?', 'What Types of Compensation Can I Recover in a Colorado Personal Injury Case?', 'Will I Have to Go to Court for My Injury Claim?', 'What Will Your Denver Personal Injury Lawyer Need from You?', 'Contact Levine Law Today', 'What is a Personal Injury Claim?', 'Understanding Pain and Suffering Damages', 'Can My Injury Lawyer Fight for Punitive Damages?', 'Calculating Your Settlement Amount', 'Can an Injury Lawyer Recover Compensation for Emotional Distress?', 'How Do I Know if the Insurance Companies Offers a Fair Settlement?', 'Table of Contents', 'What Our Clients SayAbout Our Denver Personal Injury Lawyer', 'Denver Personal Injury Lawyer', 'What Will Levine Law Do for My Injury Claim?', 'When Should You Contact a Personal Injury Lawyer?', 'How Much Does It Cost to Hire a Denver Personal Injury Lawyer from Our Firm?', ""WHAT'S YOUR ACCIDENT CASE WORTH?"", ""WHAT'S YOUR ACCIDENT CASE WORTH?"", 'FREE CONSULTATION']","[True, False, True, False, True, False, True, False, True, False, False, False, False, False, False, True, True, False, True, True, False, False, False]",15,"['We Come to You, No Charge', 'No Fees Unless We Win', '3x More $ Than Insurance', 'Jordan S. Levine', ""WHAT'S YOURACCIDENTCASE WORTH?"", 'What is the Settlement Process in Colorado?', 'General Personal Injury Cases', 'Injury Cases Involving Motor Vehicles', 'The “Discovery Rule” Exception', '1. No Fee Unless We Win', '2. Advanced Costs', '3. Settlement or Verdict', '4. Payment of Legal Fees and Costs', '5. Full Compensation for Current and Future Losses', 'NO FEE UNLESS WE WIN']","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False]",34,"['NO ALT', 'Levine Law logo', 'Levine Law logo', '', '', '', 'Attorney Jordan Levine Headshot', 'Facebook icon', 'Yelp icon', 'Google logo', 'Facebook icon', 'Yelp icon', 'Google logo', 'Google logo', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Levine law logo', 'Levine law logo', 'Levine law logo', 'Levine law logo', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,True
Personal Injury Lawyer Denver,9,https://www.zanerhardenlaw.com/,32,40,1,32593,1449,1411,288,131,14,12,20,2,True,Denver Personal Injury Attorneys - Zaner Harden Law,True,1,['Denver Personal Injury Lawyers'],[True],1,['Winning Matters'],[False],1,['Featured Practice Areas'],[False],101,"['Facebook Pixel', 'Click Fraud', 'Denver Personal Lawyer', 'Denver Personal Lawyer', 'Home', 'Home', 'search icon', 'search icon', 'search icon', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'search icon', 'search icon', 'search icon', 'Home Free Consultation border', 'Home Free Consultation border', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'thumbnail hover overlay', 'thumbnail hover overlay', 'Home', 'Home', 'Home', 'thumbnail hover overlay', 'thumbnail hover overlay', 'thumbnail hover overlay', 'Home', 'Home', 'thumbnail hover overlay', 'thumbnail hover overlay', 'Home', 'Home', 'thumbnail hover overlay', 'thumbnail hover overlay', 'Home', 'Home', 'Home', 'thumbnail hover overlay', 'thumbnail hover overlay', 'thumbnail hover overlay', 'Home', 'Home', 'thumbnail hover overlay', 'thumbnail hover overlay', 'arrow next', 'arrow next', 'arrow previous', 'arrow previous', 'video thumbnail', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'square ipad', 'square ipad']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Denver,10,https://www.ramoslaw.com/personal-injury/,28,30,-1,5017,1211,1167,421,98,16,4,20,1,True,Personal Injury Attorneys | Ramos Law,True,1,['Personal Injury Attorneys'],[True],4,"['Personal Injury Attorneys Helping  Accident & Injury Victims', 'Personal Injury Cases', 'Bridging Law & Medicine', 'The Ramos Advantage in Your Personal Injury Case']","[True, True, False, True]",9,"['Tell Us About Your Case', 'Passionate Personal Injury Lawyer', 'Wrongful Death', 'Burn Injuries', 'Brain Injuries', 'Neck & Spine Injuries', 'Slip & Fall Accidents', 'Dog Bites', 'COMPLIMENTARY CONSULTATION']","[False, True, False, False, False, False, False, False, False]",3,"['fbpx', 'Ramos Law', 'Ramos Law']","[False, False, False]",True,False
