keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Wrongful Death Lawyer Denver,1,https://olsonlawfirm.com/personal-injury/wrongful-death/,28,26,1,241796,2128,1750,88,130,36,17,18,49.0,True,"Denver Wrongful Death Lawyer | Olson Law Firm, LLC",True,1,['Denver Wrongful Death Attorney'],[True],5,"['Who Can File a Wrongful Death Claim?', 'How Long Do I Have to File a Wrongful Death Claim in Denver?', 'Denver Wrongful Death Damages', 'Common Causes of Wrongful Death in Denver', 'Contact a Wrongful Death Attorney in Denver']","[True, True, True, True, True]",0,[],[],63,"['logo', 'logo', 'Phone Number', 'Phone Number', 'logo', 'logo', 'Olson Law Firm Attorney', 'Olson Law Firm Attorney', 'Results Matter', 'Results Matter', 'Sean Olson', 'Sean Olson', 'Play Video Button', 'Play Video Button', 'Sean Olson', 'Sean Olson', 'Dominic’s Story', 'Dominic’s Story', 'Play Video Button', 'Play Video Button', 'Client’s Story', 'Client’s Story', 'Play Video Button', 'Play Video Button', 'Jillian’s Story', 'Jillian’s Story', 'Play Video Button', 'Play Video Button', 'Common Types of Catastrophic Injuries in Denver', 'Common Types of Catastrophic Injuries in Denver', 'Contact Sean Today', 'Contact Sean Today', 'Expertise 2022 - Best Personal Injury Lawyers in Westminster', 'Expertise 2022 - Best Personal Injury Lawyers in Westminster', 'Super Lawyers', 'Super Lawyers', 'Avvo Rating', 'Avvo Rating', 'Multi-million Dollar advocates forum', 'Multi-million Dollar advocates forum', 'BBB', 'BBB', 'Best Car Accident Lawyers in Denver', 'Best Car Accident Lawyers in Denver', 'Top 100 Trial Lawyers', 'Top 100 Trial Lawyers', 'Truck Safety Coalition', 'Truck Safety Coalition', 'Olson Law Firm', 'Olson Law Firm', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'Olson Law Firm, LLC', 'DMCA.com Protection Status', 'DMCA.com Protection Status', 'Back to top', 'Back to top', '', '', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Denver,2,https://www.wilhitelawfirm.com/denver/wrongful-death/,18,18,40,4857,652,1645,86,186,38,11,19,102.0,True,Denver Wrongful Death Lawyer - The Wilhite Law Firm,True,1,"['Wrongful Death Lawyer in Denver, Colorado']",[True],5,"['What is A Wrongful Death Lawsuit?', 'Who is Eligible to File a Denver Wrongful Death Case?', 'What are Common Types of Wrongful Death Cases?', 'What Damages Can Be Claimed in a Wrongful Death Claim?', 'Do I Need a Denver Wrongful Death Lawyer in Colorado to File a Lawsuit?']","[True, True, True, True, True]",0,[],[],49,"['logo', 'logo', '', 'Frustrated man getting worried of the car accident.', 'Motor vehicle accident', 'Our Denver auto accident lawyers discuss diminished value claims in Colorado.', 'attorney from The Wilhite Law Firm', 'Robert Wilhite', '', '', '', 'Robert Lane', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Jozie', 'bradley londer', 'gil garcia', 'laura moreno', 'award-aaj-wilhite', 'award-super-lawyer-wilhite', 'award-mulimillion-wilhite', 'award-million-wilhite', 'award-abta-wilhite', '', '', '', '', '', '', 'Sawaya Law Firm', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Denver,3,https://donaldsonlaw.com/wrongful-death-attorney-denver/,28,27,2,7191,1308,1764,154,19,18,20,16,107.0,True,Wrongful Death Attorney Denver - Accidental Death Lawyers Colorado,True,1,"['Wrongful Death Lawyers Denver, Colorado']",[True],11,"['Skip links', 'Header Right', 'Main navigation', 'Experienced Wrongful Death Attorneys in Denver, Colorado', 'Denver Wrongful Death Claims in Denver, Colorado', 'Wrongful Death Liability in Denver, Colorado', 'Elements to a Wrongful Death Claim in Denver, Colorado', 'Colorado Wrongful Death Resources', 'Call Our Denver, Colorado Wrongful Death Lawyer at Donaldson Law, LLC For Your Free Consultation Today', 'Primary Sidebar', 'Footer']","[False, False, False, True, True, True, True, True, True, False, False]",4,"['Practice Areas', 'ACCIDENTS', 'PERSONAL INJURY', 'CLIENT REVIEWS']","[False, False, False, False]",12,"['NO ALT', 'Colorado Wrongful Death Lawyer', '', '', '', '', '', '', '', '', '', 'Lawyer SEO']","[False, True, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Denver,4,https://www.fanglawfirm.com/practice-areas/wrongful-death-attorney-denver/,28,29,3,42950,1329,2402,19,101,60,15,33,65.0,True,Denver Wrongful Death Lawyer | CO,True,1,['Denver Wrongful Death Attorney'],[True],20,"['Why Choose Us?', 'How Can a Denver Wrongful Death Lawyer Help?', 'What is a Wrongful Death Lawsuit?', 'What Damages are Available When Filing a Colorado Wrongful Death Lawsuit?', '', '', '', '', '', 'Who Can Legally File a Wrongful Death Lawsuit in Colorado?', '', '', 'Proving a Wrongful Death Claim in Colorado', '', 'How to File a Wrongful Death Claim in Colorado', 'Causes of Wrongful Death', '', '', 'Wrongful Death Statistics', 'Contact a Wrongful Death Lawyer in Denver']","[False, True, True, True, False, False, False, False, False, True, False, False, True, False, True, True, False, False, True, True]",9,"['Navigate This Page', 'Economic Damages', 'Non-Economic Damages', 'Punitive Damages', 'Duty of Care', 'Breach of the Duty of Care', 'Breach of the Duty of Care that Caused Death', 'Determining If You Have a Case', 'Usual Procedures for a Colorado Wrongful Death Case']","[False, False, False, False, False, False, False, False, True]",22,"['', 'sixcount lne svg', '', ' Image One', ' Image Two', ' Image Three', 'sidebar accent', 'sixcount line svg', 'threecount line svg', 'sixcount line svg', 'Denver Wrongful Death Attorney', 'Tombstone', 'Unintentional Fatal Injuries to Colorado Residents Graph', 'denver icon svg', 'denver title accent', 'boulder icon', 'boulder title accent', 'colorado_springs icon', 'colorado_springs title accent', 'six count line', 'three count line', 'ilawyermarketing logo']","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Denver,5,https://www.btlawdenver.com/denver-wrongful-death-lawyer/,10,19,1,1659,51,633,72,42,23,4,3,2.0,True,Denver Wrongful Death Lawyer | FREE Consultations,True,1,['Denver Wrongful Death Attorney'],[True],3,"['Contact Our Wrongful Death Attorneys at Bryan & Terrill Today', 'Filing a Wrongful Death Lawsuit in Colorado', 'Proving Negligence and Securing Compensation For a Wrongful Death Case in Denver']","[True, True, True]",3,"['Request yourFree Consultation', 'Compensation in most wrongful death claims can include:', 'Practice Areas']","[False, True, False]",3,"['Bryan & Terrill - Personal Injury | Civil Law', 'Call Now', 'Site by ilawyermarketing.com']","[False, False, False]",True,False
Wrongful Death Lawyer Denver,6,https://www.denvertriallawyers.com/denver-wrongful-death-attorney/,36,28,1,27885,4199,2982,173,49,78,26,41,1.0,True,Denver Wrongful Death Attorney | Colorado Trial Lawyers,True,1,['Denver Wrongful Death Attorney'],[True],7,"['How Our Denver Wrongful Death Lawyers Can Help', 'Wrongful Death Topics Covered Here in Denver', 'Practice Areas That Deal with Wrongful Death Cases', 'How Long Do Denver Wrongful Death Cases Take?', 'Why You Need a Denver Wrongful Death Attorney to File a Wrongful Death Case', 'How a Denver Wrongful Death Attorney Can Help', 'Our Approach to a Wrongful Death Case']","[True, True, True, True, True, True, True]",3,"['Proving Negligence in a Wrongful Death Case', 'Possible Compensation in a Colorado Wrongful Death Case', 'Contact Our Denver Wrongful Death Lawyers for a Free Case Evaluation']","[True, True, True]",13,"['Denver Trial Lawyers®', 'Denver Trial Lawyers®', '', '', '', '', '', '', '', '', 'Denver Trial Lawyers®', 'Denver Trial Lawyers®', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer Denver,7,https://www.hlaw.com/denver-wrongful-death-attorneys/,21,35,1,8672,1164,946,20,128,17,6,14,11.0,True,Denver Wrongful Death Lawyer - Fatal Accident Attorneys - Harding & Associates,True,1,['Denver Wrongful Death Lawyers'],[True],4,"['Wrongful Death FAQ', 'Do You Need a Pedestrian Accident Lawyer in Denver, Colorado?', 'Wrongful Death in Colorado: What Are the Laws and How Can a Wrongful Death Lawyer Help You?', 'Why Should You Hire an Accomplished Trial Lawyer?']","[True, False, True, False]",2,"['Contact Us', 'Call us or email us for immediate help:\xa01-800-878-7888']","[False, False]",9,"['Harding & Associates', 'Peer Rated for Highest Level of Professional Excellence by Martindale-Hubbell', 'Super Lawyer Award', 'Ask Denver Lawyer Phil Harding', 'Top 100 Trial Lawyers Award', 'Multi-Million Dollar Association Forum Badge', 'Harding & Associates Logo', 'Facebook', 'LinkedIn']","[False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Denver,8,https://cavelawyer.com/need-help/denver-wrongful-death-lawyer/,13,20,1,6708,485,624,52,118,14,5,6,2.0,True,"Denver Wrongful Death Lawyer | Free Consultation | Cave Law, LLC",True,1,['Denver Wrongful Death Lawyer'],[True],9,"['The Steps You Need to Take After a Wrongful Death Accident', 'File a Claim', 'Keep Track of Your Financials', 'Understand Your Statute of Limitations', 'Contact A Denver Lawyer', '', 'When Should You Reach Out to a Denver Wrongful Death Attorney', 'Have You Been Injured by a Rideshare Driver?', 'Why Should You Hire a Personal Injury Lawyer?']","[True, False, False, False, False, False, True, False, False]",0,[],[],6,"['Cave Law Logo', 'Cave Law', 'Denver Wrongful Death Lawyer glasses', ""Denver's Premier Personal Injury Firm"", '', 'Cave Law Logo']","[False, False, True, False, False, False]",True,False
Wrongful Death Lawyer Denver,9,https://www.mydenveraccidentlawfirm.com/practices/personal-injury/wrongful-death/,33,23,2,7828,966,2037,9,116,48,27,25,148.0,True,Denver Wrongful Death Lawyer | Compensation Options| Levine Law,True,1,['Denver Wrongful Death Lawyer'],[True],13,"['Denver Wrongful Death Lawyer', 'FREE CASE REVIEW', 'Understanding Colorado Wrongful Death Claims', 'Who Can Sue for Wrongful Death in Colorado?', 'Overview of Wrongful Death Damages in Colorado', 'What is the Deadline for Filing a Wrongful Death Claim?', 'How Do I File a Wrongful Death Lawsuit in Colorado?', 'How Can a Denver Wrongful Death Attorney Help?', 'What Our Clients SayAbout Our Denver Personal Injury Lawyer', 'Denver Personal Injury Lawyer', ""WHAT'S YOUR ACCIDENT CASE WORTH?"", ""WHAT'S YOUR ACCIDENT CASE WORTH?"", 'FREE CONSULTATION']","[True, False, True, True, True, True, True, True, False, False, False, False, False]",8,"['We Come to You, No Charge', 'No Fees Unless We Win', '3x More $ Than Insurance', 'Jordan S. Levine', ""WHAT'S YOURACCIDENTCASE WORTH?"", 'Calculating Wrongful Death Non-Economic Damages Under Colorado Law', 'Are There Any Caps on Money Damages in the Cases?', 'NO FEE UNLESS WE WIN']","[False, False, False, False, False, True, False, False]",30,"['NO ALT', 'Levine Law logo', 'Levine Law logo', '', '', '', 'Attorney Jordan Levine Headshot', 'Facebook icon', 'Yelp icon', 'Google logo', 'Facebook icon', 'Yelp icon', 'Google logo', 'Google logo', '', '', '', '', '', '', '', '', '', '', '', 'Levine law logo', 'Levine law logo', 'Levine law logo', 'Levine law logo', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Denver,10,https://www.richardbantalaw.com/wrongful-death/,22,20,1,14561,682,859,27,157,15,22,6,101.0,True,Wrongful Death Lawyer Denver CO | Personal Injury Law Firm Denver CO,True,1,['Wrongful Death Lawyer Denver CO'],[True],1,['WRONGFUL DEATH'],[True],1,['Contact Richard J. Banta'],[False],3,"['Personal Injury Law Firm Denver CO', 'Wrongful Death Lawyer Denver CO', '']","[False, True, False]",True,False
