keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Car Accident Lawyer Los Angeles,1,https://www.jacobyandmeyers.com/los-angeles-car-accident-lawyer/,34,33,3,30432,11904,3408,106,77,52,24,48,3.0,True,Los Angeles Car Accident Lawyer: Why Choose a Local Attorney,True,1,['Los Angeles Car Accident Lawyer'],[True],13,"['How much do they charge?', 'Is it worth it? What do car accident lawyers do for you?', 'What difference does an accident lawyer make?', 'Meet our Lawyers', 'Your Road to Recovery', 'Other Frequently Asked Questions:', 'What Kind of Accidents Do Our Auto Accident Attorneys Handle?', 'We Owe Our Success to Our Clients', 'Common Injuries in a Car Accident', 'California Auto Accident Laws', 'Compensation for Car Accident Victims in California', 'Get a Free Consultation With a Los Angeles Car Accident Lawyer', 'Los Angeles Car Accidents Blog Posts:']","[False, True, False, False, False, False, False, False, True, False, True, True, True]",28,"['Saves you time', 'Saves you money', 'How Long Do You Have to Report a Car Accident in California?', 'When Should You Call an Attorney for a Car Accident?', 'What Is the Normal Settlement for a Car Accident in Los Angeles?', 'What Is a Good Settlement Offer?', 'Is It Worth Getting a Lawyer for a Minor Car Accident?', 'How Do I Maximize My Car Accident Settlement?', 'How Do You Prove Liability in a Car Crash?', 'Can I Afford a Car Accident Lawyer in Los Angeles?', 'What You Need to Know After a Car Accident', 'Drunk Driving Accidents', 'Fatal Car Accidents', 'Food Delivery Car Accidents', 'Head-On Collisions', 'Hit and Run Accidents', 'Parking Lot Accidents', 'Rear-End Collisions', 'Red Light Accidents', 'Rollover Accidents', 'Side-Impact Collisions', 'Speeding Accidents', 'Texting and Driving Accident', 'Uber and Lyft Ridesharing Accidents', 'Whiplash Injuries', 'Work with Los Angeles’s', '#1 PERSONAL INJURY LAWYERS', 'Additional Locations']","[False, False, True, True, True, False, True, True, False, True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",17,"['fbpx', 'logotype', 'main hero banner', 'main hero banner', 'Best Car Accident Lawyers in California Awards Super Lawyers 2022', 'Car Accident Lawyer Wins', 'Best Car Accident Lawyers in Los Angeles - SuperLawyers 2022', 'A woman holds her neck in pain in front of the scene of a car crash.', 'man with a whiplash injury', 'traffic jam in los angeles', 'two cars damaged in a wreck', 'Recognition for Car Accident Lawyers in California', 'How Car Accidents Have Been Impacted by the COVID-19 Pandemic', 'Proving Negligence & Liability in a Car Accident Case', 'Why is it Critical to Purchase Auto Insurance? California Proposition 213 is the Answer', 'How Does Negligence Work In a Court Of Law?', 'Jacoby & Meyers Law Offices Logo']","[False, False, False, False, True, True, True, False, False, False, False, True, True, True, False, False, False]",True,False
Car Accident Lawyer Los Angeles,2,https://dominguezfirm.com/injury-lawyer/car-accident/,39,38,1,22148,10225,2358,53,146,38,13,21,15.0,True,Hire The Best Los Angeles Car Accident Lawyer | 96% Success Rate,True,1,['Los Angeles Car Accident Lawyer'],[True],14,"['Do you need to hire a car accident lawyer?', 'What to do after an accident', 'What should I not do?', 'What are some common car accident injuries?', 'The legal process and time frames', 'What types of compensation am I entitled to?', 'Other Important Questions To Consider:', 'Can I get compensation for a car accident if I am partly to blame for it?', 'What if I was working or on-the-clock at the time of my accident?', 'How our award-winning auto accident attorneys can help you', 'FREE CASE EVALUATION', 'AWARD-WINNING LEGAL TEAM', 'OVER $1 BILLION RECOVERED*', ""DON'T PAY UNTIL YOU WIN""]","[True, False, False, True, False, False, False, True, False, False, False, False, False, False]",8,"['Questions you should ask an auto accident lawyer before hiring them:', 'What are some of the most common injuries?', 'What are the different types of car accidents, causes, and related statistics?', 'I’m undocumented, can you still take my case?', 'HEADQUARTERS', 'RECENT PRESS', 'PRACTICE AREAS', 'STAY IN TOUCH']","[False, False, True, False, False, False, False, False]",33,"['NO ALT', '', '', 'Avvo', 'Personal Injury Lawyers Logo', 'Accident victim who might require an injury attorney', 'Accident victim who might require an injury attorney', 'car accident questions', 'car accident questions', '', '', '', '', '', '', 'Legal scales for attorney', 'Legal scales for attorney', '', '', '', '', '', '', '', '', '', '', 'Dominguez Firm', 'Dominguez Firm', '', '', '', '']","[False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Los Angeles,3,https://www.rkmlaw.net/los-angeles-car-accident-lawyer/,28,38,2,122559,6486,3382,51,171,66,31,41,20.0,True,Los Angeles Car Accident Attorney,True,1,['Los Angeles Car Accident Lawyer'],[True],13,"['Los Angeles Car Accident Resources', 'Why Hire Rose, Klein & Marias LLP for Your Car Accident Claim?', 'Car Accident Statistics in California', 'How Can a Los Angeles Car Accident Attorney Help?', 'Can I Afford the Services of a Car Accident Lawyer?', 'Common Car Accident Injuries', 'California Car Accident Laws', 'Proving Negligence in a Los Angeles Car Accident', 'Can You Recover After a Hit-and-Run?', 'Compensation for Car Accident Victims in California', 'What Should You Do After a Car Accident?', 'Free Consultation With a Car Accident Lawyer in Los Angeles', 'Client Review: 5/5 ★ ★ ★ ★ ★']","[True, True, True, True, True, True, True, True, False, True, True, True, False]",4,"['We Care About Our Clients', 'How Does Comparative Negligence Impact Car Accident Claims?', 'Practice Areas', 'Schedule YourFree Consultation']","[False, True, False, False]",4,"['Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Car Accident Lawyer', 'Car Accident Attorney Los Angeles']","[False, False, True, True]",True,False
Car Accident Lawyer Los Angeles,4,https://www.jmllaw.com/areas-of-practice/personal-injury/car-accidents.shtml,37,34,1,224631,7864,1897,171,117,41,23,25,3.0,True,Los Angeles Car Accident Attorney | Auto Accident Lawyer | Car Crash,True,1,['Los Angeles Car Accident Attorney'],[True],13,"['Los Angeles Car Crash Lawyer', 'Car accident statistics for California', 'Common causes of Los Angeles car accidents', 'How will the LA car accident attorneys at JML Law help your case?', 'When to Hire a Los Angeles car accident lawyer', 'Before you speak to your insurance carrier', 'What kind of settlement can I get from a car accident?', 'How much will a Los Angeles car accident lawyer cost you?', 'We handle all traffic accidents', 'Is there a time limit to file a Los Angeles car accident case?', 'Your attorney can come to you', 'We are ready to act now – call for your free consultation', 'Get your questions answered.']","[False, True, True, True, True, False, True, True, False, True, False, False, False]",0,[],[],3,"['logo', 'logo', 'logo']","[False, False, False]",True,False
Car Accident Lawyer Los Angeles,5,https://www.thebarnesfirm.com/los-angeles-car-accident-lawyers/,33,36,1,105327,7945,5103,79,181,99,48,56,3.0,True,Los Angeles Car Accident Lawyers | The Barnes Firm,True,1,['Los Angeles Car Accident Lawyers'],[True],12,"['Why Should I Hire a Los Angeles Car Accident Lawyer?', 'Car Accident Cases We Handle', 'Why Do Los Angeles Car Accidents Happen?', 'Contact The Barnes Firm', 'California Car Accident Laws', 'What to do After a Car Accident', 'Common Injuries Resulting from Car Accidents', 'What Damages Can I Collect from a Car Accident Claim?', 'Contact A Los Angeles Car Accident Lawyer Today', 'Questions About Whiplash', 'Related Practice Areas:', '(800) 800-0000']","[True, True, True, False, True, True, True, True, True, False, False, False]",9,"['Los Angeles Office Location', 'Questions For A Car Accident Lawyer in Los Angeles', 'Car Accident Questions', 'Questions About Employment After A Car Accident', 'Search', 'RESULTS', 'QUICK LINKS', 'CALIFORNIA OFFICES', 'NEW YORK OFFICES']","[False, True, True, True, False, False, False, False, False]",9,"['NO ALT', '', 'five star reviews', 'five star reviews', 'five star reviews', 'tbf logo-footer', 'en', 'en', 'es']","[False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Los Angeles,6,https://www.farzamlaw.com/los-angeles-car-accident-lawyer/,26,28,-1,4298,1244,1949,44,151,24,21,31,11.0,True,Los Angeles Car Accident Lawyer » Free Consultation | Farzam Law,True,1,['Los Angeles Car Accident Lawyer'],[True],5,"['Injured in a Car Accident?  Find Out How We Can Help.', 'What To Do if You Were Injured in a Los Angeles Car Accident', 'Los Angeles Auto Accident Statistics', 'We are the Right Accident Attorneys in LA for You', 'Los Angeles, CA Car Accident FAQs']","[True, True, False, False, True]",15,"['See a Doctor As Soon as Possible', 'Give a Clear Description of Your Complaints', 'Let us Get Started on Your Case Today', 'Preserve All Documents Potentially Relevant to Your Case', 'Keep a Journal From the Time the Accident Occurred', 'Be Consistent With Treatment', 'Find the Right Doctor To Treat Your Injuries', '“Why Do I Need a Lawyer?”', '“Should I allow the insurance company to take my recorded statement?', '“How much is my case worth?”', '“Am I entitled to a rental vehicle?”', 'Many clients wonder if they are entitled to recover other losses resulting from the accident, such as lost hours at work.', 'Attorney fees may be perceived as a barrier to seeking legal assistance following an accident.', 'If you are dissatisfied with your experience at another attorney’s office, you are under no obligation to retain them as your legal counsel.', 'Related Articles']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",15,"['NO ALT', 'Farzam Law Firm Logo', 'Farzam Law Firm Logo', '', '', 'california-car-accident-statistics-2021', 'california-car-accident-statistics-2021', 'Farzam Law Firm Logo', 'Farzam Law Firm Logo', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Juris Digital', 'Juris Digital']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Los Angeles,7,https://wilshirelawfirm.com/car-accident-lawyers/,33,31,1,84686,9541,2507,369,272,60,2,28,4.0,True,Car Accident Lawyers CA & NV - Over $1 Billion Recovered - Call 24/7,True,1,['Nevada & California Car Accident Attorney'],[True],9,"['Do I Need a Car Accident Lawyer?', 'We Use Contingency Fees for Your Car Accident Lawsuit', 'Free Consultation with Our Car Accident Law Firm', 'Compensation After a Car Accident', 'Top Causes of Car Accidents', 'Most Common Types of Car Accidents', 'Most Common Injuries from Car Accidents', 'How Can I Reduce The Risk Of Having An Auto Accident?', 'Frequently Asked Questions About Car Accidents']","[True, True, True, True, True, True, True, False, True]",6,"['Collecting Evidence for Your Case', 'Negotiating Your Car Accident Settlement', 'Identifying and Suing Parties Involved in Car Accident Lawsuit', 'Determining Fault in Car Accident Cases', 'Dealing with Uninsured and Underinsured Drivers', 'More Helpful Resources from Wilshire Law Firm']","[False, True, True, True, False, False]",24,"['Wilshire law firm Logo', 'Wilshire law firm Logo', 'Car Crash Injury Statistics California & Nevada - Wilshire Law Firm', 'Car Crash Injury Statistics California & Nevada - Wilshire Law Firm', 'Loading', 'Loading', 'Bobby Saadian, Esq', 'Bobby Saadian, Esq', 'Colin M. Jones, Esq', 'Colin M. Jones, Esq', 'A. Ilyas Akbari, Esq', 'A. Ilyas Akbari, Esq', 'John G. Yslas, Esq', 'John G. Yslas, Esq', 'Johnny Ogata, Esq', 'Johnny Ogata, Esq', 'Nicol Hajjar, Esq', 'Nicol Hajjar, Esq', 'Thiago M. Coelho, Esq', 'Thiago M. Coelho, Esq', 'Jon C. Teller, Esq', 'Jon C. Teller, Esq', 'Wilshire law firm Logo', 'Wilshire law firm Logo']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,True
Car Accident Lawyer Los Angeles,8,https://www.gbw.law/los-angeles-car-accident-lawyers/,36,33,1,57294,2381,1421,252,90,31,14,12,3.0,True,Car Accident Attorneys in Los Angeles | Greene Broillet & Wheeler,True,1,['Car Accident Attorneys in Los Angeles'],[True],3,"['Fighting for Fair Compensation After a Serious Car Crash', 'Who Is Liable for My Injuries & Losses After a Car Accident?', 'Get Started Today with a Free Consultation with Our Car Accident Attorneys\t in Los Angeles']","[False, True, True]",4,"['Our Car Accident Settlements & Verdicts', 'What Are the Common Car Accident Injuries in Los Angeles?', 'What Is the California Car Accident Statute of Limitations?', 'Why Is Filing a Police Report After a Wreck So Important?']","[True, True, True, False]",10,"['Greene Broillet & Wheeler, LLP', 'Greene Broillet & Wheeler, LLP', '', 'GBW Car Accident Case Results', '', '', 'Greene Broillet & Wheeler, LLP', 'Greene Broillet & Wheeler, LLP', 'Internet Marketing Experts', '']","[False, False, False, True, False, False, False, False, False, False]",False,False
Car Accident Lawyer Los Angeles,9,https://lntriallawyers.com/personal-injury/car-accidents/,23,26,1,20610,406,3591,205,0,77,28,47,3.0,True,Los Angeles Car Accident Lawyers | Levin & Nalbandyan LLP,True,3,"['LOS ANGELES CAR ACCIDENT LAWYERS', 'LOS ANGELES CAR ACCIDENT LAWYERS', 'LOS ANGELES CAR ACCIDENT LAWYERS']","[True, True, True]",36,"['MILLIONS OF DOLLARS SUCCESSFULLY RECOVERED FOR CAR ACCIDENT VICTIMS BY OUR PERSONAL INJURY LAWYERS', 'OUR CAR ACCIDENT LAWYERS CAN HELP YOU BUILD A CASE', 'FOUND ON THIS PAGE', 'LOS ANGELES CAR ACCIDENT STATISTICS', 'TYPES OF CAR ACCIDENTS', 'HOW LONG DO I HAVE TO REPORT A CAR ACCIDENT IN CALIFORNIA?', 'LET’S DISCUSS YOUR INJURIES', 'CAR ACCIDENT FATALITIES', 'TYPES OF INJURIES IN CAR ACCIDENTS', 'WHO IS LIABLE/RESPONSIBLE FOR A CAR ACCIDENT?', 'WHAT COMPENSATION AM I ENTITLED TO AFTER A CAR ACCIDENT?', 'WHAT TO DO IF YOU ARE INJURED IN A CAR ACCIDENT', 'HIRING THE RIGHT LOS ANGELES CAR ACCIDENT ATTORNEY', 'HIRING THE RIGHT LOS ANGELES CAR ACCIDENT ATTORNEY', 'OVERCOMING ODDS & WINNING CASES', 'WE RELENTLESSLY PURSUE JUSTICE ON BEHALF OF OUR CLIENTS', 'READY TO SPEAK WITH A LAWYER?', 'SCHEDULE A FREE CONSULTATION WITH OUR TEAM NOW', 'MILLIONS OF DOLLARS SUCCESSFULLY RECOVERED FOR CAR ACCIDENT VICTIMS BY OUR PERSONAL INJURY LAWYERS', 'OUR CAR ACCIDENT LAWYERS CAN HELP YOU BUILD A CASE', 'LOS ANGELES CAR ACCIDENT STATISTICS', 'TYPES OF CAR ACCIDENTS', 'HOW LONG DO I HAVE TO REPORT A CAR ACCIDENT IN CALIFORNIA?', 'LET’S DISCUSS YOUR INJURIES', 'CAR ACCIDENT FATALITIES', 'TYPES OF INJURIES IN CAR ACCIDENTS', 'WHO IS LIABLE/RESPONSIBLE FOR A CAR ACCIDENT?', 'WHAT COMPENSATION AM I ENTITLED TO AFTER A CAR ACCIDENT?', 'WHAT TO DO IF YOU ARE INJURED IN A CAR ACCIDENT', 'HIRING THE RIGHT LOS ANGELES CAR ACCIDENT ATTORNEY', 'OVERCOMING ODDS & WINNING CASES', 'WE RELENTLESSLY PURSUE JUSTICE ON BEHALF OF OUR CLIENTS', 'READY TO SPEAK WITH AN LAWYER?', 'SCHEDULE A FREE CONSULTATION WITH OUR TEAM NOW', '213.232.4848', 'Quick Links']","[True, True, False, True, True, True, False, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, True, False, True, True, True, True, True, True, False, False, False, False, False, False]",16,"['FOUND ON THIS PAGE', 'LOS ANGELES CAR ACCIDENT STATISTICS', 'TYPES OF CAR ACCIDENTS', 'HOW LONG DO I HAVE TO REPORT A CAR ACCIDENT IN CALIFORNIA?', 'LET’S DISCUSS YOUR INJURIES', 'TYPES OF INJURIES IN CAR ACCIDENTS', 'WHO IS LIABLE/RESPONSIBLE FOR A CAR ACCIDENT?', 'WHAT COMPENSATION AM I ENTITLED TO AFTER A CAR ACCIDENT?', 'WHAT TO DO IF YOU ARE INJURED IN A CAR ACCIDENT', 'Avoid a lowball insurance settlement for your car accident. Retain a car accident lawyer in Los Angeles who can help you fight for the compensation you deserve.', 'LOS ANGELES CAR ACCIDENT STATISTICS', 'TYPES OF CAR ACCIDENTS', 'HOW LONG DO I HAVE TO REPORT A CAR ACCIDENT IN CALIFORNIA?', 'LET’S DISCUSS YOUR INJURIES', 'We Want to Hear Your Case. Call Us Now:', 'Our Office AddressLevin & Nalbandyan, LLP 811 Wilshire Boulevard Suite 800 Los Angeles,\xa0CA\xa090017Map & Directions [+]']","[False, True, True, True, False, True, True, True, True, True, True, True, True, False, False, False]",28,"['NO ALT', 'Attorneys in Los Angeles California', 'Attorneys in Los Angeles California', 'Attorneys in Los Angeles California', 'mainstage-v8-img', 'Levin & Nalbandyan', 'los angeles traffic', 'levin-n-7', 'mechanic-working-on-laptop-in-front-of-damaged-car-on-parking-lot-picture-id1182002245.1', 'untitled-design-3', 'levin-n-8', 'levinn', 'justice', '', '', '', 'mainstage-v8-img', 'content-v5-img-1', 'mechanic-working-on-laptop-in-front-of-damaged-car-on-parking-lot-picture-id1182002245.1', 'levin-n-7', 'mechanic-working-on-laptop-in-front-of-damaged-car-on-parking-lot-picture-id1182002245.1', 'untitled-design-3', 'levin-n-8', 'levinn', 'justice', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Los Angeles,10,https://www.pointlawgroup.com/car-accidents/,12,24,-1,7073,52,2450,0,0,18,17,44,61.0,True,Best Car Accident Attorney Los Angeles CA - Point Law Group,True,2,"['CAR ACCIDENT ATTORNEY LOS ANGELES CA', 'Personal Injury Lawyer in L.A']","[True, False]",6,"['Personal Injury Lawyer in L.A', 'Point Law Group – Car Accident Attorney', 'SETTLEMENTS', 'SETTLEMENTS', 'SETTLEMENTS', 'SETTLEMENTS']","[False, True, False, False, False, False]",25,"['Car Accidents, Motorcycle Accidents, Pedestrian Accidents, And Uber And Lyft Accidents', 'When Should I Contact a Personal Injury Lawyer in L.A.?', 'When Should I Contact a Personal Injury Lawyer in L.A.?', 'Top Causes of car accidents in Los Angeles', 'Top Causes of car accidents in Los Angeles', 'Common car accident injuries suffered by victims', 'Common car accident injuries suffered by victims', 'What Types of Cases Does a Personal Injury Lawyer in Los Angeles Handle?', 'What Types of Cases Does a Personal Injury Lawyer in Los Angeles Handle?', 'Compensation You Could Get For a Personal Injury in Los Angeles?', 'Compensation You Could Get For a Personal Injury in Los Angeles?', 'What Should You Do After You Have Suffered a Personal Injury?', 'What Should You Do After You Have Suffered a Personal Injury?', 'Who Is Liable for My Personal Injury?', 'Who Is Liable for My Personal Injury?', 'How to Find a Good Personal Injury Lawyer?', 'How to Find a Good Personal Injury Lawyer?', 'Do I Need a Personal Injury Lawyer in Los Angeles?', 'Do I Need a Personal Injury Lawyer in Los Angeles?', 'Point Law Group – Car Accident Attorney', 'RECENT SETTLEMENTS', 'CLIENT TESTIMONIALS', 'CLIENT TESTIMONIALS', 'WE CAN GO THE DISTANCE', 'WE CAN GO THE DISTANCE']","[True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",13,"['fbpx', 'Point Law Group Logo', 'Point Law Group Logo', 'Point Law Group', 'Speak to an car accident attorney today', 'best Car accident attorney los angeles', 'best Car accident attorney los angeles', 'best Car accident attorney los angeles', 'best Car accident attorney los angeles', '', '', 'Point Law Group', 'NO ALT']","[False, False, False, False, True, True, True, True, True, False, False, False, False]",True,False
