keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Medical Malpractice Lawyer Los Angeles,1,https://www.biklaw.com/practice-areas/medical-malpractice/,26,30,1,114436,3334,2158,252,60,26,8,19,62.0,True,Medical Malpractice Attorney Los Angeles | Bradley I. Kramer,True,1,['Top Rated Medical Malpractice Attorney Los Angeles'],[True],5,"['Types of Medical Malpractice Cases', 'What Must be Shown in a Medical Malpractice Lawsuit?', 'Dealing With California Medical Malpractice', 'Q & A With Bradley I. Kramer, MD, Esq.', 'Medical Malpractice Attorney Bradley I. Kramer, M.D., Esq.']","[True, True, True, False, True]",8,"['Some of the most common forms of medical malpractice in California include:', 'The injured party must show the following things to win:', 'Do I need an attorney?', 'What are some of the most common claims?', 'How do I know if I have a case?', 'How does a medical malpractice claim differ from a personal injury claim?', 'Does your knowledge in the medical field help you to pick the best expert?', 'What kind of compensation can I receive for a surgical error?']","[True, False, False, False, False, True, False, False]",16,"['NO ALT', 'Biklaw Logo', 'Biklaw Logo', 'Biklaw Logo', 'Biklaw Logo', 'header-bg', 'header-bg', 'BIK Law Medical Malpractice Attorneys in Los Angeles', 'BIK Law Medical Malpractice Attorneys in Los Angeles', 'medical malpractice lawyer pharmaceutical injury', 'medical malpractice lawyer pharmaceutical injury', 'Bradley I. Kramer Medical Malpractice Lawyer in Los Angeles', 'Bradley I. Kramer Medical Malpractice Lawyer in Los Angeles', 'biklaw logo footer', 'biklaw logo footer', 'biklaw Avvo link']","[False, False, False, False, False, False, False, True, True, True, True, True, True, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,2,https://michels-lew.com/,22,34,-1,1368,292,1205,25,144,8,8,11,22.0,True,Medical Malpractice Lawyers & Birth Injury Attorney Los Angeles,True,1,['Medical Malpractice and Personal Injury Attorneys of Los Angeles'],[True],4,"['Los Angeles Top Medical Malpractice\t\t\t\t\t\t\t& Personal Injury Law Firm', 'Do I have a case?', 'We Represent Seriously Injured People of all Ages including Young Children', 'Do I have a case?']","[True, False, False, False]",11,"['Over $1.5 Billion dollars in verdicts and settlements recovered for our clients.', 'Latest Articles', 'How Substandard Care Created a...', 'How Legal Staff Best Supports...', 'Michels & Lew’s Litigation Manager...', 'Are Medical Devices the Next...', 'Why Medical Professionals Are Warning...', 'Drowning Prevention and Pool Safety...', 'We are Advocates for Children in all Areas of California', 'Visit Our Office', 'Quick Links']","[False, False, False, False, False, False, False, False, False, False, False]",17,"['CAALA Las Vegas 2022', 'Why Did My Child Have Jaundice After Birth?', 'Food Choking Hazards in Children', 'How Substandard Care Created a Maternal Mortality Epidemic in the U.S.', 'How Legal Staff Best Supports Attorneys at Trial', 'Michels & Lew’s Litigation Manager Published in the Advocate, The Journal of Consumer Attorneys Associations for Southern California', 'Are Medical Devices the Next Online Security Battleground', 'Why Medical Professionals Are Warning about the Risks of E-cigarette Burns', 'Drowning Prevention and Pool Safety', 'Michels & Lew | 2023 U.S. News Best Law Firms Award', 'Michels & Lew | 2022 U.S. News Best Law Firms Award', 'Michels & Lew | 2021 U.S. News Best Law Firms Award', 'Michels & Lew | 2021 U.S. News Best Law Firm Award', 'Michels and Lew SuperLawyers Award', 'Michels and Lew TLC', 'Michels and Lew Brain Injury Association', 'Michels and Lew NPDA Logo']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer Los Angeles,3,https://www.heimbergbarr.com/,18,36,73,2567,967,1431,76,56,16,7,16,6.0,True,"Best Medical Malpractice Attorneys in Los Angeles, California | Medical Malpractice Lawyers",True,2,"['The highly recognized Los Angeles medical malpractice and catastrophic injury attorneys of Heimberg Barr LLP are on your side', 'Named the #1 Medical Malpractice Law Firm in Americaby The National Law Journal']","[True, True]",8,"['The right choice forMedical Malpractice', 'The right choice forCatastrophic Injury', 'The right choice forCatastrophic Birth Injury claims', 'The right choice forSpinal Cord Injury and Paralysis claims', 'Tier One catastrophic injury and medical malpractice law firm serving California', 'The firm represents:', 'Experience matters when you are living with a catastrophic injury', 'Video Testimonials']","[True, False, False, False, True, False, False, False]",7,"['Partner Steven A. Heimberg', 'What do these numbers mean?', 'Our Pledge to Our Clients', 'Our Pledge to Referring Attorneys', 'California’s trusted medical malpractice and catastrophic injury law firm since 1993', 'Contact us today for a free case evaluation (409) 509-6274', 'Our Location']","[False, False, False, False, True, False, False]",25,"['Heimberg Barr LLP', '', '', '', '', '', '', '', '', '', '', '', '', '', 'medical malpractice', 'catastrophic injury', 'Birth Injury Claims', 'spinal-cord-injury-claim', 'StevenHeimberg-194', 'Best Law Firms - Regional Tier 1 Badge- Med Mal', 'National Law Journal', '', '', '', 'Heimberg Barr LLP']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,4,https://www.thebarnesfirm.com/los-angeles-medical-malpractice-attorney/,33,33,1,105327,7945,1369,79,181,21,30,33,3.0,True,Los Angeles Medical Malpractice Attorneys - The Barnes Firm,True,1,['Los Angeles Medical Malpractice Lawyer'],[True],4,"['Contact The Barnes Firm', 'About Medical Malpractice Lawyers In Los Angeles', 'What You Should Know About Medical Malpractice In LA', '(800) 800-0000']","[False, True, True, False]",5,"['Search', 'RESULTS', 'QUICK LINKS', 'CALIFORNIA OFFICES', 'NEW YORK OFFICES']","[False, False, False, False, False]",26,"['NO ALT', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'emergency room sign', 'surgical instruments on a table with surgeons working in the background', ""gloved doctor's hand selecting a medical instrument for an operation"", ""doctor sitting at a patient's bedside holding a stethoscope"", 'Wrong Prescription', 'five star reviews', 'tbf logo-footer', 'en', 'en', 'es']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,5,https://bencrump.com/areas-we-serve/los-angeles-ca/medical-malpractice-lawyer/,49,36,3,30198,6125,1631,73,103,49,15,44,3.0,True,Los Angeles Medical Malpractice Lawyers | Ben Crump,True,1,['Los Angeles Medical Malpractice Lawyer'],[True],13,"['Filing a Medical Malpractice Claim', 'Components of a Medical Malpractice Lawsuit', 'Medical Malpractice Examples', 'Types of Compensation for Medical Malpractice', 'What a Lawyer Can Do to Help You', 'Contact Ben Crump Law, PLLC Today', 'Medical Malpractice FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[True, True, True, True, False, False, True, False, False, False, False, False, False]",5,"['Duty of Care', 'Deviation from Duty of Care', 'Direct Causation', 'Damages', 'Additional Locations']","[False, False, False, False, False]",15,"['Ben Crump Logo', 'Los Angeles Medical Malpractice Lawyer', 'Are Doctors Liable For Misdiagnosis?', 'How Long Do You Have to Sue a Doctor After Surgery?', 'What Constitutes Medical Malpractice In Florida?', 'How Do I File A Malpractice Suit Against A Doctor?', 'Are Doctors Liable For Misdiagnosis?', 'How Long Do You Have to Sue a Doctor After Surgery?', 'What Constitutes Medical Malpractice In Florida?', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, False, False, True, False, False, False, True, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,6,https://www.medicalmalpracticelawlosangeles.com/,18,30,1,23826,205,1692,194,79,35,4,34,84.0,True,"Los Angeles Medical Malpractice Attorney | Bostwick & Peterson, LLP",True,2,"['Los Angeles Medical Malpractice Lawyers', 'AN EXPERIENCED TEAM YOU CAN TRUST']","[True, False]",1,['Over $1 Billion Recovered for Clients Nationwide'],[False],1,['CALIFORNIA MEDICAL MALPRACTICE DAMAGES CAP'],[True],40,"['Bostwick & Peterson, LLP', 'Bostwick & Peterson, LLP', '', '', 'Inner Circle of Advocates', 'International Academy of Trial Lawyers', 'Super Lawyers 2022', 'American Board of Trial Advocates', 'American Board of Professional Liability Attorneys', 'The Best Lawyers in America', 'U.S. News Best Law Firms 2023', 'The National Trial Lawyers', 'Multi-Million Dollar Advocates Forum', 'Lawdragon', '', '', '', 'Medical Malpractice Image', 'Brain Injury Image', 'Wrongful Death Image', 'Birth Injury Image', 'Surgical Errors Image', 'Failure to Diagnose Image', 'Misdiagnosis Image', 'Emergency Room Errors Image', '', '', '', '', '', '', '', '', '', '', 'Bostwick & Peterson, LLP', 'Bostwick & Peterson, LLP', 'Internet Marketing Experts', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer Los Angeles,7,https://www.lanierlawfirm.com/los-angeles/medical-malpractice-lawyer/,49,30,-1,23316,10758,2553,0,0,49,37,83,887.0,False,Los Angeles Medical Malpractice Lawyer - The Lanier Law Firm,True,1,['Los Angeles Medical Malpractice Lawyer'],[True],12,"['Common Causes of Medical Malpractice', 'What qualifies as medical malpractice in California?', 'Who can I sue for medical malpractice in Los Angeles?', 'Proving Medical Malpractice', 'What type of compensation can I recover in a medical malpractice lawsuit?', 'Statute of Limitations for Medical Malpractice in California', 'Medical Malpractice Leading to Wrongful Death', 'Benefits of Working with a Medical Malpractice Lawyer from The Lanier Law Firm', 'Contact Our Firm', 'Houston Office', 'New York Office\u200b', 'Los Angeles Office']","[True, True, True, True, True, True, True, True, False, False, False, False]",10,"['There is a valid relationship between a patient and their health care provider.', 'The health care provider violated their standard of care.', 'You experienced real damages due.', 'Contact Our Firm', 'Related Topics', 'Our Los Angeles Office', '2829 Townsgate Rd. Suite 100 Westlake Village, CA 91361', 'What Our Clients Say', 'FAQs', 'Schedule a FREE Consultation']","[False, False, False, False, False, False, False, False, False, False]",40,"['Redefining Legal Care', 'Redefining Legal Care', 'The Lanier Law Firm 400x400', 'The Lanier Law Firm 400x400', 'Group 204', 'Group 204', '', '', '', '', 'quote', 'quote', 'Component 1', 'Component 1', 'Component 1 (1)', 'Component 1 (1)', 'Component 1 (2)', 'Component 1 (2)', 'Group 90', 'Group 90', '352521_location_on_icon (1)', '352521_location_on_icon (1)', '352510_local_phone_icon (10)', '352510_local_phone_icon (10)', 'Group 85', 'Group 85', '352521_location_on_icon (1)', '352521_location_on_icon (1)', '352510_local_phone_icon (10)', '352510_local_phone_icon (10)', 'Group 85', 'Group 85', '352521_location_on_icon (1)', '352521_location_on_icon (1)', '352510_local_phone_icon (10)', '352510_local_phone_icon (10)', 'Group 85', 'Group 85', 'Award for Excellence small logo', 'Award for Excellence small logo']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,8,https://fagellaw.com/beverly-hills-medmal-attorney/,32,24,2,58943,4721,577,103,207,10,8,12,9.0,True,Beverly Hills Medical Malpractice Lawyer,True,1,['Beverly Hills Medical Malpractice Attorney'],[True],3,"['Why Hire Dr. Bruce G. Fagel', 'Should You File a Medical Malpractice Claim?', 'Call a Beverly Hills Medical Malpractice Attorney']","[False, True, True]",2,"['Practice Areas', 'Related Posts']","[False, False]",5,"['The Law Offices of Dr. Bruce G. Fagel & Associates logo', '', 'Dr. Bruce G. Fagel', 'The Law Offices of Dr. Bruce G. Fagel & Associates logo', '']","[False, False, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,9,https://stalwartlaw.com/medical-malpractice/,18,20,1,3717,133,1220,578,6,23,13,9,5.0,True,Best Medical Malpractice Lawyers in California - Stalwart Law,True,2,"['Medical Malpractice', 'Best Medical Malpractice Lawyers in California']","[True, True]",5,"['What constitutes medical malpractice in California?', 'What Are the Most Common Medical Malpractice Claims?', 'How do I prove medical malpractice in California?', 'Our Location', 'Stalwart Los Angeles Office']","[True, True, True, False, False]",9,"['How long does the average medical negligence claim take?', 'What is the process for starting a claim?', 'How our team of Medical Malpractice attorneys can help you', 'Schedule a free consultation with our team of medical malpractice attorneys and lawyers', 'How to get to our office', 'LOS ANGELES OFFICE', 'NEW YORK OFFICE', 'AREAS OF PRACTICE', 'OUR ATTORNEYS']","[False, False, True, True, False, False, False, False, False]",30,"['Stalwart Law Group', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Stalwart Law Group', 'Stalwart Law Group', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Stalwart Law Group', 'Female hospital patient in wheelchair', 'Shocked patient viewing x-rays', 'Patient lying in hospital bed', 'Best Lawyers']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Los Angeles,10,https://lntriallawyers.com/personal-injury/medical-malpractice/,23,24,1,20610,406,937,205,0,16,8,11,3.0,True,"Los Angeles Medical Malpractice Lawyer | Levin & Nalbandyan, LLP",True,2,"['LOS ANGELES MEDICAL MALPRACTICE ATTORNEYS', 'LOS ANGELES MEDICAL MALPRACTICE ATTORNEYS']","[True, True]",14,"['HOLDING MEDICAL PROFESSIONALS ACCOUNTABLE', 'WOULD YOU LIKE TO LEARN MORE ABOUT PERSONAL INJURY COMPENSATION RECOVERY?', 'OVERCOMING ODDS & WINNING CASES', 'WE RELENTLESSLY PURSUE JUSTICE ON BEHALF OF OUR CLIENTS', 'READY TO SPEAK WITH AN ATTORNEY?', 'IF YOUR CLAIM HAS BEEN DENIED OR YOUR ATTORNEY HAS DECIDED TO GIVE UP, REACH OUT TO OUR FIRM FOR A SECOND OPINION.WE WANT TO HEAR YOUR STORY.SCHEDULE A FREE CONSULTATION WITH OUR TEAM NOW', 'HOLDING MEDICAL PROFESSIONALS ACCOUNTABLE', 'WOULD YOU LIKE TO LEARN MORE ABOUT PERSONAL INJURY COMPENSATION RECOVERY?', 'OVERCOMING ODDS & WINNING CASES', 'WE RELENTLESSLY PURSUE JUSTICE ON BEHALF OF OUR CLIENTS', 'READY TO SPEAK WITH AN ATTORNEY?', 'IF YOUR CLAIM HAS BEEN DENIED OR YOUR ATTORNEY HAS DECIDED TO GIVE UP, REACH OUT TO OUR FIRM FOR A SECOND OPINION.WE WANT TO HEAR YOUR STORY.SCHEDULE A FREE CONSULTATION WITH OUR TEAM NOW', '213.232.4848', 'Quick Links']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",4,"['DID MEDICAL MALPRACTICE OCCUR?', 'DID MEDICAL MALPRACTICE OCCUR?', 'We Want to Hear Your Case. Call Us Now:', 'Our Office AddressLevin & Nalbandyan, LLP 811 Wilshire Boulevard Suite 800 Los Angeles,\xa0CA\xa090017Map & Directions [+]']","[True, True, False, False]",14,"['NO ALT', 'Attorneys in Los Angeles California', 'Attorneys in Los Angeles California', 'Attorneys in Los Angeles California', 'Ultimate Guide to Maximizing Personal Injury Compensation', 'medical-malpractice-lawsuit-los-angeles', 'content-v5-img-2', '', '', 'Ultimate Guide to Maximizing Personal Injury Compensation', 'medical-malpractice-lawsuit-los-angeles', 'content-v5-img-2', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
