keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Personal Injury Lawyer Los Angeles,1,https://www.rkmlaw.net/los-angeles-personal-injury-lawyer/,28,36,2,122559,6486,4184,51,171,66,43,55,20,True,Los Angeles Personal Injury Attorney | 80+ Years' Experience,True,1,['Los Angeles Personal Injury Lawyer'],[True],16,"['Los Angeles Personal Injury Resources', 'Why Choose Rose, Klein & Marias LLP to Handle Your Injury Claim?', 'No Fee Unless We Get You Compensation', 'What Does a Personal Injury Lawyer Do?', 'Client Review: 5/5 ★ ★ ★ ★ ★', 'Do I Need a Los Angeles Personal Injury Attorney?', 'Los Angeles Personal Injury Cases We Handle', 'California Personal Injury Laws', 'California Comparative Negligence', 'What Is the Statute of Limitations on Los Angeles Personal Injury Claims?', 'Were You Injured at Work in California?', 'How Do You Prove Negligence?', 'How Much Is Your Personal Injury Case Worth?', 'What Should You Do After Suffering a Personal Injury?', 'How Much Does a Personal Injury Lawyer Charge?', 'Contact a Top-Rated Los Angeles Personal Injury Attorney Today']","[True, False, False, True, False, True, True, True, False, True, False, False, True, True, True, True]",8,"['Car Accidents', 'Truck Accidents', 'Dangerous Products', 'Slip & Fall Accidents', 'Wrongful Death', 'Damage Caps in California', 'Practice Areas', 'Schedule YourFree Consultation']","[False, False, False, False, False, False, False, False]",5,"['Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Personal Injury Attorney', 'Personal Injury Attorney in Los Angeles', 'Personal Injury Lawyer Los Angeles']","[True, True, True, True, True]",True,False
Personal Injury Lawyer Los Angeles,2,https://www.jacobyandmeyers.com/los-angeles-personal-injury-lawyer/,34,38,3,30432,11904,3860,106,77,74,27,88,3,True,Los Angeles Personal Injury Lawyer | Jacoby & Meyers,True,1,['Los Angeles Personal Injury Lawyer'],[True],14,"['When Should I Contact a Personal Injury Lawyer in L.A.?', 'How Much Does a Los Angeles Personal Injury Attorney Cost?', 'What Types of Cases Does a Personal Injury Lawyer in Los Angeles Handle?', 'What is a Good Settlement for a Personal Injury?', 'Is a Personal Injury Lawyer in LA Worth It?', 'Compensation You Could Get For a Personal Injury in Los Angeles', 'What Should You Do After You Have Suffered a Personal Injury?', 'Should I Get a Personal Injury Attorney for a Minor Accident?', 'Who Is Liable for My Personal Injury?', 'What Damages Can I Get for a Personal Injury?', 'How to Find a Good Personal Injury Lawyer', 'Do I Need a Personal Injury Lawyer in Los Angeles?', 'Talk to a Los Angeles Personal Injury Attorney Today', 'Los Angeles Personal Injury Blog Posts:']","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]",13,"['California Statute of Limitations for Personal Injuries', 'How to Gather Information after an Accident', 'Why Get a Personal Injury Lawyer after an Accident?', 'Examples of Specific Accident and Personal Injury Scenarios', 'How Do You Determine the Amount of Compensation?', 'How Long Has the L.A. Personal Injury Law Firm Been in Business?', 'Who Will Work on My Personal Injury Case?', 'How is the Personal Injury Attorney Publicly Represented?', 'Has the Firm Won Any Awards?', 'Trust Your Own Instincts', 'Work with Los Angeles’s', '#1 PERSONAL INJURY LAWYERS', 'Additional Locations']","[False, False, True, True, False, True, True, True, False, False, False, True, False]",12,"['fbpx', 'logotype', 'main hero banner', 'main hero banner', 'An injured man lying in a hospital bed holds his head as he looks at his laptop.', 'physiotherapist works with an injured person', 'an injured cyclist after an accident', 'an injured worker after an accident', 'When do You Need to Hire a Personal Injury Attorney?', 'How The Best Personal Injury Attorneys Get their Clients the Highest Compensation from an Accident', 'How Personal Injury Claims for Minors Must be Handled Legally and What it Means for Your Settlement', 'Jacoby & Meyers Law Offices Logo']","[False, False, False, False, False, False, False, False, True, True, True, False]",True,False
Personal Injury Lawyer Los Angeles,3,https://dominguezfirm.com/,39,44,1,22148,10225,3326,53,146,29,16,41,137,True,Los Angeles Personal Injury Lawyers | Free Consultation,True,1,['TOP PERSONAL INJURY LAWYERS'],[True],16,"['FREE CONSULTATION', 'PRACTICE AREAS', 'UNRIVALED PERSONAL INJURY SERVICE', 'MEET OUR PERSONAL INJURY ATTORNEYS', 'AWARD-WINNING PERSONAL INJURY LAWYERS', 'WHAT PEOPLE ARE SAYING', 'Our Firm Will Fight For You On A No Recovery, No Fee Basis!', 'HELPFUL ARTICLES', 'The Dominguez Firm is Honored to Announce Caedmon Tidwell as its Spring 2023 Collegiate Scholar', 'Congratulations Are in Order: Jewel Drigo is The Dominguez Firm’s Spring 2023 Legal Scholar', 'Attorney Juan J. Dominguez Named to the 2023 Super Lawyers® List for the 9th Straight Year', 'LOCATIONS', ""FAQ's"", 'AWARD-WINNING LEGAL TEAM', 'OVER $1 BILLION RECOVERED*', ""DON'T PAY UNTIL YOU WIN""]","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",31,"['All Types of Accidents and Injuries', 'Compassion. Service. Results.', 'We Are Here to Help', 'JUAN J. DOMINGUEZ', 'SCOTT PEEBLES', 'LARRY J. LITZKY', 'AIMEE DOMINGUEZ', 'Honors and Recognition from our Peers', 'Testimonials', 'Blogs', 'Serving all of Southern California since 1987.', 'LOS ANGELES', 'BEVERLY HILLS', 'LONG BEACH', 'ORANGE', 'RIVERSIDE', 'COMMERCE', 'GARDENA', 'WEST COVINA', 'SAN BERNARDINO', 'OXNARD', 'SAN JOSE', 'BAKERSFIELD', 'SACRAMENTO', 'SAN DIEGO', 'PALM SPRINGS', 'Personal Injury Frequently Asked Questions', 'HEADQUARTERS', 'RECENT PRESS', 'PRACTICE AREAS', 'STAY IN TOUCH']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",55,"['NO ALT', '', '', 'Avvo', 'Personal Injury Lawyers Logo', 'Personal Injury Lawyers', 'Super Lawyers 13 years', 'Super Lawyers 13 years', 'Best Layers 2022', 'Best Layers 2022', 'Better Business Bureau', 'as seen on logos LEFT', 'as seen on logos LEFT', 'tv network logos', 'tv network logos', '', '', 'Google', 'Google', '', '', 'Facebook', 'Facebook', '', '', 'Yelp', 'Yelp', 'Attorney Juan Dominguez', 'Attorney Juan Dominguez', 'Attorney Scott Peebles', 'Attorney Scott Peebles', 'Attorney Larry Litzky', 'Attorney Larry Litzky', 'Attorney Aimee Dominguez', 'Attorney Aimee Dominguez', 'award winning trial lawyers', 'award winning trial lawyers', 'Workplace Accident Testimonial', 'Workplace Accident Testimonial', 'Pedestrian Accident Testimonial', 'Pedestrian Accident Testimonial', 'Truck Accident Testimonial', 'Truck Accident Testimonial', '', '', '', '', '', '', 'Dominguez Firm', 'Dominguez Firm', '', '', '', '']","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,4,https://losangelespersonalinjury.attorney/,33,39,1,334272,28094,943,0,0,21,10,23,74,True,Los Angeles Personal Injury Attorney - Cohen & Marzban Law Corporation,True,1,"['Three Biggest Reasons People Choose UsResults, Results And Results']",[False],8,"['Los AngelesPersonal InjuryAttorney', 'Why Do You Need a Personal Injury Attorney', 'Why Should You Use Cohen & Marzban Personal Injury Attorneys?', 'Over 2 Billion Reasons Why Our Clients Choose Us...', 'Our Areas Of Expertise', 'What we Provide', 'Free CaseConsultation', 'Los Angeles Lawyers Serving All of Los Angeles County With Offices Near You!']","[True, True, True, False, False, False, False, False]",30,"['Free Case Consultation', 'We know how it goes.', 'Bicycling', 'Brain Injury Accidents', 'Burn Injury Accidents', 'Bus Accidents', 'Car Accidents', 'Construction Accidents', 'Dog Bite Injuries', 'DUI Accidents', 'Motorcycle Accidents', 'Pedestrian Accidents', 'Personal Injury', 'Serious Injuries', 'Slip & Fall Accidents', 'Spinal Cord Injury', 'Trip and Fall Accidents', 'Elder Abuse', 'Thorough Legal Resources', 'Personal Attention', 'Skilled Litigators & Trial Attorneys', 'Experts In The Legal System', 'Contingency Fees', 'Always Professional', 'Fighting Insurance Companies', 'Skilled Negotiators', 'Cohen & MarzbanPersonal Injury Attorneys', 'Cohen & MarzbanPersonal Injury Attorneys', 'Cohen & MarzbanPersonal Injury Attorneys', 'Cohen & MarzbanPersonal Injury Attorneys']","[False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True]",42,"['Cohen & Marzban logo', 'Cohen & Marzban logo', 'Cohen & Marzban logo', 'Bob Cohen, Michael Marzban', 'Bob Cohen, Michael Marzban', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '12121 Wilshire Blvd, Suite 103, Los Angeles, CA 90025', '12121 Wilshire Blvd, Suite 103, Los Angeles, CA 90025', '714 W. Olympic Blvd., Suite 631, Los Angeles, CA 90015', '714 W. Olympic Blvd., Suite 631, Los Angeles, CA 90015', '16000 Ventura Blvd, Suite 701, Encino, CA 91436', '16000 Ventura Blvd, Suite 701, Encino, CA 91436', '', '', 'Cohen & Marzban logo', 'Cohen & Marzban logo', 'Cohen & Marzban logo']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,5,https://www.weinberglawoffices.com/best-personal-injury-lawyers-los-angeles/,21,18,54,16461,68,1389,35,97,27,21,28,17,True,6 Best Personal Injury Lawyers in Los Angeles - Weinberg Law Offices,True,1,['6 Best Personal Injury Lawyers in Los Angeles'],[True],7,"['Why Do This?', '1. Yoni Weinberg – Weinberg Law Offices', '2. ACTS Law', '3. Ari Friedman Law Offices', '4. MKP Law Group', '5. Alder Law', '6. Bloom Injury Law']","[False, False, False, False, False, False, False]",2,"['Related Articles', 'Categories']","[False, False]",16,"['Los Angeles Personal Injury Lawyer', 'Los Angeles Personal Injury Lawyer', 'Author Photo', 'Author Photo', '1 Star', '1 Star', '2 Stars', '2 Stars', '3 Stars', '3 Stars', '4 Stars', '4 Stars', '5 Stars', '5 Stars', 'NO ALT', 'NO ALT']","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,6,https://www.psbr.law/,50,34,1,999236,4531,4049,89,117,48,28,56,10,True,Los Angeles Personal Injury Lawyer | Over $10 Billion Won For Clients,True,1,['Los Angeles Personal Injury Lawyers'],[True],4,"['Brian Panish', 'Adam Shea', 'Kevin Boyle', 'Rahul Ravipudi']","[False, False, False, False]",5,"['1. Duty', '2. Breach', '3. Causation', '4. Damages', 'How Can We Help You?']","[False, False, False, False, False]",39,"['NO ALT', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,7,https://www.calljacob.com/,31,40,1,35485,1735,452,63,76,5,4,10,163,True,𝗟𝗮𝘄 𝗢𝗳𝗳𝗶𝗰𝗲𝘀 𝗼𝗳 𝗝𝗮𝗰𝗼𝗯 𝗘𝗺𝗿𝗮𝗻𝗶: Los Angeles Personal Injury Attorney,True,5,"['REAL PERSON, REAL ATTORNEY, YOUR ATTORNEY', 'REAL PERSON, REAL ATTORNEY, YOUR ATTORNEY', 'REAL PERSON, REAL ATTORNEY, YOUR ATTORNEY', 'REAL PERSON, REAL ATTORNEY, YOUR ATTORNEY', 'REAL PERSON, REAL ATTORNEY, YOUR ATTORNEY']","[False, False, False, False, False]",14,"['REAL PERSON, REAL ATTORNEY, YOUR ATTORNEY', 'REAL RESULTS', 'REAL RESULTS', 'BILLBOARDS', 'BILLBOARDS', 'BILLBOARDS', 'BILLBOARDS', 'BILLBOARDS', 'BILLBOARDS', 'Serious injury lawyers', 'or', 'We’re the top leaders in representing drivers and passengers', 'or', 'We’re the top leaders in representing drivers and passengers']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",8,"['────', '──── YOU’RE NEXT TO GET PAID\xa0────', 'FREE CONSULTATION', '── AS SEEN ON\xa0──', '──── YOUR LOS ANGELES PERSONAL INJURY ATTORNEY\xa0────', '────We Focus Exclusively on Injury Cases', 'Main Office', 'Serving Southern California']","[False, False, False, False, True, False, False, False]",131,"['The Law Offices of Jacob Emrani | CallJacob.com Logo', 'The Law Offices of Jacob Emrani | CallJacob.com Logo', 'The Law Offices of Jacob Emrani | CallJacob.com Logo', 'The Law Offices of Jacob Emrani | CallJacob.com Logo', 'The Law Offices of Jacob Emrani | CallJacob.com Logo', 'The Law Offices of Jacob Emrani | CallJacob.com Logo', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'NO ALT', 'NO ALT', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,8,https://injuryatwork.com/los-angeles-personal-injury-attorney/,22,27,3,19184,512,1948,447,58,12,11,21,3,True,"Los Angeles Personal Injury Attorney - Lerner, Moore, Silva, Cunningham & Rubel",True,1,['Los Angeles Personal Injury Attorney'],[True],6,"['Personal Injury Lawyer in Los Angeles', 'Want To Get a Free Consultation? Call Us Today! (909) 889-1131', 'DARLA A. CUNNINGHAM', 'SCOTT M. RUBEL', 'DON FEATHERSTONE', 'ANDREA S. AGUILAR']","[True, False, False, False, False, False]",3,"['We represent injured clients in a broad range of cases, including:', 'Our personal injury law firm also specializes in:', 'Give Lerner, Moore, Silva, Cunningham & Rubel a call today at (909) 487-8816.']","[False, True, False]",9,"['logo', 'logo', 'logo', 'logo', 'English', 'Spanish', 'logo', 'logo', 'facebook']","[False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,9,https://www.losangelesbicycleattorney.com/,22,31,1,48651,1463,612,275,77,4,7,11,86,True,Los Angeles Bicycle Accident Lawyer | Personal Injury Attorney,True,1,['We are cycling specialists.'],[False],8,"['We understand how frustrating, scary and powerless it can feel to be in a cycling crash. We know better than most because we are avid cyclists. As compassionate, trusted experts, we give back the power to the people and give back to our cycling tribe.', 'Why You Should Choose A Bicycle Attorney', 'Meet Joshua Cohen', 'Contact Us ForFree Consultation', 'We Fight To Make Los Angeles’ Streets Safer', 'Take Pride. Take Action.', 'Cohen Law Partners Practice Areas', 'Contact The Office']","[False, False, False, False, False, False, False, False]",0,[],[],18,"['Cohen Law Partners', '', 'Attorney Joshua Cohen', 'Move LA | A project of community partners', 'The League of American Biciclysts | Since 1880', 'Los Angeles County Bicycle Coalition | www.la-bike.org', 'Calbike | California Bicycle Coalition', 'Avvo', 'Bicycle Accidents', 'Pedestrian Accidents', 'Catastrophic Injuries', 'Brain Injury', 'Automobile Accidents', 'Premises Liability', 'Slip and Fall', 'Product Liability', 'Road Hazard Injury', 'Wrongful Death']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Los Angeles,10,https://www.robertreeveslaw.com/los-angeles/personal-injury-attorneys/,41,43,1,94064,9929,3340,151,0,63,38,52,139,True,Los Angeles Personal Injury Attorneys | The Reeves Law Group,True,1,['Los Angeles Personal Injury Attorneys'],[True],5,"['Why Trust The Reeves Law Group? Award-Winning Los Angeles Personal Injury Lawyers', 'What Clients Have to Say About the Los Angeles Personal Injury Law Firm', 'What Is Personal Injury?', 'Do I Need to Hire a Personal Injury Lawyer?', 'Hire a Los Angeles Personal Injury Attorney']","[True, True, True, True, True]",2,"['Question: How Much Does a Personal Injury Lawyer Charge?', 'Types of Personal Injury Cases We Handle in Los Angeles']","[True, True]",42,"['', '', 'NO ALT', 'NO ALT', 'Los Angeles Personal Injury Lawyers - The Reeves Law Group', 'Multi-Million Dollar Advocates Forum', 'Newsweek 2016 Best Personal Injury Attorneys', '2019 Best Lawyers - The Reeves Law Group', '2019 Best Lawyers - The Reeves Law Group', 'Top 100 Trial Lawyers', 'Top 100 Trial Lawyers', 'Five Star Rating', 'Five Star Rating', 'Five Star Rating', 'Five Star Rating', 'Five Star Rating', 'Five Star Rating', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
