keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Truck Accident Lawyer Los Angeles,1,https://starpointinjurylaw.com/practice-areas/los-angeles-truck-accident-lawyer/,22,29,-1,2310,814,1919,148,126,53,36,31,24.0,True,Los Angeles Trucking Accident Attorney ☷ Effective Legal Advocacy,False,1,['Los Angeles Truck Accident Lawyer'],[True],10,"['Suffer Injuries From a Trucking Accident in Los Angeles? Let Us Help', 'What to Do After a Commercial Truck Accident in Los Angeles', 'Statute of Limitations for Commercial Accidents', '⌛ Truck Accident Statute of Limitations in California', 'Identifying Cause and Fault in Commercial Truck Crashes', 'Why Do You Need a Truck Accident Lawyer?', 'Speak to a Los Angeles Truck Accident Attorney', 'Los Angeles Trucking Accident Attorneys Answer Your Questions', 'Contact Us for a Free Case Review', 'Tell Us Your Story']","[False, True, False, True, False, True, True, False, False, False]",7,"['Get Yourself to a Doctor', 'Report the Accident', 'Secure Evidence and Document Information', '💲 Truck Accident Victims Deserve Fair Financial Compensation', 'Other Areas Our Los Angeles Trucking Accidents Help Residents in Southern California', 'How Our Los Angeles Truck Accident Lawyers Can Help', '📞 Were You Injured in a Truck Accident in Los Angeles, CA?']","[False, False, False, True, False, True, True]",9,"['Website Logo', 'los angeles truck accident attorney', 'los angeles truck accident stats', 'los angeles trucking accident injury types\n', 'Aidin Ghavimi', 'Arrow Icon', 'Website Logo', 'NO ALT', 'Juris Digital']","[False, True, True, False, False, False, False, False, False]",True,True
Truck Accident Lawyer Los Angeles,2,https://www.rkmlaw.net/los-angeles-truck-accident-attorney/,28,33,2,122559,6486,1725,51,171,47,23,17,20.0,True,Los Angeles Truck Accident Lawyer | Big Rig Accident Attorney,True,1,['Los Angeles Truck Accident Attorney'],[True],10,"['Los Angeles Truck Accident Resources', 'Why Choose Rose, Klein & Marias LLP for Your Truck Accident Claim?', 'How Can a Los Angeles Truck Accident Lawyer Help?', 'Common Causes of Truck Accidents', 'Common Truck Accident Injuries', 'Who Can Be Held Liable for a Truck Accident?', 'What Is the Truck Accident Statute of Limitations in California?', 'Compensation for Truck Accident Victims in California', 'Speak With a Truck Accident Lawyer in Los Angeles Today', 'Client Review: 5/5 ★ ★ ★ ★ ★']","[True, True, True, True, True, True, True, True, True, False]",2,"['Practice Areas', 'Schedule YourFree Consultation']","[False, False]",4,"['Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Truck Accident Lawyer', 'Truck Accident Attorney Los Angeles']","[False, False, True, True]",True,False
Truck Accident Lawyer Los Angeles,3,https://dominguezfirm.com/injury-lawyer/truck-accident/,39,32,1,22148,10225,3633,53,146,35,4,20,14.0,True,Truck Accident Lawyers in Los Angeles | 96% Success Rate,True,1,['Top Truck Accident Lawyers In Los Angeles'],[True],22,"['What Are Some of the Most Common Causes of Truck Accidents?', 'What Should I Do After a Truck Accident?', 'Types of Trucks and Accidents', 'Common Truck Accident Injuries', 'Truck Accident Investigations', 'Should I Accept the Trucking Company’s Settlement Offer?', 'What is My Truck Accident Claim Worth?', 'What is the Deadline for Filing a Claim?', 'Why Do I Need a Truck Accident Lawyer?', 'If I don’t have insurance and can’t afford medical treatment, can you help me?', 'If my injuries make me unable to work, can you help me get by?', 'Who is typically responsible for causing trucking accidents?', 'How long do I have to file my lawsuit after a truck injury accident?', 'How long do truck lawsuit cases usually last?', 'How does your firm prove negligence and win truck cases?', 'What types of damages and monetary claims can I make in my case?', 'Factors Affecting Your Settlement', 'Selecting A Law Firm To Represent You', 'FREE CASE EVALUATION', 'AWARD-WINNING LEGAL TEAM', 'OVER $1 BILLION RECOVERED*', ""DON'T PAY UNTIL YOU WIN""]","[True, True, False, True, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",4,"['HEADQUARTERS', 'RECENT PRESS', 'PRACTICE AREAS', 'STAY IN TOUCH']","[False, False, False, False]",19,"['NO ALT', '', '', 'Avvo', 'Personal Injury Lawyers Logo', 'Truck Accidents', 'Truck Accidents', 'Truck Statistics', 'Truck Statistics', 'Truck Damages', 'Truck Damages', 'Non Ecomonical Damages', 'Non Ecomonical Damages', 'Dominguez Firm', 'Dominguez Firm', '', '', '', '']","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Los Angeles,4,https://www.farzamlaw.com/los-angeles-truck-accident-lawyer/,26,24,-1,4298,1244,1710,44,151,17,6,24,11.0,True,Los Angeles Truck Accident Lawyer | Farzam Law Firm,True,1,['Los Angeles Truck Accident Lawyer'],[True],8,"['Get Help with a Serious Trucking Accident Injury in Los Angeles', 'Common Injuries Associated with Truck – Auto Collisions are as follows', 'Common Causes of Truck Accidents on California Roads', 'Steps to Take if you have been involved in a Truck Accident', 'Truck Accidents and Wrongful Death Claims', 'Compensation for Your Injuries – Recovery a Truck Accident Injury Claim', 'Trusted Big Rig Accident Attorneys', 'Frequently Asked Questions']","[False, False, True, True, True, True, False, False]",9,"['Let us Get Started on Your Case Today', '$1,000,000', '“Why Do I Need a Lawyer?”', '“Should I allow the insurance company to take my recorded statement?”', '“How much is my case worth?”', '“Am I entitled to a rental vehicle?”', '“Am I entitled to recover other losses resulting from the accident, such as lost hours at work?”', '“How much will a lawyer cost?”', '“What if I am dissatisfied with my experience at another attorney’s office?”']","[False, False, False, False, False, False, False, False, False]",13,"['NO ALT', 'Farzam Law Firm Logo', 'Farzam Law Firm Logo', '', '', 'Farzam Law Firm Logo', 'Farzam Law Firm Logo', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Juris Digital', 'Juris Digital']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Los Angeles,5,https://ehlinelaw.com/practice/truck-accident,46,32,1,520223,17168,3311,0,2,71,47,73,175.0,True,Los Angeles Truck Accident Attorneys | Semi & Big Rig Crash,True,1,['Los Angeles Truck Accident Attorneys'],[True],11,"['In A Truck Crash?', 'Why Select Ehline Law Firm Personal Injury Attorneys, APLC, for Your Big Rig Truck Accident?', 'Award Winning United States Personal Injury Law Firm', 'Why Hiring A Los Angeles Truck Accident Lawyer Remains Important', 'What Are Some Common Causes Of Truck Accidents In LA?', 'Receive a Free Consultation', 'What Are Some Common Truck Accident Injuries We Take', 'Trucking Companies And Others Liable To Pay Compensation to Truck Accident Victims', 'What Is The California State Statute of Limitations For Truck Accidents?', 'What Types of Compensation Damages Can Truck Accident Victims Recover?', 'Schedule A Free Case Evaluation From Truck Accident Lawyers in Los Angeles Today?']","[False, True, False, True, True, False, True, True, True, True, True]",8,"['We Don’t Let Trucking Companies Settle For Less', 'Bad Trucking Is Negligence?', 'Other Issues With Truck Accidents?', 'Defective Parts And Truck Accidents?', 'Trucking Accident Special Damages', 'General Damages (Non-Economic Damages)', 'Punitive Damages?', 'Tips For Dealing With Legal Issues In The Aftermath Of A Trucking Accident in Los Angeles, CA?']","[False, False, True, True, False, False, False, False]",14,"['Ehline Law Firm Personal Injury Attorneys, APLC', 'Ehline Law Firm Personal Injury Attorneys, APLC', 'No Win No Fee Promise', 'On Call 24/7', 'Inactive U.S. Marine Lawyer', 'Truck Accident Lawyers Los Angeles', 'Newsweek Premier Personal Injury Attorney', 'Martindale Hubbell Peer Rated Lawyer', 'As seen in Forbes Magazine', 'California State Bar Journal Contributor', 'National Trial Lawyers - Top 100 Trial Lawyers', 'Personal Injury Warrior Los Angeles', 'Best Attorney Award Los Angeles. Similar to the American Association of Justice.', 'Best Attorneys of America in Los Angeles']","[False, False, False, False, False, True, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Los Angeles,6,https://kashlegal.com/personal-injury/truck-accidents/,20,19,12,3612,239,1965,96,0,27,8,15,32.0,True,Los Angeles Truck Accident Lawyer | Kash Legal Group,True,2,"['Los Angeles Truck Accident Lawyer', 'PERSONAL INJURY']","[True, False]",11,"['Reviewing the Statistics', 'Negligence and Truck Accidents', 'Truck Driver Negligence', 'The Trucking Company’sResponsibility', 'The Truck Manufacturer’sResponsibility', 'Your Damages', 'Reach Out to an Experienced Los Angeles Truck Accident Attorney Today', 'Our Clients Love Us', 'OUR BLOG', 'Get Your Free Case Consultation', 'Personal Injury Law Firm Who Cares']","[False, True, False, False, False, False, True, False, False, False, False]",3,"['Why Motorcyclists Need an Attorney After an Accident', 'The Ultimate Guide to Wrongful Death Claims in California', 'How Does Liability Work in a California Bus Accident?']","[False, False, False]",27,"['Kash Legal', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Los Angeles,7,https://www.thebarnesfirm.com/los-angeles-truck-accident-attorneys/,33,33,1,105327,7945,1536,79,181,45,26,30,3.0,True,Los Angeles Truck Accident Lawyers | The Barnes Firm,True,1,['Los Angeles Truck Accident Lawyers'],[True],12,"['Why Do I Need a Los Angeles Truck Accident Lawyer?', 'How Do Los Angeles Truck Accidents Happen?', 'Contact The Barnes Firm', 'Types of Truck Accidents we Handle', 'Injuries Resulting from Truck Accidents', 'Who is Liable for a Truck Accident?', 'Steps to Take After Being Injured in a Truck Accident', 'How Long do I have to File a Truck Accident Claim?', 'Damages to Recover in a Truck Accident', 'Get Our Team of Los Angeles Truck Accident Lawyers on your Case', 'Related Practice Areas:', '(800) 800-0000']","[True, True, False, True, True, True, True, True, True, True, False, False]",6,"['Los Angeles Office Location', 'Search', 'RESULTS', 'QUICK LINKS', 'CALIFORNIA OFFICES', 'NEW YORK OFFICES']","[False, False, False, False, False, False]",9,"['NO ALT', '', 'five star reviews', 'five star reviews', 'five star reviews', 'tbf logo-footer', 'en', 'en', 'es']","[False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Los Angeles,8,https://www.robertreeveslaw.com/truck-accident-lawyers/,41,39,1,94064,9929,3173,151,0,52,30,36,295.0,False,Los Angeles Truck Accident Lawyer | Over $250 Million Won,True,1,['Los Angeles Truck Accident Lawyer'],[True],9,"['Award-Winning Los Angeles Truck Accident Lawyers', 'Do I Need an Attorney for a Truck Accident?', 'How Can The Reeves Law Group Help with Your Truck Accident Case?', 'How Much Compensation Are Truck Accident Victims Owed in California?', 'How Large Truck Accidents Can Be Serious and Life-Threatening', 'Who Is at Fault for Your Truck Accident? Is It the Truck Driver or The Trucking Companies?', 'What Do I Do After A Truck Accident in Los Angeles?', 'Truck Traffic and Accident Statistics in Los Angeles', 'Contact a Los Angeles Truck Accident Lawyer']","[True, True, True, True, True, True, True, False, True]",4,"['A Review of The Reeves Law Group, California Truck Accident Lawyers', 'What are Common Causes of Truck Accidents', 'What are Common Truck Accident Injuries', 'Common Vehicles in Truck Accidents include']","[True, True, True, True]",48,"['', '', 'NO ALT', 'NO ALT', 'The Reeves Law Group - Los Angeles truck accident attorneys featured in Newsweek’s Top 10 Trial Lawyers', 'Multi-Million Dollar Advocates Forum', 'Newsweek 2016 Best Personal Injury Attorneys', '2019 Best Lawyers - The Reeves Law Group', '2019 Best Lawyers - The Reeves Law Group', 'Top 100 Trial Lawyers', 'Top 100 Trial Lawyers', 'Five Star Rating', 'Five Star Rating', '', '', 'Oncoming Big Rig About to Cause an Accident', 'Oncoming Big Rig About to Cause an Accident', 'blue semi truck tractor trailer crashed crumpled bumper totalled damage', 'blue semi truck tractor trailer crashed crumpled bumper totalled damage', 'Attorney Derek Pakiz reviewing a truck accident case', 'Attorney Derek Pakiz reviewing a truck accident case', '', '', 'Truck Accident Statistics Pie Chart', 'Truck Accident Statistics Pie Chart', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Los Angeles,9,https://www.gbw.law/los-angeles-truck-accidents-lawyer/,36,31,1,57294,2381,2614,252,90,40,12,52,33.0,True,"Los Angeles Truck Accident Lawyers | Greene Broillet & Wheeler, LLP",True,1,['Los Angeles Truck Accident Attorneys'],[True],4,"['Aggressively Protecting the Rights of Truck Accident Victims', 'Why Do I Need a Truck Accident Lawyer?', 'What Common Injuries Are Caused by Truck Accidents?', 'Investigating the Cause of Your Truck Accident']","[True, True, True, True]",4,"['What Types of Damages Can I Recover?', 'How Do You Gather Evidence to Support Your Truck Accident Case?', 'Can I Still File a Claim If I Was Partially Responsible?', 'Call Us 24/7 to Discuss a Possible Case']","[False, True, False, False]",31,"['Greene Broillet & Wheeler, LLP', 'Greene Broillet & Wheeler, LLP', '', '', '', 'Best Law Firms by US News', 'The Inner Circle of Advocates', 'LACBA', 'Consumer Attorneys of California', 'Best Lawyers', 'Top 10 Wrongful Death Verdicts in California in 2019', 'Super Lawyers®', 'CAALA', 'WLALA', 'Top 50 Personal Injury Verdicts in California in 2019', 'Best Lawyers: Ones to Watch', 'American Board of Trial Advocates', 'Top 100 Settlements in California in 2019', 'International Society of Barristers', 'International Academy of Trial Lawyers', 'America’s Top 100 High Stakes Litigators', 'American College of Trial Lawyers', 'Lawdragon', 'National Trial Lawyers: Top 40 Under 40', 'National Trial Lawyers: Top 100', '', '', 'Greene Broillet & Wheeler, LLP', 'Greene Broillet & Wheeler, LLP', 'Internet Marketing Experts', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Truck Accident Lawyer Los Angeles,10,https://www.pointlawgroup.com/truck-semi-truck-accidents/,12,18,-1,7073,52,2755,0,0,35,13,27,66.0,True,Truck and Semi Truck Accident Lawyer Los Angeles - Point Law Group,True,2,"['TRUCK AND SEMI TRUCK ACCIDENT LAWYER LOS ANGELES', 'Truck Accident Lawyer Los Angeles']","[True, True]",14,"['Truck Accidents And Semi-Truck Accidents', 'Truck Accident Lawyer Los Angeles', 'What to Do After a Commercial Truck Accident in Los Angeles?', 'What Are The Most Common Types of Truck Accident Cases?', 'Common Truck Accident Injuries', 'Common Causes of Truck Accidents', 'Compensation for Truck Accident Victims in California', 'How Can Point Law Group Help When a Los Angeles Truck Accident Happens?', 'Point Law Group | Los Angeles Truck Accident Attorney', 'Point Law Group | Los Angeles Truck Accident Attorney', 'SETTLEMENTS', 'SETTLEMENTS', 'SETTLEMENTS', 'SETTLEMENTS']","[True, True, True, True, True, True, True, True, True, True, False, False, False, False]",11,"['What to Do After a Commercial Truck Accident in Los Angeles?', 'What Are The Most Common Types of Truck Accident Cases?', 'Common Truck Accident Injuries', 'Common Causes of Truck Accidents', 'Compensation for Truck Accident Victims in California', 'How Can Point Law Group Help When a Los Angeles Truck Accident Happens?', 'RECENT SETTLEMENTS', 'CLIENT TESTIMONIALS', 'CLIENT TESTIMONIALS', 'WE CAN GO THE DISTANCE', 'WE CAN GO THE DISTANCE']","[True, True, True, True, True, True, False, False, False, False, False]",13,"['fbpx', 'Point Law Group Logo', 'Point Law Group Logo', 'Point Law Group', 'Speak to an car accident attorney today', 'best Car accident attorney los angeles', 'best Car accident attorney los angeles', 'best Car accident attorney los angeles', 'best Car accident attorney los angeles', '', '', 'Point Law Group', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
