keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Wrongful Death Lawyer Los Angeles,1,https://www.rkmlaw.net/los-angeles-wrongful-death-lawyer/,28,31,2,122559,6486,2631,51,171,63,31,29,20,True,Los Angeles Wrongful Death Attorney,True,1,['Los Angeles Wrongful Death Lawyer'],[True],10,"['Los Angeles Wrongful Death Resources', 'Why Trust Rose, Klein & Marias LLP With Your Wrongful Death Claim?', 'What Is Wrongful Death?', 'How Can a Los Angeles Wrongful Death Attorney Help?', 'Types of Wrongful Death Claims We Handle', 'Proving a Wrongful Death Claim in California', 'Who Can File a Wrongful Death Claim in California?', 'California Wrongful Death Statute of Limitations', 'Compensation for Wrongful Death in California', 'Speak to a Wrongful Death Lawyer in Los Angeles Today']","[True, True, True, True, True, True, True, True, True, True]",3,"['Survival Actions', 'Practice Areas', 'Schedule YourFree Consultation']","[False, False, False]",4,"['Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Personal Injury Attorney - Rose, Klein & Marias LLP', 'Los Angeles Wrongful Death Attorney', 'Wrongful Death Lawyer Los Angeles']","[False, False, True, True]",True,False
Wrongful Death Lawyer Los Angeles,2,https://www.robertreeveslaw.com/wrongful-death-lawyers/,41,38,1,94064,9929,2955,151,0,52,21,36,152,True,Los Angeles Wrongful Death Attorney | Over $250 Million Won,True,1,['Los Angeles Wrongful Death Lawyer'],[True],9,"['Award-Winning Los Angeles Wrongful Death Lawyer', 'A Review of The Reeves Law Group, Los Angeles Wrongful Death Lawyer', 'What Is a Wrongful Death Lawsuit?', 'How Can an Experienced Wrongful Death Attorney Help?', 'About Wrongful Death Cases', 'What Compensation Can I Recover for The Death of a Family Member?', 'Who Can File Wrongful Death Lawsuits?', 'Negotiating Wrongful Death Settlements', 'Contacting A Los Angeles Wrongful Death Attorney Near Me']","[True, True, True, True, True, False, True, True, True]",3,"['Common Accidents That Can Result in Wrongful Deaths', 'What Can I Do After a Loved One’s Death?', 'What is the Statute of Limitations to File a Wrongful Death Claim in California?']","[True, False, True]",42,"['', '', 'NO ALT', 'NO ALT', 'The Reeves Law Group - Los Angeles wrongful death attorneys', 'Multi-Million Dollar Advocates Forum', 'Newsweek 2016 Best Personal Injury Attorneys', '2019 Best Lawyers - The Reeves Law Group', '2019 Best Lawyers - The Reeves Law Group', 'Top 100 Trial Lawyers', 'Top 100 Trial Lawyers', '', '', 'Five Star Rating', 'Five Star Rating', '', '', 'dealing with a wrongful death?', 'dealing with a wrongful death?', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Los Angeles,3,https://www.socalpersonalinjurylawyer.com/wrongful-death-attorney-los-angeles/,36,33,1,32844,3737,1879,125,334,50,25,16,3,True,"Los Angeles Wrongful Death Attorney - Millions Recovered - Glotzer & Leib, LLP",True,1,['Los Angeles Wrongful Death Attorney'],[True],11,"['Los Angeles Wrongful Death Lawyers', 'What is a Wrongful Death Claim?', 'Who May File a Los Angeles Wrongful Death Lawsuit?', 'How Long Do I Have To File a Wrongful Death Claim?', 'Damages Available in a Wrongful Death Claim', 'Proving a Los Angeles Wrongful Death Claim', 'What are the Main Causes of Wrongful Death?', 'Other Issues Related to Wrongful Death Claims', 'Speak to a Los Angeles Wrongful Death Attorney Today', '$1,250,000', 'Request Your Free Virtual Consultation']","[True, True, True, True, True, True, True, True, True, False, False]",12,"['747-303-0100', 'Surviving Spouse', 'Putative Spouses and Domestic Partners', 'Minor Children', 'Parents', 'Economic Damages', 'Non-Economic', 'Do I have a case?', '747-241-8288', 'Practice Areas', 'Request Your Free Consultation', 'Our Location']","[False, False, False, False, False, False, False, False, False, False, False, False]",30,"['Glotzer & Leib, LLP', 'img', 'Image', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'img', 'Glotzer & Leib, LLP']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Los Angeles,4,https://www.jmllaw.com/areas-of-practice/personal-injury/wrongful-death.shtml,37,31,1,224631,7864,1354,171,117,23,19,14,3,True,"Los Angeles Wrongful Death Attorney | JML Law, APLC",True,1,['Los Angeles Wrongful Death Attorney'],[True],7,"['Coping With Loss And Exercising Legal Rights', 'We Understand These Complex Claims', 'How Long Do You Have To File A Wrongful Death Claim In Los Angeles?', 'Who Is Allowed To File A Wrongful Death Claim In California?', 'Types Of Compensation Available For Los Angeles Wrongful Death Claim', 'Should You File A Wrongful Death Lawsuit? Contact Us To Find Out.', 'Get your questions answered.']","[False, False, True, True, True, True, False]",0,[],[],3,"['logo', 'logo', 'logo']","[False, False, False]",True,False
Wrongful Death Lawyer Los Angeles,5,https://www.gbw.law/los-angeles-wrongful-death-lawyer/,36,29,1,57294,2381,2440,252,90,37,12,50,3,True,Los Angeles Wrongful Death Lawyers | Seeking Justice for Families,True,1,['Los Angeles Wrongful Death Attorneys'],[True],5,"['Standing Up for Families Who Lost Loved Ones to Negligence', 'Eligibility for a Wrongful Death Claim', 'Statute of Limitations in California Wrongful Death Cases', 'Helping Clients Recover for All of Their Losses', 'Contact Our California Wrongful Death Law Firm Today']","[False, True, True, False, True]",2,"['When Is a Death Considered Wrongful?', 'Who Can I Hold Accountable for a Wrongful Death?']","[False, True]",31,"['Greene Broillet & Wheeler, LLP', 'Greene Broillet & Wheeler, LLP', '', '', '', 'Best Law Firms by US News', 'The Inner Circle of Advocates', 'LACBA', 'Consumer Attorneys of California', 'Best Lawyers', 'Top 10 Wrongful Death Verdicts in California in 2019', 'Super Lawyers®', 'CAALA', 'WLALA', 'Top 50 Personal Injury Verdicts in California in 2019', 'Best Lawyers: Ones to Watch', 'American Board of Trial Advocates', 'Top 100 Settlements in California in 2019', 'International Society of Barristers', 'International Academy of Trial Lawyers', 'America’s Top 100 High Stakes Litigators', 'American College of Trial Lawyers', 'Lawdragon', 'National Trial Lawyers: Top 40 Under 40', 'National Trial Lawyers: Top 100', '', '', 'Greene Broillet & Wheeler, LLP', 'Greene Broillet & Wheeler, LLP', 'Internet Marketing Experts', '']","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer Los Angeles,6,https://www.bdjinjurylawyers.com/personal-injury/wrongful-death/,31,24,1,23432,2070,1005,176,77,24,7,9,1,True,Los Angeles Wrongful Death Lawyer | Wrongful Death Attorney LA,True,1,['Los Angeles Wrongful Death Attorneys'],[True],1,['What Happens When a Loved One Is Taken from You?'],[False],4,"['Who is Eligible for Compensation?', 'Parties Potentially Responsible', 'Types of Wrongful Death Damages', 'Get Your Free Consult with a Wrongful Death Lawyer in Los Angeles, CA']","[False, False, True, True]",11,"['BD&J, PC', 'BD&J, PC', '', '', '', '', '', 'BD&J, PC', 'BD&J, PC', 'Internet Marketing Experts', '']","[False, False, False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer Los Angeles,7,https://www.heimbergbarr.com/wrongful-death/,18,27,73,2567,967,1093,76,56,20,8,7,6,True,"Wrongful Death Lawyers in Los Angeles, California | Heimberg Barr LLP",True,1,['California Wrongful Death Lawyers'],[True],6,"['Compassionate counsel for grieving families in Los Angeles and throughout the state', 'What is considered a wrongful death?', 'Wrongful death and medical malpractice', 'Who may file a wrongful death lawsuit in California?', 'How is a survival action different from a wrongful death claim?', 'What help can a Los Angeles wrongful death lawyer offer to me and my family?']","[False, True, True, True, True, True]",3,"['Contact an experienced California wrongful death attorney today', 'Contact us today for a free case evaluation (409) 509-6274', 'Our Location']","[True, False, False]",3,"['Heimberg Barr LLP', 'Steven Heimberg, wrongful death lawyer in California', 'Heimberg Barr LLP']","[False, True, False]",True,False
Wrongful Death Lawyer Los Angeles,8,https://sepulvedalawgroup.com/los-angeles-wrongful-death-lawyer/,18,20,1,1729,193,1423,84,0,26,13,13,3,True,Los Angeles Wrongful Death Lawyer | Fatal Accident Claims Attorney,True,1,['Los Angeles Wrongful Death Lawyer'],[True],7,"['What Is Wrongful Death?', 'Common Types of Accidents That May Result in Fatalities', 'Damages in a Fatal Accident Lawsuit', 'Who Can File a Wrongful Death Claim in Los Angeles?', 'Liability in a Wrongful Death Lawsuit', 'How Long Do You Have to File a Wrongful Death Claim?', 'Seek Legal Help from a Los Angeles Wrongful Death Attorney']","[True, False, False, True, True, True, True]",0,[],[],7,"['fbpx', 'logo', 'logo', 'Sepulveda Sanchez Law, PC.', 'app', 'app', '']","[False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Los Angeles,9,https://www.salamatilaw.com/los-angeles-wrongful-death-lawyer/,33,26,1,43930,545,1117,10,30,38,10,10,10,True,Wrongful Death Lawyer in Los Angeles | Salamati Law Firm,True,1,['Los Angeles Wrongful Death Lawyer'],[True],10,"['California Wrongful Death Attorney Sean F. Salamati', 'Definition of wrongful death in California', 'Who can file a wrongful death lawsuit in Los Angeles?', 'Who may be found liable for a wrongful death?', 'The stages of a wrongful death claim', 'Compensation for wrongful death', 'Wrongful death statistics', 'How to file a wrongful death lawsuit in California', 'Los Angeles Wrongful Death Law Blog', 'Get a Free Consultation']","[True, True, True, True, True, True, True, True, True, False]",4,"['Wrongful death lawsuits may involve:', 'After contacting a wrongful death attorney, you can expect the following processes to take place prior to resolution of your claim:', 'Family members of the decedent may be entitled to compensation for economic and non-economic damages, including:', 'Wrongful Death Resources:']","[True, True, False, True]",8,"['NO ALT', 'NO ALT', 'Salamati Law Free Consultation', 'Salamati Law Free Consultation', 'Facebook logo', 'Facebook logo', 'Twitter logo', 'Twitter logo']","[False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Los Angeles,10,https://bencrump.com/areas-we-serve/los-angeles-ca/wrongful-death-lawyer/,49,31,3,30198,6125,1550,73,103,50,17,44,3,True,Los Angeles Wrongful Death Lawyers | Ben Crump,True,1,['Los Angeles Wrongful Death Lawyer'],[True],8,"['Wrongful Death Laws in California', 'Wrongful Death FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[True, True, False, False, False, False, False, False]",1,['Additional Locations'],[False],15,"['Ben Crump Logo', 'Los Angeles Wrongful Death Lawyer', 'What Is the Difference Between Wrongful Death and Survival Action?', 'a young widow resting her hand on her husband’s casket', 'What Takes Time in Wrongful Death Lawsuits', 'Does Insurance Cover Wrongful Death?', 'What Is the Difference Between Wrongful Death and Survival Action?', 'How Do You Prove Wrongful Death?', 'What Takes Time in Wrongful Death Lawsuits', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, True, False, True, True, True, True, True, False, False, False, False, False, False]",True,False
