keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Personal Injury Lawyer Miami,1,https://www.goldbergandrosen.com/practice-areas/personal-injury/,23,29,-1,43141,1089,1863,209,263,21,11,22,14,True,Miami Personal Injury Lawyer | A Top Personal Injury Attorney FL,True,1,['Miami Personal Injury Lawyers'],[True],8,"['Quick Navigation', 'Personal Injury Lawsuits', ""Your Personal Injury Attorney's Role"", 'Featured Case Results', 'Beware of an Early Settlement Offer', 'Meaningful Compensation', 'What Damages Can You Recover?', 'Do You Have a Personal Injury Claim?']","[False, True, True, False, False, False, False, True]",20,"['Motor Vehicle Accident', 'Motor Vehicle Accident', 'Wrongful Death', 'Medical Expenses', 'Lost Wages', 'Property Loss', 'Pain and Suffering', 'Mental Anguish', 'Loss of Consortium', 'Motor Vehicle Cases', 'Medical Devices', 'Medical Malpractice', 'Workplace Cases', 'Maritime Cases', 'Bicycle Accidents', 'Product Liability', 'Wrongful Death', 'Propane Tank Explosions', 'Car Accident Cases', 'Schedule A Consultation']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",15,"['NO ALT', 'Goldberg & Rosen', 'Goldberg & Rosen', 'Miami Personal Injury Lawyer', 'Personal Injury Attorney Miami', 'Personal Injury Attorney Miami', 'Personal Injury Attorney Miami', 'Personal Injury Attorney Miami', 'Best Personal Injury Lawyer Miami', 'Miami Best Personal Injury Lawyer', 'Best Personal Injury Lawyer Miami', 'Goldberg & Rosen', 'Goldberg & Rosen', 'Goldberg & Rosen', 'Goldberg & Rosen']","[False, False, False, True, True, True, True, True, True, True, True, False, False, False, False]",False,False
Personal Injury Lawyer Miami,2,https://laventlaw.com/,31,36,-1,7622,1709,2448,72,36,33,24,34,27,True,"Miami Personal Injury Lawyer | Top Personal Injury Attorneys in Miami, FL",True,1,['Miami Personal Injury Lawyer'],[True],8,"['Why Should I Hire a Personal Injury Attorney?', 'Video Center', 'Why Should I File a Personal Injury Claim?', 'What Our Clients Are Saying', 'Common Types of Personal Injury Cases in Miami, FL', 'How Long Do I Have to File a Personal Injury Claim?', 'What Compensation Can I Recover From a Personal Injury Lawsuit?', 'Get Help From Our Experienced Miami Personal Injury Lawyers']","[True, False, True, False, True, True, True, True]",16,"['01. You need to focus on your physical recovery.', '02. You’re not sure what your claim is worth.', '03. You may not know who is responsible for your injuries.', '04. It’s important to level the playing field.', 'Car Accidents', 'Truck Accidents', 'Motorcycle Accidents', 'Bicycle Accidents', 'Pedestrian Accidents', 'Uber & Lyft Accidents', 'Dog Bites', 'Premises Liability', 'Product Liability', 'Medical Malpractice', 'Nursing Home Abuse', 'Wrongful Death']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",69,"['Lavent Law Personal Injury Lawyers - Miami, FL', 'Lavent Law Video - Personal Injury Lawyers in Miami, FL', 'Better Business Bureau logo', 'American Institute of Personal Injury Attorneys logo', 'Best Attorneys of America logo', 'National Trial Lawyers Top 40 logo', '', '', '', '', '', '', '', '', 'Car Accidents San Diego', 'Car Accidents San Diego', 'Truck', 'Truck', 'Motorcycle Crash', 'Motorcycle Crash', 'Bicycle', 'Bicycle', 'Pedestrian', 'Pedestrian', 'Uber & Lyft Accidents', 'Uber & Lyft Accidents', 'Dog Bites', 'Dog Bites', 'Premises Liability', 'Premises Liability', 'Product Liability', 'Product Liability', 'Medical Malpractice', 'Medical Malpractice', 'Nursing Home Abuse', 'Nursing Home Abuse', 'Wrongful Death', 'Wrongful Death', 'Car Accidents', 'Car Accidents', 'Truck', 'Truck', 'Motorcycle', 'Motorcycle', 'Bicycle', 'Bicycle', 'pedestrian', 'pedestrian', 'Uber & Lyft', 'Uber & Lyft', 'Dog Bites', 'Dog Bites', 'Premises Liability', 'Premises Liability', 'Product Liability', 'Product Liability', 'Medical Malpractice', 'Medical Malpractice', 'Nursing Home', 'Nursing Home', 'Wrongful Death', 'Wrongful Death', '', '', 'Miami', 'Miami', 'phone icon', 'phone icon', 'NO ALT']","[True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Miami,3,https://www.rubensteinlaw.com/,35,41,1,476197,3399,1093,0,0,9,11,13,7,True,Personal Injury Lawyers - Rubenstein Law,True,6,"['PERSONAL INJURY LAWYERS', 'PERSONAL INJURY LAWYERS', 'PERSONAL INJURY LAWYERS', 'PERSONAL INJURY LAWYERS', 'No Cost To You\xa0Unless We Win!', 'Case Results']","[True, True, True, True, False, False]",4,"['Practice Areas', 'Reviews', 'Leading Law Firm With Experienced Attorneys Within Reach', 'Free Case Evaluation']","[False, False, False, False]",14,"['Vehicle Accidents', 'Premise Liability', 'Catastrophic Injuries', 'Toxic Exposure', 'Defective Products & Drugs', 'Medical Negligence', 'Best Experience with a Injury Law Firm', 'Friendly & Helpful Personal Injury Firm', 'Philips CPAP Recall', 'Car and Auto Accidents', 'Bicycle Accidents', 'A team of experienced attorneys ready to fight for you', 'Resources and technology to get you results', 'Convenient locations across Florida']","[False, False, False, False, False, False, False, True, False, False, False, False, False, False]",53,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'a senior Asian man sitting in wheelchair in a low light room looking contemplatively out a window', 'a senior Asian man sitting in wheelchair in a low light room looking contemplatively out a window', 'a senior Asian man sitting in wheelchair in a low light room looking contemplatively out a window', 'a senior Asian man sitting in wheelchair in a low light room looking contemplatively out a window', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Best Law Firms US News', 'Best Law Firms US News', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer Miami,4,https://shakedlaw.com/miami-personal-injury-lawyer/,31,33,1,24676,1876,3265,55,69,43,57,47,5,True,Miami Personal Injury Lawyer - Shaked Law Personal Injury Lawyers,True,1,['Miami Personal Injury Lawyer'],[True],19,"['Miami Personal Injury Resources', 'Why Choose Shaked Law Personal Injury Lawyers To Handle Your Miami Injury Claim?', 'Do I Have a Personal Injury Case?', 'Why Should I Hire a Personal Injury Lawyer?', 'Miami-Dade County Accident Statistics [2022 Update]', 'Common Types of Injuries & Accident Cases', 'How Much is My Miami Personal Injury Claim Worth?', 'Why Should I File a Personal Injury Claim?', 'What Compensation Can I Recover If I’ve Been Hurt in an Accident?', 'What If I’m Partially At Fault For the Accident?', 'How Much Does it Cost to Hire a Miami Personal Injury Attorney?', 'What is Negligence?', 'How Long Do I Have to File a Lawsuit in Florida?', 'Personal Injury FAQs', 'What Should I Do If I’m Injured in an Accident?', 'What is a Personal Injury Case?', 'Will My Case Go to Trial?', 'How Long Will My Case Take?', 'Your Trusted Miami Personal Injury Lawyers']","[True, True, True, True, False, False, True, True, False, False, True, False, False, True, False, True, False, False, True]",11,"['Car Accidents', 'Truck Accidents', 'Brain Injuries', 'Motorcycle Accidents', 'Pedestrian Accidents', 'Wrongful Death', 'How Do I Prove Negligence?', 'Additional Resources', 'Recent Blog Posts', 'Miami Personal Injury Client Review', 'Local Emergency Rooms']","[False, False, False, False, False, False, False, False, False, True, False]",22,"['Shaked Law Personal Injury Lawyers - Miami, Florida', 'Miami Personal Injury Lawyer', 'Why Choose Shaked Law Personal Injury Lawyers To Handle Your Claim?', 'Legal team at shaked law firm', 'miami car accident', 'miami truck accident', 'miami brain injury', 'Miami motorcycle accident icon', 'Miami pedestrian accident icon', 'Miami wrongful death icon', 'Miami Injury Attorneys at Shaked Law Personal Injury Lawyers', ""What If I'm Partially At Fault For the Accident?"", 'Miami Injury Lawyer Sagi Shaked', 'How Long Do I Have to File a Lawsuit in Florida?', 'definition of a personal injury case', 'will my case go to court?', 'How Long Will My Case Take?', 'Your Trusted Injury Lawyers', 'Client Review', 'Shaked law personal injury lawyers aventura office', 'Shaked Law on Google Maps', 'LawRank']","[True, True, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, True, False, False]",True,False
Personal Injury Lawyer Miami,5,https://www.smorganlaw.com/,20,33,3,101927,14049,4714,78,59,13,14,29,672,False,Miami Personal Injury Lawyer,True,1,['Miami Personal Injury Lawyer'],[True],3,"['Full-Service Law Practice Devoted to Personal Attention and Service', 'Comprehensive Miami Personal Injury\xa0Lawyers', 'Contact Our Experienced Miami Personal Injury Law Firm Today']","[False, True, True]",0,[],[],15,"['Miami Personal Injury Lawyer', 'Toggle Sound', 'Toggle Fullscreen', 'Prev', 'Next', 'Previous', 'Next', 'Spencer Morgan Video 1', 'Spencer Morgan Video 1', 'Spencer Morgan Video 2', 'Miami Personal Injury Attorney', 'Facebook', 'LinkedIn', 'Instagram', 'MileMark Media']","[True, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",True,False
Personal Injury Lawyer Miami,6,https://www.injurylawyers.com/miami/,37,37,2,75490,39556,1653,107,252,23,28,18,11,True,Miami Personal Injury Lawyer | Steinger Greene & Feiner,True,1,['Miami Personal Injury Lawyer'],[True],14,"['Relentless Legal Representation For Miami Personal Injury Victims', 'We service the Following Areas', 'A Proven History Of Winning Our Clients’ Cases', 'Steinger, Greene & Feiner Miami is Rated 4.9 Stars', 'Injuries Resulting From Negligence', 'Other Miami-Dade County Personal Injury Statistics', 'Common Types Of Miami Personal Injury Cases', 'Recent Client Reviews', 'Frequently Asked Questions', 'What do you need to know about Florida car accident laws?', 'How much can you expect from a car accident settlement?', 'Can you afford to hire a Miami personal injury law firm?', 'Why choose a Miami car accident attorney from Steinger, Greene & Feiner?', '(800) 801-6850']","[True, False, False, False, False, True, True, False, False, False, False, True, False, False]",3,"['(800) 801-6850', 'Proven Miami Personal Injury Attorneys', 'Get Help Now!']","[False, True, False]",24,"['', '', 'steinger greene and feiner injurylawyers.com red logo', 'steinger greene and feiner injurylawyers.com red logo', 'Steinger, Greene & Feiner Miami', 'Steinger, Greene & Feiner Miami', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'steinger greene and feiner red logo white underline', 'steinger greene and feiner red logo white underline']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Miami,7,https://www.vdlegal.com/,59,40,1,26484,1017,931,31,63,11,15,21,78,True,Miami Personal Injury Lawyers & Car Accident Attorneys,True,1,['Personal Injury Lawyers & Car Accident Attorneys in Miami'],[True],1,['PERSONAL INJURY Lawyers & CAR ACCIDENT Attorneys Serving MIAMI'],[True],12,"['SLIP & FALL ACCIDENT', 'MOTORCYCLE ACCIDENT', 'TRUCK ACCIDENTS', 'Car Accidents', 'MEDICAL MALPRACTICE', 'WRONGFUL DEATH', 'DEFECTIVE AUTOMOBILE', 'MEDICAL NEGLIGENCE', 'BRAIN & SPINAL INJURY', 'BOATING ACCIDENT', 'UBER & LYFT ACCIDENTS', 'BUSINESS LITIGATION']","[False, False, False, False, False, False, False, False, False, False, False, False]",56,"['Miami Personal Injury Lawyer | Accident Attorneys', 'Miami Personal Injury Lawyer | Accident Attorneys', 'Miami Personal Injury Lawyer | Accident Attorneys', 'Miami Personal Injury Lawyer | Accident Attorneys', 'NTL-top-100-member-seal', 'NTL-top-100-member-seal', 'lawyer miami injury', 'lawyer miami injury', 'logo (1)', 'logo (1)', 'justice-color_0', 'justice-color_0', 'superlawyers', 'superlawyers', 'av-preeminent-badge', 'av-preeminent-badge', 'Avvo-copy', 'Avvo-copy', 'cs-floridajustice', 'cs-floridajustice', 'MTTLA-Top-25', 'MTTLA-Top-25', 'miami injury lawyer', 'miami injury lawyer', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Personal injury', 'Personal injury', 'Contact attorney', 'Contact attorney', '', '', '', '']","[True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Miami,8,https://www.injuryattorneyfla.com/,29,39,1,386978,2657,4000,0,0,29,44,68,11,True,"Miami Personal Injury Lawyer | Dade County Accident Attorney | Gerson & Schwartz, P.A.",True,1,['Miami Personal Injury Lawyer'],[True],7,"['Our Miami Personal Injury Practice Includes', 'Personal Injury Practice', 'Meet Our Team', 'Client Reviews', 'Miami Personal Injury Lawyer Blog', 'Cruise Ship Accident Lawyer Blog', 'Contact Us']","[True, True, False, False, True, False, False]",16,"['What Does Personal Injury Law Cover?', 'Personal Injury', 'Car Accidents', 'Motorcycle Accidents', 'Slip and Fall Accidents', 'Truck Accidents', 'Catastrophic Injuries', 'Premises Liability', 'Cruise Ship Accidents', 'Wrongful Death', 'Child Injuries', 'Crime Victims', 'Negligent and Inadequate Security', 'Medical Malpractice', 'Personal Injury Damages in Florida', 'Put Our Experience to Work to Protect You and Your Family']","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False]",43,"['Logo of Gerson & Schwartz Accident & Injury Lawyers', 'Attorneys Group Photo', 'Best Lawyers', 'Million Dollar Advocates Forum', 'Best Lawyers 2023', 'Martindale-Hubbell', 'Super Lawyers', 'Justia Lawyer Rating', 'AVVO', 'Legal Elite', '2019 Top 3 Personal Injury Lawyer in Miami', 'Best Lawyers 2018', 'Person Injured', 'Car Crash Picture', 'Motorcycle Accidents', 'Truck Accidents', 'Catastrophic Injuries', 'Premises Liability', 'Photo of a Cruise Ship', 'Wrongful Death', 'Child Injuries', 'Crime Victims', 'Inadequate Security', 'Medical Malpractice', 'Miami Personal Injury Lawyer, Florida Cruise Ship Attorneys', 'United States Court House', 'Photo of Philip M. Gerson', 'Photo of Edward S. Schwartz', 'Photo of Nicholas I. Gerson', 'Photo of David L. Markel', 'Gerson & Schwartz Accident & Injury Lawyers 1980', 'Miami Injury Law Firm Newsletter', 'Florida Justice Association', 'The National Center for Victims of Crime', 'outh Florida Legal Guide', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'Yelp Icon', 'Office Map', 'ClickCease']","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer Miami,9,https://prosperlaw.com/,36,36,1,22254,2264,2882,3,67,25,21,60,80,True,Miami Personal Injury Lawyer | Prosper Shaked Accident Injury Attorneys PA,True,1,['Miami Personal injury  lawyer'],[True],12,"['SPEAK WITH A MIAMI  ACCIDENT AND INJURY ATTORNEY', 'PROUDLY SERVICING CLIENTS', 'Personal Injury Practice Areas', 'Have You Been Injured or Neglected?', 'Miami Personal Injury Attorney', 'Frequently asked questions', 'Do I Have A Strong Case?', 'How Much Is My Personal Injury Case Worth?', 'Is It Worth Hiring A Personal Injury Attorney?', 'Have You Handled Cases Like Mine?', 'Do You Ever Take Cases To Court?', 'Why Choose Us?']","[False, False, True, False, True, False, False, True, True, False, False, False]",16,"['THROUGHOUT MIAMI-DADE AND FLORIDA', 'Do not speak with the insurance company.', 'We come to you, or you can come to us.', 'Your Case Could Help Our Community Be A Better, Safer Place.', 'You Deserve to Have Your Interests Put First.', 'We Handle Your Personal Injury Case With Compassion And Care.', 'There Is No Such Thing As A Hopeless Case - Let Us Prove It.', 'Miami Car Accident Lawyer', 'Miami Truck Accident Lawyer', 'Miami Motorcycle Accident Lawyer', 'Miami Medical Malpractice Lawyer', 'Miami Slip and Fall Lawyer', 'Miami Boat Accident Lawyer', 'Prosper Shaked Accident Injury Attorneys PA', 'Miami Location', 'GET A FREE CONSULTATION']","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False]",20,"['Prosper Shaked Accident Injury Attorneys PA logo', 'Prosper Shaked Accident Injury Attorneys PA logo', 'Prosper Shaked Client Meeting', 'Badge', 'Badge', 'Badge', 'Badge', 'Badge', 'Badge', 'Badge', '', '', '', '', '', '', 'PROSPER SHAKED bio', 'Prosper Shaked hp FAQ', 'Prosper Shaked hp FAQ', 'Prosper Shaked Accident Injury Attorneys PA']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Miami,10,https://www.forthepeople.com/miami/,57,43,6,951794,105295,3914,0,109,41,127,96,245,False,"Personal Injury Lawyers in Miami, Florida (FL) | Morgan & Morgan",True,2,"['Personal Injury Lawyer in Miami, Florida (FL)', 'How Can We Help You Today?']","[True, False]",11,"['The Miami Office', 'The Fee is FreeTM Only Pay If We Win.', 'Related Pages', 'Serving The Following Neighborhoods & More', 'See Our Nationwide Results', 'Find Other Ways We Can Help', 'FAQ', 'Free Case Evaluation', 'Quick Links', 'Trending News', 'Most Asked Questions']","[False, False, False, False, False, False, False, False, False, False, False]",34,"['Submit a Free Case Evaluation', 'Get a Call From Us', 'Let Us Get to Work', 'Hear From Our Clients', 'We’ve won over $15 Billion for our clients in cases of all types. Let us work hard for you.', 'Our attorneys specialize in over 200\xa0practice areas, including:', 'Miami Lawyers', 'What Should I Look for in a Miami Personal Injury Lawyer?', 'Experience', 'Resources', 'Results', 'Reputation', 'How Can a Miami Personal Injury Lawyer Help?', 'Can I File a Claim Without a Miami Personal Injury Lawyer?', 'How Much Compensation Am I Entitled to if I Hire a Personal Injury Lawyer?', 'How Much Do Miami Personal Injury Lawyers Charge?', 'Do I Need to Pay for Consultation?', 'Is My Personal Injury Claim Valid?', 'Duty', 'Breach', 'Causation', 'Damages', 'When Should I Hire a Personal Injury Lawyer?', 'What Happens if the Statute of Limitations Expires?', 'Can a Personal Injury Lawyer Help Even if I Was Partially at Fault for the Accident?', 'Contact a Morgan and Morgan Personal Injury Lawyer in Miami', 'Things to do in Miami', 'Local Attractions of Miami', 'Fire Stations in Miami', 'Police Stations in Miami', 'Miami Amusement Parks', 'Courthouses in Miami', 'Miami Hospitals and Urgent Cares', 'Miami Town Halls']","[False, False, False, False, False, False, False, True, False, False, False, False, True, True, True, True, False, True, False, False, False, False, True, False, True, True, False, False, False, False, False, False, False, False]",91,"['NO ALT', 'Personal Injury Lawyers - Morgan & Morgan', 'Search', 'Phone', 'click to call icon', 'click to call icon', 'click to call icon', 'click to call icon', 'click to call icon', 'Search', 'Free case evaluation icon', 'Incoming icon', 'Woman with computer icon', 'Video Thumbnail', '5 stars', 'Google Logo', '5 stars', 'Video Thumbnail', '5 stars', 'Video Thumbnail', '5 stars', 'Video Thumbnail', '5 stars', 'Car icon', 'Medical Malpractice icon', 'Clock and money icon', 'Tobacco icon', 'Slip & Fall icon', 'Premises Liability icon', 'Social Security icon', 'Civil Rights icon', 'Car icon', 'Hand icon', 'Medical malpractice icon', 'Business icon', 'Pill icon', 'Fire icon', 'Civil Rights icon', 'Social Security icon', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'Morgan & Morgan logo', 'Businesstrialgroup.com logo', 'Whistleblowerattorneys.com logo', 'Injury.com logo', 'Abogados.com logo', 'ClassAction.com logo', 'Twitter icon', 'Twitter icon', 'Facebook icon', 'Instagram icon', 'YouTube icon', 'TikTok icon', 'Sitejabber customer rating badge', 'Morgan & Morgan BBB Business Review', 'Download on the App Store', 'Get it on Google Play']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
