keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Car Accident Lawyer New York,1,https://www.rosenbaumnylaw.com/new-york-car-accident-lawyer/,27,38,7,23563,2818,4048,110,67,65,68,35,7.0,True,"New York Car Accident Lawyer - Rosenbaum & Rosenbaum, P.C.",True,1,['New York City Car Accident Lawyer'],[True],15,"['New York City Car Accident Statistics', 'Which Roads and Intersections in NYC Are the Most Dangerous?', 'Why Should I Hire a New York Car Accident Attorney at Rosenbaum & Rosenbaum, P.C. After A Car Accident in NYC?', 'What Causes Car Accidents in New York, NY?', 'Who Is Responsible For My Car Accident and Injuries?', 'Can I Recover Compensation If I Share Some of the Blame for a Car Accident in New York?', 'What Happens If the Other Driver Was Uninsured?', 'What Damages Are Available If I’m Injured in a Car Crash in NYC?', 'How Much is My Car Accident Case Worth?', 'We Handle All Car Accident Cases in New York City', 'We’ll Fight to Recover Compensation For All of Your Car Accident Injuries', 'What Should I Do After a Car Accident in NYC?', 'How Much Does it Cost to Hire a Car Accident Lawyer?', 'How Long Do I Have to File a Car Accident Lawsuit in New York?', 'Contact Our New York City Car Accident Attorneys Today For Legal Help']","[True, False, True, True, True, True, False, False, True, True, True, True, True, True, True]",22,"['Total Collisions in New York City', 'Injury-Causing Collisions in New York City', 'Fatal Collisions in New York City', 'Distracted Driving', 'Following Too Closely', 'Failure to Yield', 'Speeding', 'Drunk Driving', 'Passing Improperly', 'Road Defects', 'Defective Vehicles and Equipment', 'New York Has No-Fault Insurance Rules', 'We’ll Work Hard to Identify All Liable Parties', 'What Are Economic Damages?', 'What Are Non-Economic Damages?', 'What Are Punitive Damages?', 'Highly Rated Auto Repair Shops In New York, NY', 'New York City Car Accident Review', 'Car Accident Infographic', 'Practice Areas', 'Our Location', 'Search Our Site']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]",28,"['Rosenbaum & Rosenbaum, P.C.', 'Rosenbaum & Rosenbaum, P.C.', 'Banner New York City Lawyers', 'New York City Car Accident Lawyer', 'New York City Car Accident Lawyer', 'New York City Car Accident Statistics', 'New York City Car Accident Statistics', 'Why Should I Hire a New York Car Accident Attorney?', 'Why Should I Hire a New York Car Accident Attorney?', 'What Causes Car Accidents in New York, NY?', 'What Causes Car Accidents in New York, NY?', 'Who Is Responsible For My Car Accident and Injuries?', 'Who Is Responsible For My Car Accident and Injuries?', 'What Happens If the Other Driver Was Uninsured?', 'What Happens If the Other Driver Was Uninsured?', 'What Are Non-Economic Damages?', 'What Are Non-Economic Damages?', 'What Should I Do After a Car Accident in NYC?', 'What Should I Do After a Car Accident in NYC?', 'How Long Do I Have to File a Car Accident Lawsuit in New York?', 'How Long Do I Have to File a Car Accident Lawsuit in New York?', 'New York City Car Accident Review ', 'New York City Car Accident Review ', 'New York City Car Accidents Infographic', 'New York City Car Accidents Infographic', 'Rosenbaum & Rosenbaum New York, NY Office Location', 'Rosenbaum & Rosenbaum New York, NY Office Location', '']","[False, False, False, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, True, True, True, True, False, False, False]",True,True
Car Accident Lawyer New York,2,https://www.gairgair.com/automobile-accidents.html,41,35,5,617551,14328,6934,0,0,63,67,47,49.0,True,Car Accident Lawyer NYC | New York Car Accident,True,1,['Are you Looking for a Car Accident Lawyer in NYC?'],[True],0,[],[],0,[],[],25,"['Logo of Gair, Gair, Conason, Rubinowitz, Bloom, Hershenhorn, Steigman & Mackauf', 'New York City Car Accident Lawyers', 'Car accident lawyer at New York', 'Traffic Accident Deaths in NYC by Month with Trendline', 'Motor Vehicle Accident Fatalities by Month in NYC', 'Motorists Killed in a Vehicle Accident in NYC by Month With Trendline', 'Passengers Killed in a Vehicle Accident in NYC by Month With Trendline', 'Traffice Accident Injuries in NYC by Month with Trendline', 'Motor Vehicle Accident Injuries in NYC by Month with Trendline', 'Motorist in a Vehicle Accident in NYC by Month With Trendline', 'Passengers Injured in a Vehicle Accident in NYC by Month With Trendline', 'Traffic Accident Injuries in NYC During First Semester', 'Traffic Deaths in NYC During First Semester', 'Motorists Injuries in NYC During First Semester', 'Motorists Deaths in NYC During First Semester', 'Passengers Injuries in NYC During First Semester', 'Passengers Deaths in NYC During First Semester', 'Top Verdicts 2017 New York Magazine', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'YouTube Icon', 'Yelp Icon']","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Car Accident Lawyer New York,3,https://carrionesq.com/car-accidents/,24,35,1,4219,1033,2773,182,2293,37,34,25,168.0,True,NYC (New York City) Car Accident Lawyers - Carrion Law Firm,True,1,['New York City (NYC) Car Accident Lawyers'],[True],10,"['Factors that May Impact Your Compensation After a Car Accident in NYC', 'New York’s No-Fault Insurance System and How it Affects a Car Accident Lawsuit', 'Benefits of a Lawsuit Compared to an Insurance Claim for a New York City Car Accident', 'What If the Other Driver Flees or Has No Insurance?', 'How Long Does It Take to Get Compensated After an Accident?', 'The Statute of Limitations for Car Accident Cases in NYC', 'How Much Does It Cost to Hire a Car Accident Lawyer in NYC?', 'Our New York City Car Accident Attorneys Can Help', 'Hundreds of Five Star Client Reviews', 'Priorizando a Nuestros Clientes Cuando los Resultados Importan']","[True, True, True, False, False, True, True, True, False, False]",21,"['""...this sounds too good to be true but seriously they really did help me...""', '""My experience with The Carrion Firm was nothing short of phenomenal. ""', '""They got me the best deal and I couldn’t be happier...""', '""They are extremely friendly and patient and always make sure you are getting the best care!""', '""…the compensation he recovered for me far exceeded my expectations.""', '""All of the staff in the office were all super professional and helpful. ""', '""…Dennis Carrion, and his team are very helpful, smart, reliable, trustworthy and confident. I am very happy that I chose Carrion…""', '""He is the only attorney I know that really had my interests at heart.""', '""Helped me through my process and made me feel like I was well taken care of the whole way through.""', '""Thanks to Dennis Carrion I got more than I expected...""', '""If anyone has a need for an honest, dependable and professional individuals and atmosphere, these are the ones to call on.""', '""He fought for me!""', '""Hiring Dennis Carrion was the best decision ever.""', '""Contratar a Dennis Carrión fue la mejor decisión.""', '""¡Él luchó por mí!""', '""Gracias a Dennis Carrión obtuve más de lo que esperaba…""', '""…tenía un abogado terrible pero cuando Dennis tomó las riendas, literalmente cambió el juego.""', '""…la compensación que recuperó para mí superó mis expectativas.""', '""…una vez se involucró, las cosas realmente cambiaron de rumbo.""', '""El tipo de abogado que quieres de tu lado.""', '""No podría recomendarlo más.""']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",135,"['Best Personal Injury Lawyer New York City', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'New York City Personal Injury Lawyer', 'Abogado de lesiones personales de la ciudad de Nueva York', 'Long Island Personal Injury Lawyer', 'Best New York Personal Injury Lawyer', 'Best New York City Car Accident Lawyer', 'Abogado de lesiones personales en Long Island', 'Mejor abogado de lesiones personales de New York', 'El mejor abogado de accidentes automovilísticos de New York']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False]",True,True
Car Accident Lawyer New York,4,https://mirmanlawyers.com/new-york-car-accident-lawyer/,33,37,3,23440,3458,3115,81,102,51,46,26,5.0,True,New York Car Accident Lawyer - FREE - Speak to an Attorney Now!,True,1,['New York City Car Accident Attorney'],[True],11,"['New York City Car Accident Statistics', 'Where Do Most Car Accidents in NYC Happen?', 'You Deserve an Experienced NYC Car Accident Lawyer', 'Who’s Responsible For My Injuries After a Car Accident?', 'What Causes Car Accidents in New York City?', 'We’ll Help You Demand Money For All of Your Car Accident Injuries', 'What If I’m Blamed For My Car Accident?', 'Damages Are Available After a New York City Collision', 'What Should I Do After a Car Accident in NYC?', 'How Long Do I Have to File a Car Accident Lawsuit in New York?', 'Call Our New York City Car Accident Lawyers For Help']","[True, True, True, True, True, True, True, False, True, True, True]",12,"['Where Are Car Accidents Happening in New York City?', 'How Serious Are New York City Car Accidents?', 'Accidents By Borough', 'Most Dangerous Intersections in NYC', 'New York’s No-Fault Insurance Rules', 'New York is a Comparative Fault State', 'Insurance Claim', 'Personal Injury Lawsuit', 'Government Claim', 'New York City Car Accidents Infographic', 'Related Links', 'Practice Areas']","[True, True, False, False, False, False, False, False, False, True, False, False]",12,"['NYC Personal Injury Lawyers - Mirman, Markovits & Landau, P.C.', 'Car accident', '', '', 'Distracted Driving', 'Man injured after a car crash', '', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, True, False, False, False, False, False, False, False, False, False, False]",True,True
Car Accident Lawyer New York,5,https://www.triallaw1.com/practice/new-york-car-accident-attorney/,32,36,1,20104,7806,2574,9,165,37,19,22,20.0,True,New York City Car Accident Lawyer,True,1,['New York City Car Accident Attorney'],[True],8,"['Why You Need a Car Accident Lawyer in New York City', 'How Our Car Accident Lawyers Can Help', 'Common Car Accident Causes', 'Common Types of Car Accidents', 'Frequently Asked Questions About Car Accidents in New York', 'Million Dollar Settlements in Car Accident Cases', 'Speak with an NYC car accident lawyer today', 'School Zone Crash Lookup Tool']","[True, True, True, True, True, True, True, False]",12,"['(212) 732-9000', 'What is the statute of limitations for car accidents in New York?', 'How does car insurance work in New York?', 'How long will my case take?', 'Will my car accident case go to trial?', 'How much does it cost to hire SPBMC?', 'How do you know who is at fault?', 'More Settlements', 'More Settlements', 'More Settlements', 'Free Case Evaluation', '']","[False, True, False, False, True, False, False, False, False, False, False, False]",8,"['NO ALT', 'Clickcease', 'ClickCease', 'Sullivan Papain Block McGrath Coffinas & Cannavo, P.C.', 'Sullivan Papain Block McGrath Coffinas & Cannavo, P.C.', 'Sullivan Papain Block McGrath Coffinas & Cannavo, P.C.', 'NY Car Accident Lawyers', 'car wreck, totaled vehicle']","[False, False, False, False, False, False, True, False]",True,False
Car Accident Lawyer New York,6,https://www.wrshlaw.com/auto-accidents/,31,33,1,54085,3462,2508,39,228,26,30,17,53.0,True,NY Car Accident Attorneys | Need a Lawyer After a Car Crash?,True,1,['Top New York Car Accident Attorneys'],[True],14,"['Get the Legal Help You Need After a New York Car Accident', 'What Damages Can I Recover After a New York Car Accident?', 'What Evidence Is Collected for a New York City Car Accident Claim?', 'Let Us Stand Up to Insurance Companies on Your Behalf', 'Types of Automobile Collisions That Cause Serious Injuries', 'Different Types of Car Accident Injuries', 'The Dangers of Speeding in New York', 'Car Accident Statute of Limitations in New York', 'Frequently Asked Questions About Auto Accidents', 'Our Car Accident Case Results', 'Why Choose Wingate, Russotti, Shapiro, Moses & Halperin, LLP?', 'Additional Information', 'Related Car Accident Pages', 'COVID-19 Screening Forms']","[True, True, True, False, False, True, False, True, False, True, False, False, True, False]",5,"['Q: Can I still file a claim if I was partially at fault for my accident?', ""Q: Should I speak with the other driver's insurance company?"", ""Q: Should I accept the insurance company's offer?"", ""Q: What if I can't afford an attorney?"", 'See All Case Results']","[False, False, False, False, False]",5,"['skip to content', '', 'SLS Consulting', 'SLS Consulting', '']","[False, False, False, False, False]",False,False
Car Accident Lawyer New York,7,https://jknylaw.com/new-york-car-accident-lawyer/,32,33,4,5966,1410,4008,17,261,82,68,53,75.0,True,NYC Car Accident Lawyer - Free Consultation - Car Accident Attorney Near Me | Law Offices of Jay S. Knispel Personal Injury Lawyers,True,1,['New York City Car Accident Lawyer'],[True],15,"['How an NYC Car Accident Lawyer at Law Offices of Jay S. Knispel Personal Injury Lawyers Can Help After a Car Accident in New York City', 'Car Accident Statistics in New York, NY', 'Where Do Most Crashes Happen in NYC?', 'What’s My New York City Car Accident Case Worth?', 'What Compensation is Available After an NYC Car Accident?', 'How Do I Get Money After an Auto Accident in NYC?', 'How Will Sharing Blame For a Crash in New York Affect My Ability to Recover Compensation?', 'What Happens If I’m in an Accident With an Uninsured Driver in New York City?', 'What Causes Most Car Accidents in New York?', 'What Should I Do After a Car Accident in New York City?', 'How Much Will it Cost to Hire a NYC Car Accident Lawyer?', 'We Handle All Car Accident Cases in NYC', 'We Will Fight to Recover Maximum Compensation For All of Your NYC Car Accident Injuries', 'How Long Do I Have to File a Lawsuit After a Car Crash in New York, NY?', 'Contact Our New York City Car Accident Lawyers to Schedule a Free Consultation']","[True, True, False, True, True, False, False, False, True, True, True, True, True, False, True]",19,"['NYC Car Accident Statistics – September 2022 Update', 'Which NYC Borough Has the Most Car Accidents?', 'What Are Economic Damages?', 'What Are Non-Economic Damages?', 'Are Punitive Damages Ever Available After a Wreck?', 'Submit a Claim to Your Insurance Provider', 'Filing a Car Accident Lawsuit Against Liable Parties', 'Distracted Driving', 'Tailgating', 'Failure to Yield', 'Speeding and Aggressive Driving', 'Drunk Driving', 'Passing', 'New York City Car Accident Lawyer Review', 'Highly Rated Auto Repair Shops in New York, NY', 'Additional Car Accident Resources and Information', 'New York City Car Accident Infographic', 'New York Injury Attorneys', 'Brooklyn Injury Attorneys']","[True, True, False, False, False, False, True, False, False, False, False, False, False, True, False, True, True, False, False]",21,"['Jay S. Knispel Personal Injury Lawyer - NYC', 'NO ALT', 'New York City Car Accident Lawyer', 'Why You Should Choose the Law Offices of Jay Knispel, LLC After a Car Accident in NYC', 'Car Accident Statistics in New York, NY', 'Where Do Most Crashes Happen in NYC?', 'What Compensation is Available After a Car Accident?', 'How Can I Recover Compensation After an Auto Accident?', 'How Will Sharing Blame For a Crash in New York Affect My Ability to Recover Compensation?', 'What Causes Most Car Accidents?', 'We Handle All Car Accident Injury Cases in NYC', 'We Will Fight to Recover Maximum Compensation For All of Your Car Accident Injuries', 'How Long Do I Have to File a Lawsuit After a Motor Vehicle Accident in New York, NY?', 'Contact Our New York City Car Accident Lawyers to Schedule a Free Consultation', 'Review for New York car accident lawyer Jay Knispel', 'New York City car accident infographic', 'Law Offices of Jay S. Knispel Personal Injury-New York City Office', 'Law Offices of Jay S. Knispel Personal Injury - Brooklyn Office', 'New York City Accident & Injury Lawyers Near You', 'New York City Accident & Injury Lawyers Near You', 'New York City Accident & Injury Lawyers Near You']","[False, False, True, True, True, False, True, False, False, True, True, True, False, True, True, True, False, False, False, False, False]",True,True
Car Accident Lawyer New York,8,https://www.unionlawfirm.com/new-york-injury-attorney/car-accidents/,31,35,1,919461,3581,5277,260,67,75,52,29,4.0,True,New York Car Accident Lawyers | NYC Accident Attorney,True,1,['New York City Car Accident Lawyers'],[True],21,"['Table Of Contents', 'Hach & Rose, LLP Serves Car Accident Victims Across NYC', 'Why Choose Hach & Rose, LLP For Your Car Accident Case?', '7 Steps You Should Take After a Car Accident', 'What Happens During an Accident Investigation?', 'Damages Available in a Car Accident Case', 'Contact Us Today', 'Most Common Causes of Car Accidents', 'The Most Dangerous Intersections in New York City', 'Common Injuries Associated with Car Accidents', 'How Much Does It Cost to Hire a New York City Car Accident Lawyer?', 'Car Accident Video Faqs', 'Car Accident Laws in New York', 'Are There Any Special Laws I Need to Know About in New York if I am Involved in a Car Accident?', 'Filing a Car Accident Lawsuit in New York', 'New York Car Accident Stats', 'Handling the Insurance Claim After Your Car Accident', 'Car Accident Articles', 'Speak to a Dedicated New York City Car Accident Lawyer', 'Frequently Asked QuestionsIf you were hurt in a motor vehicle crash and want to hold the at-fault party accountable for their actions, you might have questions about state laws or the legal process. Below are some common questions people ask about their cases.', 'Frequently Asked Questions']","[False, True, True, True, False, True, False, True, False, True, True, True, True, True, True, True, True, True, True, False, False]",7,"['1. Call 911', '2. Exchange Information', '3. File an Accident Report', '4. Take Pictures and Preserve Accident Scene Evidence', '5. Seek Medical Attention Immediately', '6. Contact Your Insurance Company to Report the Crash', '7. Speak with a Knowledgeable New York City Car Accident Lawyer about Your Rights']","[False, False, False, False, False, False, True]",9,"['tag', 'tag', 'logo', 'logo', 'infographic', 'infographic', 'cta logo', 'Footer Logo', 'Conversion Pixel']","[False, False, False, False, False, False, False, False, False]",True,True
Car Accident Lawyer New York,9,https://www.greensteinmilbauer.com/nyc-car-accident-lawyer/,30,36,-1,8754,1392,3004,58,157,33,17,27,37.0,True,"NYC Car Accident Lawyer | Greenstein & Milbauer, LLP | 1-800-VICTIM2",True,1,['NYC Car Accident Lawyer'],[True],12,"['CAUSES OF AUTO ACCIDENTS', 'Distracted Driving', 'TYPES OF TRAFFIC ACCIDENTS', 'Obtaining a Copy of Your NYC Police Report', 'Should I Seek Medical Attention?', 'UNDERSTANDING NO-FAULT INSURANCE', 'What Injuries Qualify for an NYC No-Fault Claim?', 'How Do I Know I Have a Car Accident Case?', 'GET COMPENSATED FOR YOUR ACCIDENT CLAIM', 'SPEAK WITH A LAWYER ABOUT YOUR CASE NOW', 'Our New York Law Office', 'NEW YORK CAR ACCIDENT FAQ']","[False, False, False, False, False, False, False, True, False, False, False, True]",19,"['Drowsy Driving', 'Drunk Driving', 'Reckless or Careless Driving', 'Vehicle Failures', 'Road Hazards', 'Head-On Collisions', 'Rear-End Accidents', 'T-Bone Crashes', 'Sideswipe Accidents', 'Case One: Low-Ball Insurance Settlement', 'Case Two: Expense Exceeded Policy Limits', 'How do I recover compensation for a single-car crash?', 'What is the statute of limitations for car accidents in New York?', 'I’m partially responsible for my car accident. Am I still entitled to compensation?', 'Is it worth getting an accident lawyer?', 'How are pain and suffering calculated for car accident victims?', 'When should you get a lawyer for a car accident in New York?', 'OUR LOCATIONS', 'Start live chat with our team?']","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, True, False, False]",20,"['Greenstein Milbauer', '', '', '', '', 'car accident in New York City', 'NYC automobile accident', '', 'Facebook', '', 'Linkedin Logo', '', 'Twitter Logo', '', 'Youtube', '', 'GMB', '', 'Greenstein Milbauer', 'Apricotlaw']","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer New York,10,https://www.samndan.com/nyc-car-accident-lawyer/,24,26,5,27811,870,3210,0,0,59,45,164,100.0,True,"NYC Car Accident Lawyer | Meirowitz & Wasserberg, LLP",True,1,['NYC Car Accident Lawyer'],[True],8,"['Why Choose Sam ‘N’ Dan as your NYC Car Accident Lawyer?', 'What To Do After A Car Accident In New York City', 'Car Accident Statute Of Limitations In New York', 'New York Car Insurance Requirements', 'Compensation For NYC Car Accident Victims', 'NYC Auto Accident Statistics', 'Common Causes Of Car Accidents In New York', 'Contact A New York City Car Accident Lawyer If You’ve Been Injured\u200b']","[True, True, True, False, True, False, True, True]",7,"['Quick Links', 'Notify The Police', 'What are traffic calming measures?', 'Notable Results', 'Practice Areas', 'Our Office', 'Related Pages']","[False, False, False, False, False, False, False]",30,"['Meirowitz & Wasserberg LLP', 'Meirowitz & Wasserberg LLP', 'Meirowitz & Wasserberg LLP', 'Meirowitz & Wasserberg LLP', 'blue phone outline icon', 'blue phone outline icon', 'Photo of NYC roads before a crash', 'Photo of NYC roads before a crash', 'Photo of traffic at night in NYC', 'Photo of traffic at night in NYC', 'licensed drivers in new york counties', 'licensed drivers in new york counties', 'Meirowitz and Wasserberg photo and text: NYC Car Accident Lawyers', 'Meirowitz and Wasserberg photo and text: NYC Car Accident Lawyers', 'left quotation marks', 'left quotation marks', 'page template 5 stars', 'page template 5 stars', 'super lawyer Daniel Wsserberg', 'super lawyer Daniel Wsserberg', 'national trial lawyers badge', 'national trial lawyers badge', 'American association of justice member', 'American association of justice member', 'Meirowitz Wasserberg bbb certification', 'Meirowitz Wasserberg bbb certification', 'Super lawyer Samuel Meirowitz', 'Super lawyer Samuel Meirowitz', ""Sam N' Dan logo"", ""Sam N' Dan logo""]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
