keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Medical Malpractice Lawyer New York,1,https://www.gairgair.com/medical-malpractice.html,41,35,5,617551,14328,5060,0,0,96,57,58,51.0,True,New York Medical Malpractice Lawyer Near You | NYC Medical Malpractice Attorneys,True,1,['Are You Looking for a New York Medical Malpractice Lawyer?'],[True],0,[],[],0,[],[],13,"['Logo of Gair, Gair, Conason, Rubinowitz, Bloom, Hershenhorn, Steigman & Mackauf', 'Richard Steigman - Best Lawyers - 2022', 'Best Law Firms - Medical Malpractice 2020', 'Best Law Firms - Medical Malpractice - 2021', 'Best Law Firms - Medical Malpractice - 2022', 'Best Law Firms - Medical Malpractice 2023', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'YouTube Icon', 'Yelp Icon']","[False, False, True, True, True, True, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer New York,2,https://www.rosenbaumnylaw.com/new-york-medical-malpractice-lawyer/,27,33,7,23563,2818,1871,110,67,32,25,34,6.0,True,"New York Medical Malpractice Lawyer | Rosenbaum & Rosenbaum, P.C.",True,1,['New York City Medical Malpractice Lawyer'],[True],7,"['Why it’s Important to Hire an Experienced NYC Medical Malpractice Lawyer', 'Our Trusted Medical Malpractice Attorneys Have a Proven Track Record of Getting Fair Compensation for Injured Clients', 'Legal Standard for Establishing Medical Malpractice', 'Who Can be Held Accountable for Medical Negligence?', 'Statute of Limitations on Filing a Medical Malpractice Claim', 'Damages Available for Medical Negligence Victims', 'Call an Experienced New York City Medical Malpractice Lawyer Today']","[True, True, True, False, True, False, True]",5,"['Examples of Circumstances That Could Amount to Medical Malpractice', 'Related Links', 'Practice Areas', 'Our Location', 'Search Our Site']","[True, False, False, False, False]",14,"['Rosenbaum & Rosenbaum, P.C.', 'Rosenbaum & Rosenbaum, P.C.', 'Banner New York City Lawyers', 'New York City Medical Malpractice Lawyer', 'New York City Medical Malpractice Lawyer', 'Why it’s Important to Hire an Experienced NYC Medical Malpractice Lawyer', 'Why it’s Important to Hire an Experienced NYC Medical Malpractice Lawyer', 'Statute of Limitations on Filing a Medical Malpractice Claim', 'Statute of Limitations on Filing a Medical Malpractice Claim', 'Damages Available for Medical Negligence Victims', 'Damages Available for Medical Negligence Victims', 'Rosenbaum & Rosenbaum New York, NY Office Location', 'Rosenbaum & Rosenbaum New York, NY Office Location', '']","[False, False, False, True, True, True, True, True, True, False, False, False, False, False]",True,True
Medical Malpractice Lawyer New York,3,https://www.fuchsberg.com/medical-malpractice,33,28,5,12524,1522,3826,0,0,64,31,31,51.0,True,Medical Malpractice Lawyers NYC | Free Consultation,True,1,['New York City’s Top Medical Malpractice Lawyers'],[True],8,"['Six common types of medical malpractice claims', 'Requirements for medical malpractice lawsuits in New York', 'Deadlines & exceptions for filing a New York personal injury claim', 'Recovering compensation for medical negligence', 'New York Medical Malpractice Damage Cap', 'Advising & Representing Families And Children Injured By Medical Negligence', 'Our top New York City medical malpractice lawyers are here to help', 'Get a free case evaluation from our medical malpractice lawyers in NYC']","[True, True, False, False, True, False, True, True]",6,"['Birth Injuries', 'Delayed Diagnosis', 'Failure To Treat', 'Medical Product Liability', 'Misdiagnosis', 'Surgical Errors']","[False, False, False, False, False, False]",27,"['big city', '', 'Jacob D. Fuchsberg Law Firm logo', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Jacob D. Fuchsberg Law Firm logo', 'twitter icon', 'facebook icon', 'instagram icon', 'linkedin icon', 'youtube icon']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer New York,4,https://mirmanlawyers.com/nyc-medical-malpractice-lawyer/,33,35,3,23440,3458,1749,81,102,26,25,15,5.0,True,"New York Medical Malpractice Lawyer - Mirman, Markovits & Landau, P.C.",True,1,['New York Medical Malpractice Lawyer'],[True],9,"['How Will a Medical Malpractice Lawyer Help Me?', 'Proven Results Helping Victims of Medical Malpractice in NYC', 'What is Medical Malpractice?', 'We Handle All NYC Medical Negligence Lawsuits', 'No Win, No Fee. That’s Our Promise to You.', 'How Common Are Medical Errors in New York?', 'Who’s Liable When I’m a Victim of Medical Malpractice in New York?', 'How Long Do I Have to File a Medical Malpractice Lawsuit in New York City?', 'Call Our NYC Medical Negligence Lawyers For Help']","[True, True, True, False, False, False, True, True, False]",2,"['Related Links', 'Practice Areas']","[False, False]",8,"['NYC Personal Injury Lawyers - Mirman, Markovits & Landau, P.C.', 'NO ALT', 'New York Medical malpractice Lawyer', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, True, False, False, False, False, False]",True,True
Medical Malpractice Lawyer New York,5,https://www.wrshlaw.com/malpractice/,31,33,1,54085,3462,1685,124,223,35,20,7,35.0,True,Top NYC Medical Malpractice Lawyers,True,1,['Top Rated New York Medical Malpractice Attorneys'],[True],11,"['Legal Representation for Victims of Medical Malpractice & Negligence', 'Holding Medical Professionals Liable in NY', 'Time Limits for New York Medical Malpractice Cases', 'Winning a Medical Malpractice Claim', 'Compensation for Damages in a New York Medical Malpractice Case', 'Common Examples of Medical Malpractice', 'Our Medical Malpractice Case Results', 'Contacting an Experienced NY Medical Malpractice Attorney', 'Additional Information', 'Related Medical Malpractice Pages', 'COVID-19 Screening Forms']","[True, False, True, True, True, True, True, True, False, True, False]",1,['See All Case Results'],[False],5,"['skip to content', '', 'SLS Consulting', 'SLS Consulting', '']","[False, False, False, False, False]",False,False
Medical Malpractice Lawyer New York,6,https://www.rubensteinandrynecki.com/medical-malpractice/,33,27,2,13578,826,2042,63,78,39,20,12,1.0,True,Medical Malpractice Lawyer in NYC | Rubenstein & Rynecki,True,1,['Medical Malpractice Lawyer in NYC'],[True],2,"['Medical Malpractice & Negligence in New York, Brooklyn, & the Surrounding Areas', 'How to File a Complaint Against a Doctor in New York']","[True, False]",10,"['Our Approach to New York Medical Malpractice', 'Between Doctor & Patient', 'Patient Consent', 'NY Medical Malpractice Case Results', 'Q:What Is the Statute of Limitations on Medical Malpractice Claims?', 'Q:How Is Pain & Suffering Calculated in NY Medical Malpractice Cases?', 'Q:What If a Doctor Does Not Warn About the Risks of a Treatment or Procedure?', 'Are Medical Malpractice Damages Capped in New York?', 'Choosing The Right Medical Malpractice Lawyer in NYC', 'Contact Rubenstein & Rynecki to Discuss Your Case for Free']","[True, False, False, True, True, True, False, True, True, False]",14,"['Rubenstein & Rynecki', 'Rubenstein & Rynecki', '', '', '', '', '', '', '', '', '', 'Rubenstein & Rynecki', 'Rubenstein & Rynecki', 'Internet Marketing Experts']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer New York,7,https://www.triallaw1.com/practice/medical-malpractice/,32,35,1,20104,7806,2518,9,165,40,22,27,41.0,True,New York City Medical Malpractice Attorney,True,1,['New York City Medical Malpractice Lawyer'],[True],14,"['We Help With Medical Negligence in New York', 'What Qualifies as Medical Malpractice in New York?', 'Gross Negligence', 'Medical Malpractice Cases We Handle', 'New York Surgical Error Lawyers', 'Common Surgical Errors', 'Anesthesia Errors', 'Medication Errors', 'Malpractice Suits Against Doctors for Misdiagnosis', 'Malpractice Suits Due to Medical Error', 'Punitive Damages in Medical Malpractice Lawsuits', 'New York Medical Malpractice Statutes', 'The Best Medical Malpractice Lawyers in New York', 'Contact Our Legal Team Today']","[False, True, False, True, False, False, False, False, False, False, True, True, True, False]",3,"['(212) 732-9000', 'Free Case Evaluation', '']","[False, False, False]",8,"['NO ALT', 'Clickcease', 'ClickCease', 'Sullivan Papain Block McGrath Coffinas & Cannavo, P.C.', 'Sullivan Papain Block McGrath Coffinas & Cannavo, P.C.', 'Sullivan Papain Block McGrath Coffinas & Cannavo, P.C.', 'Anesthesia Errors', 'medication errors']","[False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer New York,8,https://kdlm.com/named-2021-best-medical-malpractice-lawyers-in-new-york-city-by-expertise-com/,26,25,5,34621,1548,655,96,23,14,18,24,64.0,True,Named 2021 Best Medical Malpractice Lawyers in New York City by Expertise.com,True,2,"['Named 2021 Best Medical Malpractice Lawyers in New York City by Expertise.com', 'Post navigation']","[True, False]",2,"['', '']","[False, False]",5,"['Connect', 'Categories', 'Archives', 'Contact & Connect', 'Disclaimer']","[False, False, False, False, False]",5,"['', 'Named 2021 Best Medical Malpractice Lawyers in New York City by Expertise.com', 'ny nyc medical malpractice attorney 2021', 'kdlm_icon_sidebar', 'kdlm_main_footer_logo']","[False, True, True, False, False]",True,False
Medical Malpractice Lawyer New York,9,https://www.forthepeople.com/new-york/medical-malpractice-lawyers/,57,37,6,951794,105295,2393,0,116,21,92,88,292.0,False,New York Medical Malpractice Attorneys | Morgan & Morgan Law Firm,True,1,['New York Medical Malpractice Attorneys'],[True],12,"['New York Medical Malpractice', 'Breadcrumb', 'New York Medical Malpractice', 'Medical Malpractice Laws', 'Medical Malpractice Cases We Handle', 'How an Attorney Can Help', 'Contact Morgan & Morgan New York, PLLC Today', 'Related Pages', 'Serving The Following Neighborhoods & More', 'Quick Links', 'Trending News', 'Most Asked Questions']","[True, False, True, True, True, False, False, False, False, False, False, False]",0,[],[],28,"['NO ALT', 'Personal Injury Lawyers - Morgan & Morgan', 'Search', 'Phone', 'click to call icon', 'click to call icon', 'click to call icon', 'click to call icon', 'click to call icon', 'Search', 'click here to call 24/7 icon', 'New York Medical Malpractice Attorneys - nurse with syringe', 'Morgan & Morgan logo', 'Businesstrialgroup.com logo', 'Whistleblowerattorneys.com logo', 'Injury.com logo', 'Abogados.com logo', 'ClassAction.com logo', 'Twitter icon', 'Twitter icon', 'Facebook icon', 'Instagram icon', 'YouTube icon', 'TikTok icon', 'Sitejabber customer rating badge', 'Morgan & Morgan BBB Business Review', 'Download on the App Store', 'Get it on Google Play']","[False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Medical Malpractice Lawyer New York,10,https://www.blockotoole.com/medical-malpractice-lawsuits/new-york-medical-malpractice-statute-of-limitations/,31,30,4,127282,7419,783,106,138,34,23,9,3.0,True,Medical Malpractice Statute of Limitations NY,True,1,['New York Medical Malpractice Statute of Limitations'],[True],2,"['You Have 30 Months To File Your Malpractice Claim', 'Act Now To Protect Your Rights | 212-736-5300']","[False, False]",4,"['New York Medical Negligence Statute of Limitations Examples', 'The Discovery Rule', 'New York Medical Malpractice Lawyers', 'Related Articles']","[False, False, True, False]",34,"['', 'Brand 2', 'Brand 2', 'Icon Email', 'Icon Email', 'Icon Phone', 'Icon Phone', 'Brand 2', 'Brand 2', 'Icon Email', 'Icon Email', 'Icon Phone', 'Icon Phone', 'Badge BL', 'Badge BLF', 'Badge NTL', 'Badge SL', 'Badge MDAF', 'Badge MMDAF', 'Badge IL', 'Badge MH', 'Badge NYM', 'Badge NAACP', 'Badge FPMF', 'Badge SJU', 'Badge SJCRH', 'Expertise.com - Best Car Accident Lawyers in New York City - 2022', 'Expertise.com - Best Workers Compensation Attorneys in New York City - 2022', '', '', 'Brand Small', 'Brand Small', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
