keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Personal Injury Lawyer New York,1,https://www.rosenbaumnylaw.com/,27,41,7,23563,2818,657,117,67,7,7,7,67.0,True,Personal Injury Lawyer NYC | Rosenbaum & Rosenbaum,True,1,['New York City Personal Injury Lawyers'],[True],9,"['Personal Injury', 'Wrongful Death', 'Motor Vehicle Accidents', 'Medical Malpractice', 'Workplace Injuries', 'Product Liability', 'And More', 'With Over 40 Years of Experience, We Can Make A Difference', 'New York City Personal Injury Law Blog']","[True, False, False, False, False, False, False, False, True]",0,[],[],24,"['Rosenbaum & Rosenbaum, P.C.', 'Rosenbaum & Rosenbaum, P.C.', 'New York Personal Injury Law Firm', 'Personal Injury Lawyers In New York City', 'Personal Injury Lawyers In New York City', 'Americas Top 100 Attorneys', 'Americas Top 100 Attorneys', 'BBB Rating A+', 'BBB Rating A+', 'Multi Million Dollar Advocates Forum', 'Multi Million Dollar Advocates Forum', 'American Association for Justice', 'American Association for Justice', 'NYSTLA | New York State Trial Lawyers Association', 'NYSTLA | New York State Trial Lawyers Association', 'The National Trial Lawyers Top 100 Trial Lawyers', 'The National Trial Lawyers Top 100 Trial Lawyers', 'AVVO Rating 10.0 | Top Attorney Personal Injury', 'AVVO Rating 10.0 | Top Attorney Personal Injury', 'Top Attorney Medical Malpractice', 'Top Attorney Medical Malpractice', 'Rated By Super Lawyers', 'Rated By Super Lawyers', '']","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]",True,False
Personal Injury Lawyer New York,2,https://www.gairgair.com/hiring-a-new-york-personal-injury-lawyer.html,41,34,5,617551,14328,4475,0,0,62,43,64,48.0,True,Hiring a New York Personal Injury Lawyer :: Personal Injury Attorney NYC,True,1,['Hiring a New York Personal Injury Lawyer'],[True],0,[],[],0,[],[],17,"['Logo of Gair, Gair, Conason, Rubinowitz, Bloom, Hershenhorn, Steigman & Mackauf', 'NYC Personal Injury Lawyers', 'Verdict 2018', 'Top Verdicts 2017 New York Magazine', 'Top Verdicts 2017 New York Magazine', 'Best Law Firms 2023 - Personal Injury 2023', 'Lawyer of the Year 2020', 'Lawyer of the Year 2017', 'New York Law Journal 2019', '#1 NY Jury Verdict of 2018', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'YouTube Icon', 'Yelp Icon']","[False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer New York,3,https://www.morellilaw.com/new-york-personal-injury-lawyer/,33,33,3,4723,2339,1999,136,115,44,26,47,3.0,True,Personal Injury Lawyers in New York | Morelli Law Firm,True,1,['New York Personal Injury Lawyer'],[True],11,"['About Personal Injury Cases', 'Cases a New York Personal Injury Lawyer Can Take On', 'Damages a New York Personal Injury Lawyer Can Pursue', 'We’ll Negotiate With the At-Fault Party’s Insurance Company', 'Damages You Can Receive by Filing a Wrongful Death Lawsuit in New York', 'What to Expect from Working With a Lawyer in New York', 'The Process of Filing a Personal Injury Claim in New York', 'Feedback from Our Personal Injury Clients', 'Schedule a Case Review With a Personal Injury Lawyer in New York', 'HOW CAN WE HELP?', 'Resources']","[True, True, True, False, False, False, True, True, True, False, False]",15,"['New York Law’s Definition of a Severe Injury', 'Medical Care Costs', 'Physical and Emotional Pain', 'Property Damage', 'Lost Wages', 'Decreased Ability to Earn Money', 'Loss of Enjoyment of Life', 'The Cost of Hiring an Attorney', 'New York’s Personal Injury Statute of Limitations', 'Additional Locations', 'Request A Case Evaluation', 'Navigation', 'Practice Areas', 'Latest FAQ', 'Latest News']","[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",6,"['Morelli Law Logo', 'Morelli Law Logo', 'carasoulImage', 'carasoulImage', 'carasoulImage', 'Morelli Law Firm']","[False, False, False, False, False, False]",True,False
Personal Injury Lawyer New York,4,https://carrionesq.com/nyc-personal-injury-lawyer/,24,29,1,4219,1033,3015,182,2293,30,32,55,54.0,True,NYC Personal Injury Lawyer - Carrion Law Firm,True,1,['NYC Personal Injury Lawyer'],[True],8,"['What to Do After an Injury in NYC', 'Elements of an NYC Personal Injury Lawsuit', 'Common Causes of Personal Injuries in NYC', 'Holding Negligent Individuals and Companies Responsible for Accidental Injuries in NYC', 'Types of Evidence Used to Prove Fault in an NYC Personal Injury Lawsuit', 'Call Our Personal Injury Lawyers in New York City for a Free Case Consultation', 'Hundreds of Five Star Client Reviews', 'Priorizando a Nuestros Clientes Cuando los Resultados Importan']","[False, True, False, False, True, True, False, False]",35,"['Seek Medical Care Immediately', 'Call a Lawyer', 'Do Not Talk About the Case', 'Car Accidents', 'Construction Site Accidents', 'Slip and Fall Accidents', 'Defective Product Accidents', 'Dog Bites', 'Witness Testimony', 'Accident Reports', 'Physical Evidence from the Scene', 'Photos from the Scene', 'Expert Witness Testimony', 'Personal Recollections', '""...this sounds too good to be true but seriously they really did help me...""', '""My experience with The Carrion Firm was nothing short of phenomenal. ""', '""They got me the best deal and I couldn’t be happier...""', '""They are extremely friendly and patient and always make sure you are getting the best care!""', '""…the compensation he recovered for me far exceeded my expectations.""', '""All of the staff in the office were all super professional and helpful. ""', '""…Dennis Carrion, and his team are very helpful, smart, reliable, trustworthy and confident. I am very happy that I chose Carrion…""', '""He is the only attorney I know that really had my interests at heart.""', '""Helped me through my process and made me feel like I was well taken care of the whole way through.""', '""Thanks to Dennis Carrion I got more than I expected...""', '""If anyone has a need for an honest, dependable and professional individuals and atmosphere, these are the ones to call on.""', '""He fought for me!""', '""Hiring Dennis Carrion was the best decision ever.""', '""Contratar a Dennis Carrión fue la mejor decisión.""', '""¡Él luchó por mí!""', '""Gracias a Dennis Carrión obtuve más de lo que esperaba…""', '""…tenía un abogado terrible pero cuando Dennis tomó las riendas, literalmente cambió el juego.""', '""…la compensación que recuperó para mí superó mis expectativas.""', '""…una vez se involucró, las cosas realmente cambiaron de rumbo.""', '""El tipo de abogado que quieres de tu lado.""', '""No podría recomendarlo más.""']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",135,"['Best Personal Injury Lawyer New York City', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'Star', 'Star', 'Star', 'Star', 'Star', 'Google Review', 'New York City Personal Injury Lawyer', 'Abogado de lesiones personales de la ciudad de Nueva York', 'Long Island Personal Injury Lawyer', 'Best New York Personal Injury Lawyer', 'Best New York City Car Accident Lawyer', 'Abogado de lesiones personales en Long Island', 'Mejor abogado de lesiones personales de New York', 'El mejor abogado de accidentes automovilísticos de New York']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, False, False, False, False]",True,True
Personal Injury Lawyer New York,5,https://www.unionlawfirm.com/,31,44,1,919461,3581,4653,260,67,58,38,49,752.0,False,New York City Personal Injury Lawyer | Hach & Rose Law Firm,True,1,['New York City Personal Injury Lawyer'],[True],12,"['The Story of Personal Injury Attorneys Hach & Rose', 'Personal Injury Cases and Related Practice Areas', 'Personal Injury Attorney Testimonials', 'Expect a Personal Commitment from Hach & Rose', 'Adult Survivors Act of 2022', 'Our Personal Injury Lawyers', 'A New York law firm, working on behalf of New Yorkers', 'Helping Victims Get Justice In New York', 'Common Personal Injury Claims in New York, NY', 'Frequently Asked Questions for New York Personal Injury Lawyers', 'Questions?', 'Landmark Case Results']","[True, True, True, False, False, True, False, False, True, True, False, False]",5,"['Car Accident Claims', 'Construction Accident Claims', 'Medical Malpractice Claim', 'Wrongful Death Claims', 'Fall Accidents']","[False, False, False, False, False]",123,"['tag', 'tag', 'logo', 'logo', 'Halina and Mike', 'New York Personal Injury Lawyers Image', 'New York Personal Injury Lawyers Image', 'Story Team Image', 'Best Lawfirms 2021 badge', '2020-best-law-firm', 'av2019-rating-full', 'attorney-badge-top-20-personal-injury-settlements-united-states-2021', 'AV-Michael-Rose', 'storyaward-slider-img', 'best-lawyers-2019', 'NADC', 'NADC_OnePercent_2022', '10-Best-Attorney', 'New Yorks Leading Personal Injury Lawyers', 'Hall of Fame Motor Vehicle', 'Top 100 Lead Counsel', 'Million Dollar Verdicts', 'Motor Vehicle Trial Lawyer', 'America Association of Attonery Advocates', 'The National Trial Lawyer Top 100', 'Best Personal Injury Lawyer in New York', 'Top 10 Attorney and Practice Magazines', 'RUE Ratings', 'Super Lawyer', 'The National Under 40', 'The National Trial Lawyers', 'Personal-Injury-Firm-Trans', '2022 Expertise', '2022__PERSONAL_INJURY__Attorney', 'Advocated For Rail Safety 2022 Logo', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'Home', 'New York Personal Injury Lawyers Image', 'New York Personal Injury Lawyers Image', 'New York Personal Injury Lawyers Image', 'Michael A. Rose', 'Gregory Hach', 'Frank R. Schirripa', 'David R. Cheverie', 'Brandon Cotter', 'Christopher Cellante', 'Evan Bane', 'George W. Ilchert', 'Halina Radchenko', 'Hillary Nappi', 'John A. Blyth', 'Mark Glen Sokoloff', 'William J. Ryan', 'Rourk A. Mulderig', 'Michael A. Rose', 'Gregory Hach', 'Frank R. Schirripa', 'David R. Cheverie', 'Brandon Cotter', 'Christopher Cellante', 'Evan Bane', 'George W. Ilchert', 'Halina Radchenko', 'Hillary Nappi', 'John A. Blyth', 'Mark Glen Sokoloff', 'William J. Ryan', 'Rourk A. Mulderig', 'Car Accident Claims Image', 'Construction Accident Claims Image', 'Medical Malpractice Claim Image', 'Wrongful Death Claims Image', 'Fall Accidents Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Landmark Case Result Image', 'Footer Logo', 'Conversion Pixel', 'Homepage Pixel']","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer New York,6,https://www.msllegal.com/,32,41,1,73055,2068,2949,339,183,22,29,26,12.0,True,"Personal Injury Lawyer NYC | The Law Offices of Michael S. Lamonsoff, PLLC, NY",True,1,"[""New York City Personal Injury Lawyer  You're in the hands of a fighter""]",[True],15,"['The relentless. The formidable. ""The Bull"".', 'More Than Half A Billion In Verdicts & Settlements For Personal Injury Cases & More', 'The Law Offices of Michael S. Lamonsoff', 'In the Media', 'Podcast', 'TV', 'TV', 'When results matter, we take charge.', 'Know the system. Know your rights.', 'Personal Injury Attorneys HelpingAccident Victims In New York.', 'Practice Areas', 'Fighting for the Construction Workers', 'Fighting for Workers Since 1992', 'Get Informed: New York City Personal Injury Law News & Articles', 'Schedule A Free Consultation']","[False, True, False, False, False, False, False, False, False, True, False, False, False, True, False]",25,"['Power 105.1', 'WPIX', ""Today's Verdict"", 'Founder & President', 'Top Law Offices In New York', 'Construction Accidents', 'Building Accidents', 'Motor Vehicle Accidents', 'Personal Injury', 'Sexual Abuse', 'Workers Compensation', 'Wrongful Death', 'Medical Malpractice', 'Construction Accidents', 'Building Accidents', 'Motor Vehicle Accidents', 'Personal Injury', 'Sexual Abuse', 'Workers Compensation', 'Wrongful Death', 'Medical Malpractice', 'Top Law Offices In New York', 'What To Do If You Slip And Fall On A Sidewalk In New York', 'How To File A Claim If You Were Injured At Work', 'Biggest Safety Concerns On A New York Construction Site']","[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False]",38,"['', 'The Law Offices of Michael S. Lamonsoff, PLLC | New York Personal Injury Law Firm', 'The Law Offices of Michael S. Lamonsoff, PLLC | New York Personal Injury Law Firm', 'MSL Legal Settlements', 'The New Yorker', 'MSNBC', 'CNN', 'Yahoo News', 'My Fox New York', 'W NYC', 'Reuters TV', 'New York Magazine', 'MSNBC New York 4', 'Daily News', 'Michael S. Lamonsoff In The Media', 'Michael S. Lamonsoff In The Media', 'Michael S. Lamonsoff In The Media', 'Google Logo', 'Avvo Logo', 'Super Laywers', 'Top 10 Best of the Best Attorney Award', 'Expertise', 'Million Dollars Advocate Forum', 'New York Magazine', 'Avvo Rating 10.0 - Top Attorney Personal Injury', 'New York State Trial Lawyers', 'American Association for Justice', 'New York City Skyline - Know Your Rights', 'The Law Offices of Michael S. Lamonsoff, PLLC | New York Personal Injury Law Firm', 'New York City Skyline - Know Your Rights', 'The Law Offices of Michael S. Lamonsoff, PLLC | New York Personal Injury Law Firm', 'Cutting Metal - Construction Accidents', 'The Law Offices of Michael S. Lamonsoff, PLLC | New York Personal Injury Law Firm', 'Cutting Metal - Construction Accidents', 'Woman falling down on icy sidewalk', 'Man working at a computer with his wrist in a brace', 'Construction site, with workers, at sunset', 'The Law Offices of Michael S. Lamonsoff, PLLC | New York Personal Injury Law Firm']","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, True, False, True, False, False, False, False, True]",False,False
Personal Injury Lawyer New York,7,https://www.forthepeople.com/new-york/,57,46,6,951794,105295,4773,0,109,76,94,146,245.0,False,"Personal Injury Lawyers in New York City, NY | Morgan & Morgan Law Firm",True,2,"['Personal Injury Lawyers in New York City, NY', 'How Can We Help You Today?']","[True, False]",11,"['The New York Office', 'The Fee is FreeTM Only Pay If We Win.', 'Related Pages', 'Serving The Following Neighborhoods & More', 'See Our Nationwide Results', 'Find Other Ways We Can Help', 'FAQ', 'Free Case Evaluation', 'Quick Links', 'Trending News', 'Most Asked Questions']","[False, False, False, False, False, False, False, False, False, False, False]",17,"['Submit a Free Case Evaluation', 'Get a Call From Us', 'Let Us Get to Work', 'Hear From Our Clients', 'We’ve won over $15 Billion for our clients in cases of all types. Let us work hard for you.', 'Our attorneys specialize in over 200\xa0practice areas, including:', 'New York Lawyers', 'Why Choose a Morgan and Morgan Personal Injury Lawyer?', 'Can I Afford a Personal Injury Lawyer?', 'What NYC Neighborhoods Does Morgan and Morgan Serve?', 'How Can a Morgan and Morgan Personal Injury Lawyer Help?', 'What Kinds of Cases Does a Personal Injury Lawyer Handle?', 'When Should You Contact a Personal Injury Lawyer?', 'Can You Sue for Personal Injury?', 'What Can a Personal Injury Lawyer Do for You?', 'Contact a Personal Injury Lawyer at Morgan and Morgan’s New York City Office', '¿Usted tiene preguntas acerca de su caso en español?']","[False, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, False]",75,"['NO ALT', 'Personal Injury Lawyers - Morgan & Morgan', 'Search', 'Phone', 'click to call icon', 'click to call icon', 'click to call icon', 'click to call icon', 'click to call icon', 'Search', 'Free case evaluation icon', 'Incoming icon', 'Woman with computer icon', 'Video Thumbnail', '5 stars', 'Google Logo', '5 stars', 'Video Thumbnail', '5 stars', 'Video Thumbnail', '5 stars', 'Video Thumbnail', '5 stars', 'Car icon', 'Medical Malpractice icon', 'Clock and money icon', 'Tobacco icon', 'Slip & Fall icon', 'Premises Liability icon', 'Social Security icon', 'Civil Rights icon', 'Car icon', 'Hand icon', 'Medical malpractice icon', 'Business icon', 'Pill icon', 'Fire icon', 'Civil Rights icon', 'Social Security icon', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'plus', 'minus', 'Morgan & Morgan logo', 'Businesstrialgroup.com logo', 'Whistleblowerattorneys.com logo', 'Injury.com logo', 'Abogados.com logo', 'ClassAction.com logo', 'Twitter icon', 'Twitter icon', 'Facebook icon', 'Instagram icon', 'YouTube icon', 'TikTok icon', 'Sitejabber customer rating badge', 'Morgan & Morgan BBB Business Review', 'Download on the App Store', 'Get it on Google Play']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer New York,8,https://jknylaw.com/,32,38,4,5966,1410,2685,17,261,42,28,38,8.0,True,NYC Personal Injury Lawyer | Top Manhattan Accident Attorneys | Law Offices of Jay S. Knispel Personal Injury Lawyers,True,1,['NYC Personal Injury Lawyer'],[True],13,"['Why Should I Choose an NYC Personal Injury Attorney at the Law Offices of Jay S. Knispel Personal Injury Lawyers?', 'How Do I Know if I Have a Personal Injury Case?', 'What Damages are Subject to Compensation in a NY Personal Injury Case?', 'What is the Personal Injury Claims Process?', 'What Is a New York Personal Injury Case Worth?', 'How Much Does it Cost to Hire a Personal Injury Lawyer in Manhattan?', 'How Long Do I Have to File a New York Personal Injury Lawsuit?', 'What is Negligence?', 'How Do I Prove Negligence?', 'Will My Personal Injury Case Go to Trial?', 'What Neighborhoods in Manhattan does the Law Offices of Jay S. Knispel Serve?', 'Personal Injury Cases in Manhattan', 'Call an NYC Personal Injury Lawyer at Law Offices of Jay S. Knispel Personal Injury Lawyers']","[True, True, True, True, True, True, True, False, False, True, False, True, True]",2,"['New York Injury Attorneys', 'Brooklyn Injury Attorneys']","[False, False]",22,"['Jay S. Knispel Personal Injury Lawyer - NYC', 'NO ALT', 'New York Injury Lawyer Jay S. Knispel', 'New York Injury Lawyer Jay S. Knispel', 'New York Injury Lawyer Jay S. Knispel', 'Multi. Million Dollar Advocates Forum', 'National Trial Lawyers Logo', 'Million Dollar Advocates Forum Logo', 'New York Top Veredicts Settlements logo', 'AV Preemium Martindale Hubbel Lawyer Rating', 'NO ALT', 'Manhattan personal injury law firm - Jay S. Knispel', 'New York personal injury attorneys', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Personal injury law firm - NY', 'New York attorney Jay S. Knispel', 'New York City Accident & Injury Lawyers Near You', 'New York City Accident & Injury Lawyers Near You', 'New York City Accident & Injury Lawyers Near You']","[True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, False, False, False, False]",True,False
Personal Injury Lawyer New York,9,https://www.friedmansimon.com/new-york-personal-injury-lawyer/,27,31,1,2984,1465,2672,72,134,54,17,48,11.0,True,New York Personal Injury Lawyer | Free Consultation,True,1,['New York Personal Injury Lawyer'],[True],7,"['We Will Review the Case to Determine Your Compensable Damages', 'Work With an Experienced Legal Team', 'Pay Attention to New York’s Statute of Limitations and How It Affects Your Case', 'Our Law Firm doesn’t Charge Attorney’s Fees Unless We Win', 'Call Friedman & Simon, L.L.P., to Work with a Personal Injury Lawyer in NYC', 'New York Personal Injury Blog Posts:', 'Get A Free  Case Review']","[False, False, False, False, True, True, False]",9,"['Office Information', 'In This Article', 'Our Personal Injury Practice Areas', 'Damages You Could Recover', 'Handling a Wrongful Death Claim', 'We Will Identify the At-Fault Party', 'Our Case Results Show How Hard We Work for Our Clients', 'What Happens During Your Free Consultation', 'Additional Locations']","[False, False, True, False, False, False, False, False, False]",6,"['Friedman & Simon', 'New York Personal Injury Lawyer', 'When Can You Get Punitive Damages in New York?', 'Do You Qualify for a Camp Lejeune Water Contamination Lawsuit?', 'faq thumb', 'Friedman & Simon, L.L.P. Logo']","[False, True, False, False, False, False]",True,False
Personal Injury Lawyer New York,10,https://mlawfirm.com/,23,34,2,4797,1009,1360,60,156,23,11,26,10.0,True,"Personal Injury Lawyer in New York - Munawar Law Group, PLLC",True,2,"['MLawFirm', 'New York City Personal Injury Lawyer']","[False, True]",29,"['Personal Injury cases', 'GET A FREE CONSULTATION', 'Types of Cases Personal Injury Lawyers Deal With', 'Accidents and Related Injuries?', 'What Should You Do Immediately After Accident?', 'Rights of Injured Person', 'Physical and Emotional Distress after Personal Injury Accident', 'Playlist', 'An Army Of Legal Advocates Fighting Aggressively And Passionately For You.', 'What makes us different?', 'Total Commitment', 'Strong & Lasting Relationship', 'Practice area We Provide', 'Vehicle Accidents', 'Construction Accidents', 'Work Related Injuries', 'Product Liability', 'Wrongful Death', 'Premises Liability', 'No Fault Collections', 'Nursing Home Negligence', 'The Lawyer You Choose Makes A Difference', 'New York’s Personal Injury Statute of Limitations', 'How Suffering is compensated in Personal Injury Claim in New York?', 'Right Legal Team', 'Get A Free Consultation!', 'New York', 'Long Island', 'Links']","[True, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]",19,"['We handle all types of', 'in New York State', 'No Win No Fee!', 'Personal Injury Lawyer in New York', 'Serving the New York City Metro Area with Offices in Midtown & Long Island', 'Medical Bills', 'Property Damage', 'Lost Wages', 'Pain & Suffering', 'Law Practices & Services', '212-400-4000', 'PRACTICE AREAS', 'To Wrap Things Up:', 'Our Teams', 'Adnan Munawar ESQ', 'Amisha Dukram ESQ', 'Ashley Andrews Santillo ESQ', 'Ken Yilmaz ESQ', 'No Recovery. No Fee!']","[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",30,"['Personal Injury Lawyers In New York | MLawFirm', 'Personal Injury Lawyers In New York | MLawFirm', 'Workers Compensation Lawyer', '2', '4', '5', '6', '7', '8', 'aba1', 'MMDAF-white-bg', 'Untitled-2', 'superlawyers', 'Adnan-Munawar', 'NO ALT', 'NO ALT', 'NO ALT', '', '', '', '', '', '', '', '', 'Adnan Munawar ESQ', 'Amisha Dukram ESQ', 'Ashley Andrews Santillo ESQ', 'Ken Yilmaz ESQ', 'MLawFirm']","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
