keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Wrongful Death Lawyer New York,1,https://www.rosenbaumnylaw.com/new-york-wrongful-death-lawyer/,27,30,7,23563,2818,1716,110,67,34,36,30,6.0,True,"New York Wrongful Death Lawyer| Rosenbaum & Rosenbaum, PC",True,1,['New York City Wrongful Death Lawyer'],[True],7,"['How Our NYC Law Firm Can Assist You with Your Wrongful Death Suit', 'What is Wrongful Death?', 'Common Causes of Wrongful Death', 'Who Can File a Wrongful Death Lawsuit?', 'Compensation Available in Wrongful Death Cases', 'Deadline for Filing Wrongful Death Suits in New York', 'Your Knowledgeable New York City Wrongful Death Lawyer']","[True, True, True, True, True, True, True]",8,"['Provide You with Astute Legal Advice and Guidance', 'Handle Your Case’s Administrative Workload', 'Search for Evidence to Help Your Case', 'Negotiate With Stingy Insurance Companies on Your Behalf', 'Related Links', 'Practice Areas', 'Our Location', 'Search Our Site']","[False, False, False, False, False, False, False, False]",14,"['Rosenbaum & Rosenbaum, P.C.', 'Rosenbaum & Rosenbaum, P.C.', 'Banner New York City Lawyers', 'New York City Wrongful Death Lawyer', 'New York City Wrongful Death Lawyer', 'How Our NYC Law Firm Can Assist You with Your Wrongful Death Suit', 'How Our NYC Law Firm Can Assist You with Your Wrongful Death Suit', 'What is Wrongful Death?', 'What is Wrongful Death?', 'Compensation Available in Wrongful Death Cases', 'Compensation Available in Wrongful Death Cases', 'Rosenbaum & Rosenbaum New York, NY Office Location', 'Rosenbaum & Rosenbaum New York, NY Office Location', '']","[False, False, False, True, True, True, True, True, True, True, True, False, False, False]",True,True
Wrongful Death Lawyer New York,2,https://www.gairgair.com/wrongful-death.html,41,31,5,617551,14328,3114,0,0,41,29,24,46.0,True,New York Wrongful Death Lawyer | New York Wrongful Death Attorney GGCRBHS&M,True,1,['New York Wrongful Death Lawyer'],[True],0,[],[],0,[],[],9,"['Logo of Gair, Gair, Conason, Rubinowitz, Bloom, Hershenhorn, Steigman & Mackauf', 'Top Verdicts 2017 New York Magazine', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'YouTube Icon', 'Yelp Icon']","[False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer New York,3,https://mirmanlawyers.com/new-york-wrongful-death-lawyer/,33,32,3,23440,3458,1293,81,102,34,19,12,5.0,True,New York Wrongful Death Lawyer | Over $1 Billion Recovered,True,1,['New York Wrongful Death Attorney'],[True],7,"['You Deserve an Experienced NYC Wrongful Death Lawyer', 'Do I Have a Wrongful Death Case?', 'Who Can File a Wrongful Death Claim in New York?', 'What Compensation Can I Get With a Wrongful Death Claim?', 'How Long Do I Have to File a Wrongful Death Lawsuit in New York?', 'What If My Loved One Is Blamed For The Accident That Killed Them?', 'Call Our NYC Wrongful Death Attorneys For Help']","[True, True, True, True, True, False, True]",1,['Practice Areas'],[False],8,"['NYC Personal Injury Lawyers - Mirman, Markovits & Landau, P.C.', 'NO ALT', 'New York City Wrongful Death Attorney', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, True, False, False, False, False, False]",True,True
Wrongful Death Lawyer New York,4,https://www.morellilaw.com/areas-we-serve/new-york-ny/wrongful-death-lawyer/,33,31,3,4723,2339,1717,136,115,39,18,34,3.0,True,New York Wrongful Death Lawyer | Morelli Law Firm,True,1,['New York Wrongful Death Lawyer'],[True],9,"['What to Expect From Our New York Wrongful Death Lawyers', 'We Can Represent You in Trials and Negotiations', 'Settlement Offers in Wrongful Death Cases', 'We Can Assess Your Damages to Value Your Case', 'We Can File Your Wrongful Death Claim Before Its Deadline', 'Wrongful Death Can Result from Various Negligence-Based Accidents', 'We Can Establish Liability in a Wrongful Death Case', 'NY Wrongful Death Lawyers Can Help You Find Closure', 'HOW CAN WE HELP?']","[True, False, True, False, True, True, True, True, False]",10,"['Medical Malpractice', 'Vehicular Accidents', 'Pedestrian Accidents', 'Defective Products', 'Additional Locations', 'Request A Case Evaluation', 'Navigation', 'Practice Areas', 'Latest FAQ', 'Latest News']","[False, False, False, False, False, False, False, False, False, False]",4,"['Morelli Law Logo', 'Morelli Law Logo', 'gravestones with red flowers', 'Morelli Law Firm']","[False, False, False, False]",True,False
Wrongful Death Lawyer New York,5,https://www.blockotoole.com/wrongful-death/,31,29,4,127282,7419,1571,106,138,35,12,13,5.0,True,New York Wrongful Death Lawyer | Block O'Toole & Murphy,True,1,['New York Wrongful Death Lawyers'],[True],4,"['Legal Theory Behind a New York Wrongful Death Lawsuit', 'What Damages Can Be Recovered in a Wrongful Death Lawsuit?', 'Who Can File a Wrongful Death Lawsuit?', 'Fighting for Survivors in Wrongful Death Lawsuits']","[True, True, True, True]",0,[],[],34,"['', 'Brand 2', 'Brand 2', 'Icon Email', 'Icon Email', 'Icon Phone', 'Icon Phone', 'Brand 2', 'Brand 2', 'Icon Email', 'Icon Email', 'Icon Phone', 'Icon Phone', 'Badge BL', 'Badge BLF', 'Badge NTL', 'Badge SL', 'Badge MDAF', 'Badge MMDAF', 'Badge IL', 'Badge MH', 'Badge NYM', 'Badge NAACP', 'Badge FPMF', 'Badge SJU', 'Badge SJCRH', 'Expertise.com - Best Car Accident Lawyers in New York City - 2022', 'Expertise.com - Best Workers Compensation Attorneys in New York City - 2022', '', '', 'Brand Small', 'Brand Small', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer New York,6,https://www.wrshlaw.com/wrongful-death/,31,26,1,54085,3462,1101,134,228,23,18,4,25.0,True,New York City Wrongful Death Lawyers | Get Legal Help Now,True,1,['New York Wrongful Death Attorneys'],[True],9,"['What Is a Wrongful Death Claim?', 'Am I Eligible to File a Wrongful Death Claim in NY?', 'Causes of Wrongful Deaths in New York', 'What Damages Can Be Recovered After a Wrongful Death?', 'Our Wrongful Death Case Results', 'Defending Your Right to Compensation', 'Additional Information', 'Related Wrongful Death Pages', 'COVID-19 Screening Forms']","[True, True, True, True, True, False, False, True, False]",1,['See All Case Results'],[False],6,"['skip to content', 'flowers at grave', 'wrongful death infographic', 'SLS Consulting', 'SLS Consulting', '']","[False, False, True, False, False, False]",False,False
Wrongful Death Lawyer New York,7,https://866attylaw.com/new-york-city-wrongful-death-lawyer/,33,29,13,330833,6202,3563,360,90,50,13,17,145.0,True,Top Rated Wrongful Death Lawyer in NYC | Frekhtman & Associates,True,1,['New York Wrongful Death Lawyer'],[True],1,[''],[False],29,"['Did you lose a loved one due to negligence?', 'How does a wrongful death claim work ?', '', 'What is the New York wrongful death law ?', '', 'Who Can File a Wrongful Death Claim in New York?', '', 'How much can family members recover in NY Wrongful Death Lawsuits?', 'Related Wrongful Death Posts', '', 'Can family members obtain financial compensation for emotional distress or emotional anguish?', '', 'What do you do when handling wrongful death lawsuits?', '', 'What Do You Have To Prove to Win a NY Wrongful Death Claim?', '', 'What damages or types of compensation can be obtained in a wrongful death lawsuit?', '', 'How much of a wrongful death settlement or verdict can I expect?', '', '', 'What is the Pre-Trial and Settlement Negotiation Stage?', '', 'How Our NYC Law Firm Can Assist You with Your Wrongful Death Lawsuit', '', 'What types of personal injury cases result in wrongful death?', '', 'How Do You Prove Fault in a Wrongful Death Lawsuit?', 'Contact the Top Rated Wrongful Death Attorneys at Frekhtman & Associates']","[False, True, False, True, False, True, False, True, True, False, False, False, True, False, True, False, True, False, True, False, False, False, False, True, False, True, False, True, True]",35,"['Frekhtman & Associates', 'Frekhtman & Associates', 'logo', 'logo', 'logo', 'logo', 'mobile logo', 'mobile logo', '\xa0', '\xa0', 'Wrongful Death Lawyer', 'Wrongful Death Lawyer', 'wrongful-death-attorney-new-york', 'wrongful-death-attorney-new-york', 'Wrongful Death Lawyers answer FAQ: How Much Is My Case Worth ?', 'EP 09 S 08: Can You Guess the TBI (Traumatic Brain Injury) Jury Verdict or Settlement ?', 'What Are Your Legal Rights After a Ceiling Collapse in the Bronx', 'How Brain Injuries Can Affect Adults & Children', 'EP 08 S 08: Last Week Tonight October Episode – Car Accident, Tbi, Spinal Fusion.', 'Helping Injured Construction Workers Recover and Transition After A Construction Accidents', 'What’s Acute Respiratory Distress Syndrome?', 'EP 07 S 08: Last Week Tonight Episode 1 – Arkady Answers Your Questions (Check Description for Questions)', 'EP 06 S 08: Answering your FAQs: Personal Injury Settlements For A Truck Accident', 'What To Do In Case Of Rotator Cuff Accident In New York', 'Truck Accidents In Queens Remain a Dangerous Threat to Everyone', 'Frekhtman & Associates', 'Frekhtman & Associates', 'injury-lawyer-brooklyn-frekhtman-fox2', 'injury-lawyer-brooklyn-frekhtman-fox2', 'injury-lawyer-brooklyn-frekhtman-abc2', 'injury-lawyer-brooklyn-frekhtman-abc2', 'injury-lawyer-brooklyn-frekhtman-cbs', 'injury-lawyer-brooklyn-frekhtman-cbs', 'injury-lawyer-brooklyn-frekhtman-nbc', 'injury-lawyer-brooklyn-frekhtman-nbc']","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer New York,8,https://www.nolo.com/legal-encyclopedia/wrongful-death-lawsuits-new-york.html,72,49,1,21525812,1824748,1151,0,73,28,16,15,114.0,True,New York Wrongful Death Law | Nolo,True,1,['Wrongful Death Lawsuits in New York'],[True],6,"['An look at eligibility for bringing a New York wrongful death claim, potential damages, and more.', 'How Is ""Wrongful Death"" Defined in New York?', 'Who Is Eligible to File a New York Wrongful Death Lawsuit?', 'What Damages Are Possible in a New York Wrongful Death Case?', 'How Long Do I Have to File a New York Wrongful Death Claim?', 'Talk to a Wrongful Death attorney.']","[True, True, True, True, True, True]",1,['Talk to a Lawyer'],[False],12,"['NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer New York,9,https://bencrump.com/areas-we-serve/new-york-ny/wrongful-death-lawyer/,49,31,3,30198,6125,1562,73,103,48,17,39,3.0,True,New York Wrongful Death Lawyers | Ben Crump,True,1,['New York Wrongful Death Lawyer'],[True],12,"['Understanding Wrongful Death Laws in New York', 'Ben Crump Law, PLLC Can Help Your Family During This Difficult Time', 'Financial Recovery Following a Wrongful Death Case', 'Act Before You Lose Your Right to File Civil Action', 'Speak with a Member of Our Wrongful Death Team Serving NY', 'Wrongful Death FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[True, False, True, False, True, True, False, False, False, False, False, False]",1,['Additional Locations'],[False],15,"['Ben Crump Logo', 'New York Wrongful Death Lawyer', 'What Is the Difference Between Wrongful Death and Survival Action?', 'a young widow resting her hand on her husband’s casket', 'What Takes Time in Wrongful Death Lawsuits', 'Does Insurance Cover Wrongful Death?', 'What Is the Difference Between Wrongful Death and Survival Action?', 'How Do You Prove Wrongful Death?', 'What Takes Time in Wrongful Death Lawsuits', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, True, False, True, True, True, True, True, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer New York,10,https://www.fuchsberg.com/wrongful-death,33,26,5,12524,1522,1255,0,0,27,15,16,84.0,True,NY Wrongful Death Lawyer | Wrongful Death Attorney NYC,True,1,['New York Wrongful Death Lawyer'],[True],4,"['What Is Wrongful Death In New York?', 'Am I Eligible For A Wrongful Death Claim In New York?', 'Who Files A Wrongful Death Claim In New York?', 'Contact Us Today To Speak With An Attorney']","[True, True, True, False]",0,[],[],28,"['big city', '', 'Jacob D. Fuchsberg Law Firm logo', 'Medical malpractice attorneys Bradley Zimmerman and Chris Nyberg discuss lawsuit', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Jacob D. Fuchsberg Law Firm logo', 'twitter icon', 'facebook icon', 'instagram icon', 'linkedin icon', 'youtube icon']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
