keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Car Accident Lawyer Washington DC,1,https://bencrump.com/areas-we-serve/washington-dc/car-accident-lawyer/,49,33,3,30198,6125,1883,74,103,45,17,42,3.0,True,Washington DC Car Accident Lawyers | Ben Crump,True,1,['Washington DC Car Accident Lawyer'],[True],13,"['Personal Injury Protection', 'Common Causes of Car Accidents', 'What to Do After a Car Accident', 'Damages You May Be Able to Recover After a Car Accident', 'Washington DC Statute of Limitations on Car Accidents', 'Contact Our Team at Ben Crump Law, PLLC Today', 'Car Accidents FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[False, True, True, True, True, False, True, False, False, False, False, False, False]",4,"['Medical Expenses', 'Pain and Suffering', 'Lost Wages', 'Additional Locations']","[False, False, False, False]",15,"['Ben Crump Logo', 'Washington DC Car Accident Lawyer', 'What Injuries Can You Get From A Car Crash?', 'Can Both Parties Be at Fault in a  Car Accident?', 'Who Determines Fault in an Auto Accident?', 'graphic-of-a-t-bone-accident', 'What Injuries Can You Get From A Car Crash?', 'Can Both Parties Be at Fault in a  Car Accident?', 'Who Determines Fault in an Auto Accident?', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, False, True, False, False, False, True, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,2,https://cohenandcohen.net/automobile-accidents/,43,36,1,11183,1777,6128,74,329,57,65,67,27.0,True,Washington DC Auto Accident Lawyer | DC Car Accident Law Firm,True,1,['Automobile Accident Lawyers Washington DC | MD | VA'],[False],28,"['FREE Case evaluation', 'DC Car Accident Lawyers', 'What Are the Most Common Car Accident Injuries?', 'Washington DC |\xa0Maryland | Virginia', 'Catastrophic Injuries DC, MD, VA', 'Automobile Accidents DC, MD, VA', 'Workers’ Compensation DC, MD, VA', 'Slip and Fall DC, MD, VA', 'Medical Malpractice DC, MD, VA', 'Wrongful Death DC, MD, VA', 'Truck Accidents DC, MD, VA', 'Motorcycle Accidents DC, MD, VA', 'Metro Train Accident DC, MD, VA', 'FREE CASE EVALUATION', 'What Is The Average Settlement For A Washington DC Car Accident?', 'How A Motorcycle Accident Lawyer Can Help', 'Should You file a Medical Malpractice Lawsuit?', 'Essential Wrongful Termination FAQs', 'When Accidents Occur At Hospitals', 'Hear from our clients', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'FREE CASE EVALUATION', 'Call 24/7', '(202) 955-4529', 'Illinois Attorney General Sues Bus Company Over Discrimination', 'Parkland Survivors Sue County for Violating Their Civil Rights', 'Family of Boy Shot Dead for Holding a Toy Gun File Lawsuit']","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",13,"['Auto accidents may include:', 'What should I do after I’ve been in a car accident?', 'Car accidents sometimes occur through no fault of your own. They can involve:', 'Types of Car Accidents:', 'Car Accident Lawyer in Washington, DC', 'DC Car Accident Lawyer', 'Auto Accident Lawyer Washington DC', 'How Do You Determine Fault in a Car Accident?', 'Should I Accept the Insurance Company’s First Offer?', 'Should I See a Doctor?', 'How Much Compensation Can I Recover in a Car Accident Claim?', 'Do I Have to Go to Trial?', 'Do I Need an Attorney?']","[False, True, True, True, True, True, False, True, False, False, True, False, False]",47,"['NO ALT', '', '', 'Automobile Accident Lawyer', 'Lyft Accidents', 'Taxi Accident Lawyer Washington DC', 'Rear End Collision lawyers Washington DC', 'Hit and Run Accident Lawyers Washington DC', 'DUI Lawyer DC', '', 'Roll-over Accidents lawyer washington dc', 'Side Impact Collision Lawyers Washington DC', 'Head-On Collision Lawyers Washington DC', 'Icy Roads Accident Lawyers Washington DC', 'Elderly Driver Accident Lawyers Washington DC', 'tow truck accident lawyer DC', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,3,https://www.chaikinandsherman.com/car-accidents/,38,33,1,37437,32482,1973,119,247,41,14,33,1.0,True,Car Accident Lawyer Washington DC | Auto Injury Accident Attorneys,True,1,['Washington DC Car Accident Attorney'],[True],8,"['Car Accident Lawyers', 'Serving Injured Victims & Families Across the DMV', 'Why You Need a Car Accident Lawyer', 'Why You Need to Contact Chaikin, Sherman, Cammarata & Siegel, P.C.', 'When Should You Contact a Washington DC Car Accident Lawyer', 'We handle all types of auto accidents, including:', 'What a DC Car Accident Attorney Can Recover for You', 'You may be entitled to financial compensation for:']","[True, False, True, False, True, False, True, False]",23,"['We have recovered over $500 million in compensation', 'Our award-winning trial lawyers have 100+ years of experience', 'We have proven results in auto accident and serious injury cases', 'We don’t take any fees unless we win your auto accident case', 'Uber / Lyft accidents', 'Uninsured motorist accidents', 'Rear-end collisions', 'Rollover accidents', 'Intersection accidents', 'Parking lot accidents', 'Single-vehicle accidents', 'Distracted driving accidents', 'Drunk driving accidents', 'Past medical bills:', 'Future medical expenses:', 'Lost Income:', 'Physical Pain and Suffering:', 'Emotional and Mental Anguish:', 'Loss of Enjoyment of Life:', 'Call Now to Learn More About Your Rights & Options', 'Top 10 Mistakes Made After an AccidentReview these common auto accident mistakes to protect your rights. READ OUR E-BOOK', 'Contact Us Today For A Free Consultation', 'Pin It on Pinterest']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",9,"['CSCS Logo', 'Washington DC Car Accident Attorney', 'Washington DC car accident', 'Washington DC Car Accident Lawyer', 'Washington DC Uber ', '', '', '', '']","[False, True, True, True, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,4,https://pricebenowitz.com/dc-injury/car-accident-lawyer/,44,38,-1,74171,55029,2473,102,182,23,4,33,12.0,True,DC Car Accident Lawyer | Auto Accident Attorneys | Price Benowitz LLP,True,1,['DC Car Accident Attorney'],[True],11,"['Types of Car Wrecks', 'Causes of Auto Accidents in DC', 'Predicting the Settlement Value in a Car Crash Case', 'Factors that Influence the Value of a Settlement', 'The Role of the Insurance Company in Determining Your Settlement Value', 'Pros and Cons of Settling a DC Auto Accident Case', 'How a DC Car Accident Lawyer Can Help', 'Frequently Asked Questions', 'Dealing With Auto Collisions In Your Life', 'Contact a Car Accident Attorney in DC', 'Client Review']","[False, False, False, False, False, False, True, False, False, True, False]",0,[],[],25,"['Price Benowitz LLP', 'Price Benowitz LLP', 'icon', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'auto accident lawyer in Washington DC', 'Car accident lawyer in Washington, DC', 'Car Accident Lawyer Washington DC Yanonne', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Phone', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,5,https://www.dkinglaw.com/washington-dc-car-accident-lawyer/,22,22,17,367,157,4649,0,120,27,3,25,71.0,True,Washington DC Car Accident Lawyer | Free Consultations,True,1,['Washington DC Car Accident Lawyers'],[True],25,"['Washington DC Car Accident Lawyers at the Law Offices of Duane O. King Help Victims of All Types of Car Accidents', 'I enjoyed working with Attorney King because he looked at me as a whole, not just as a client.', 'I would recommend Attorney King to anyone who has been in an automobile accident.', 'The Law Office of Duane O. King was a blessing to my wife', 'Worked Hard For Us', 'Very Good at What They Do', 'Highly Recommend', 'Pleasure to Work With', 'Very Professional and Attentive', 'Forever Grateful', 'Continue to Recommend', 'Saved Me From Financial Ruin', 'Great Result', 'Phenomenal Lawyer', 'Great Communication', 'Very Helpful', 'Very Professional', 'Very Understanding', 'Greatly Appreciate Him and His Team', 'They Will Take Care of You', 'Very Professional', 'Best Interest at Heart', 'Very Satisfactory Team', 'Helpful, Respectful, Patient', 'Amazing!']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",11,"['How Many Car Accidents Occur Each Year in America?', 'What are the Leading Causes of Car Accidents?', 'How Do Ridesharing Accidents Differ from Other Accidents?', 'How Do Pedestrian Accidents Occur?', 'How Do Motorcycle Accidents Differ from Car Accidents?', 'How to Avoid Truck Accidents', 'What About Uninsured Drivers?', 'What Should Drivers Do After an Accident?', 'Are Passenger Injuries Settled in a Lawsuit?', 'Can Motorists File a Wrongful Death Claim After a Car Accident?', 'Why Do I Need a Car Accident Lawyer?']","[True, True, False, False, True, False, False, False, False, True, True]",60,"['green check', 'green check', 'NO ALT', 'NO ALT', 'The Law Office of Duane O. King', 'The Law Office of Duane O. King', 'Facebook', 'Facebook', 'Twitter', 'Twitter', 'Google Business', 'Google Business', 'LinkedIn', 'LinkedIn', 'Instagram', 'Instagram', 'Youtube', 'Youtube', 'review icon', 'review icon', 'Totaled Vehicle', 'Totaled Vehicle', 'Washington DC Car Accident Lawyers protect the rights of those injured by distracted drivers. ', 'Washington DC Car Accident Lawyers protect the rights of those injured by distracted drivers. ', 'Washington DC Car Accident Lawyers secure maximum compensation for those impacted by drunk drivers. ', 'Washington DC Car Accident Lawyers secure maximum compensation for those impacted by drunk drivers. ', 'Washington DC Car Accident Lawyers fight hard for injured victims of aggressive and reckless driving. ', 'Washington DC Car Accident Lawyers fight hard for injured victims of aggressive and reckless driving. ', 'Washington DC Car Accident Lawyers obtain justice for those injured by drowsy drivers. ', 'Washington DC Car Accident Lawyers obtain justice for those injured by drowsy drivers. ', 'Washington DC Car Accident Lawyers recover full damages for those involved in speeding accidents. ', 'Washington DC Car Accident Lawyers recover full damages for those involved in speeding accidents. ', 'Washington DC Car Accident Lawyers are skilled at representing those injured in accidents caused by defective auto parts. ', 'Washington DC Car Accident Lawyers are skilled at representing those injured in accidents caused by defective auto parts. ', 'Rideshare accidents ', 'Rideshare accidents ', 'Washington DC Car Accident Lawyers provide experienced counsel to victims of truck accidents. ', 'Washington DC Car Accident Lawyers provide experienced counsel to victims of truck accidents. ', 'Traffic Collision Report', 'Traffic Collision Report', 'Car Accident Lawyer Duane O. King', 'Car Accident Lawyer Duane O. King', '', '', 'NO ALT', 'NO ALT', '', '', 'Facebook', 'Facebook', 'Twitter', 'Twitter', 'Google Business', 'Google Business', 'LinkedIn', 'LinkedIn', 'Instagram', 'Instagram', 'Youtube', 'Youtube']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,6,https://www.simeonemiller.com/personal-injury/car-accidents/,37,30,1,11554,873,2195,128,105,26,9,17,4.0,True,"Washington DC Car Accident Lawyer | Simeone & Miller, LLP",True,1,['Washington DC Car Accident Lawyer'],[True],7,"['Call\t(202) 888-0872 for Your Free Consultation', ""Why You Shouldn't Wait to Contact a Lawyer"", 'How Much Is My Car Accident Case Worth?', 'Contributory Negligence in Car Accident Cases', 'How Is Fault Determined in a Car Accident?', 'Car Accident Property Damage Claims', 'Should I Talk to the Insurance Company?']","[False, False, True, True, True, True, False]",3,"['Personal Injury Protection (PIP) Claims', 'Let Our Firm Help You Through This Process', 'Car Accident FAQs']","[False, False, True]",8,"['', '', 'Simeone & Miller, LLP', 'car crash in Washington DC', 'Insurance Payouts Are 3.5x Higher When You Hire a personal injury lawyer', 'Simeone & Miller, LLP', 'Internet Marketing Experts', '']","[False, False, False, False, False, False, False, False]",False,False
Car Accident Lawyer Washington DC,7,https://gelbandgelb.com/washington-dc-car-accident-lawyer/,28,21,1,1401,464,1216,60,0,18,5,12,28.0,True,Washington DC Car Accident Lawyer | Motor Vehicle Crash | Automobile,True,1,['Washington DC Car Accident Lawyer'],[True],4,"['Common Causes of a Collision', 'Negligence in a Car Accident Claim', 'Dealing with the Insurance Company', 'Reach Out to a Washington DC Car Accident Attorney Right Away']","[False, True, False, True]",3,"['What Is Duty of Care?', 'Breach Of Duty', 'What Types of Damages Could a Person Recover in a Car Crash Case?']","[False, False, False]",17,"['logo', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'logo', 'Linkedin', 'Twitter', 'facebook', 'Justia', 'Gelb & Gelb, P.C.']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,8,https://pricebenowitz.com/dc-injury/,44,41,-1,74171,55029,2817,102,151,6,2,46,12.0,True,"DC Personal Injury Lawyer | Washington, DC Injury Claims Attorney",False,1,['DC Personal Injury Lawyers'],[False],4,"['Principle of Personal Injuries in DC', 'Elements ofPersonal Injury Claims', 'Experienced DC Personal Injury Attorneys', 'Client Review']","[False, False, False, False]",0,[],[],21,"['Price Benowitz LLP', 'Price Benowitz LLP', 'icon', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Phone', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,9,https://www.tromblylaw.com/auto-accident-lawyer-washington-dc/,30,19,-1,53384,354,1270,126,50,6,0,9,307.0,False,"Auto Accident Lawyers - Washington D.C. | Trombly & Singer, PLLC",False,1,"['Washington, D.C. Auto Accident Lawyers']",[False],4,"['Auto Accident Lawyers in Washington, D.C. | Helping Auto Accident Victims', 'Recoverable Damages', 'Statute of Limitations', 'Contact Our Personal Injury Attorneys']","[False, False, False, False]",0,[],[],53,"['Trombly & Singery, PLLC', '', 'Trombly & Singer, PLLC', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', '', '', 'Trombly & Singer, PLLC', 'Accel Marketing Solutions, Inc', 'Cleantalk Pixel']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Car Accident Lawyer Washington DC,10,https://dubofflawgroup.com/practice-areas/car-accidents/washington-d-c-car-accidents-what-you-need-to-know/,25,30,-1,8115,1341,1201,73,84,16,0,10,138.0,True,"Car Accidents: What You Need to Know | Washington, D.C.",True,1,['Washington D.C. Car Accidents: What You Need to Know'],[True],1,[''],[False],4,"['', 'REQUEST A FREECONSULTATION', 'REQUEST A FREE CONSULTATION', 'PRACTICE AREAS']","[False, False, False, False]",22,"['logo', '', '', '', '', '', '', '', '', '', '', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'silver spring icono', 'phone icon', 'email icon', 'address icon', 'phone icon', 'email icon']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
