keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Medical Malpractice Lawyer Washington DC,1,https://cochranfirm.com/washington-dc/practice-areas/medical-malpractice-2/,47,28,2,635410,20772,2741,1,0,63,1,35,262.0,False,D.C. Medical Malpractice Lawyers - The Cochran Firm Washington D.C.,True,1,['D.C. Medical Malpractice Lawyers'],[True],4,"['Do I have a Case?', 'Do I Have a Case?', 'Client Stories & Testimonials', 'Newsletter']","[False, False, False, False]",2,"['Types of\xa0D.C. Medical Malpractice Lawyers Cases We Handle:', 'Experienced and Recognized Medical Malpractice Attorneys with a Record of Success']","[True, True]",54,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Group Recommend', 'Group Recommend']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,2,https://www.wilsonlaw.com/,31,36,1,8341,965,979,11,88,15,1,11,29.0,True,"Washington DC Medical Malpractice Attorney - The Law Offices of Dr. Michael M. Wilson MD, JD & Associates",True,1,['Washington DC Medical Malpractice Lawyer'],[True],8,"['When Your Lawyer Is Also a Physician, You Have a Prescription for Justice', 'When Your Lawyer Is Also a Physician, You Have a Prescription for Justice', 'Why Choose Us?', 'Why Choose Us?', 'Our Practice Areas', 'BEDSIDE MANNERS MATTER', 'MAKING A DIFFERENCE', 'Meet Our Attorneys']","[False, False, False, False, False, False, False, False]",11,"['Get A Free Case Consultation', 'Medical Malpractice', 'Surgical Errors', 'Birth Injuries', 'Michael M. Wilson', 'Gerald F. Kaplan, Of Counsel', 'Hudson L. Miller', 'Allen K. Robinson', 'Get A Free Case Consultation', 'Our Location', 'Communities We Serve']","[False, True, False, False, False, False, False, False, False, False, False]",33,"['The Law Offices of Dr. Michael M. Wilson M.D., J.D. & Associates - Footer Logo', 'home-banner', 'NO ALT', '', '', '', '', '', '', '', '', '', 'top100badge', 'Super-Lawyers', 'The-Washington-Post', 'American-Association', 'Trail-Lawyers', 'The-American-Board', 'Fellow-American', 'medical_malpractice_lawyers', 'unnamed', 'thelawofficesofdrmichaelmwilsonmdjdassociates-washington', '', 'Wilson-new', 'NO ALT', 'Gerald F. Kaplan, Of Counsel', 'NO ALT', 'Hudson L. Miller', 'NO ALT', 'NO ALT', 'footer logo', 'The Washington Law Office Of The Law Offices of Dr. Michael M. Wilson, M.D., J.D & Associates.', 'facebook_pixel']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,3,https://pricebenowitz.com/dc-injury/medical-malpractice-lawyer/,44,35,-1,74171,55029,2211,102,150,37,5,24,26.0,True,DC Medical Malpractice Lawyer | Doctor Negligence,True,1,['DC Medical Malpractice Lawyer'],[True],10,"['What is Considered Medical Malpractice?', 'Is it Required for Medical Malpractice Cases to Enter Mediation in DC?', 'How Do Medical Malpractice Cases Work?', 'DC’s Contributory Negligence Doctrine', 'Medical Malpractice Lawsuit Intent to File Requirement', 'Does DC Limit Compensation in Medical Malpractice Cases?', 'What Is the Statute of Limitations in Malpractice Cases?', 'Understanding The Local Courts in DC', 'Schedule a Consultation With a DC Medical Malpractice Attorney Today', 'Client Review']","[True, True, True, False, True, True, False, False, True, False]",3,"['Cancer', 'Heart Disease', 'Stroke']","[False, False, False]",21,"['Price Benowitz LLP', 'Price Benowitz LLP', 'icon', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Phone', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,4,https://bencrump.com/areas-we-serve/washington-dc/medical-malpractice-lawyer/,49,33,3,30198,6125,1497,74,103,45,14,40,3.0,True,Washington DC Medical Malpractice Lawyers | Ben Crump,True,1,['Washington DC Medical Malpractice Lawyer'],[True],11,"['Types of Medical Malpractice', 'Effects of Malpractice on Victims', 'Potentially Recoverable Compensation', 'What You Can Do Next', 'Medical Malpractice FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[True, False, False, False, True, False, False, False, False, False, False]",1,['Additional Locations'],[False],15,"['Ben Crump Logo', 'Washington DC Medical Malpractice Lawyer', 'Are Doctors Liable For Misdiagnosis?', 'How Long Do You Have to Sue a Doctor After Surgery?', 'What Constitutes Medical Malpractice In Florida?', 'How Do I File A Malpractice Suit Against A Doctor?', 'Are Doctors Liable For Misdiagnosis?', 'How Long Do You Have to Sue a Doctor After Surgery?', 'What Constitutes Medical Malpractice In Florida?', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, False, False, True, False, False, False, True, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,5,https://cohenandcohen.net/medical-malpractice/,43,33,1,11183,1777,2385,74,329,27,22,26,1.0,True,DC Medical Malpractice Attorney | Medical Mistake Attorney DC,True,1,['Medical Malpractice Lawyers'],[True],34,"['FREE Case evaluation', 'Medical Malpractice Attorney Washington, DC', 'Misdiagnosed Medical Conditions', 'Doctors Make Mistakes', 'Know You are Not Alone', 'Medical Malpractice Frequently Asked Questions:', 'Commonly Misdiagnosed Medical Conditions', 'The Advantages of a Top Rated Law Firm’s Help', 'We’re Experienced Medical Malpractice Attorneys', 'Washington DC |\xa0Maryland | Virginia', 'Catastrophic Injuries DC, MD, VA', 'Automobile Accidents DC, MD, VA', 'Workers’ Compensation DC, MD, VA', 'Slip and Fall DC, MD, VA', 'Medical Malpractice DC, MD, VA', 'Wrongful Death DC, MD, VA', 'Truck Accidents DC, MD, VA', 'Motorcycle Accidents DC, MD, VA', 'Metro Train Accident DC, MD, VA', 'FREE CASE EVALUATION', 'What Is The Average Settlement For A Washington DC Car Accident?', 'How A Motorcycle Accident Lawyer Can Help', 'Should You file a Medical Malpractice Lawsuit?', 'Essential Wrongful Termination FAQs', 'When Accidents Occur At Hospitals', 'Hear from our clients', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'FREE CASE EVALUATION', 'Call 24/7', '(202) 955-4529', 'Illinois Attorney General Sues Bus Company Over Discrimination', 'Parkland Survivors Sue County for Violating Their Civil Rights', 'Family of Boy Shot Dead for Holding a Toy Gun File Lawsuit']","[False, True, False, False, False, True, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",1,['Medical Malpractice'],[True],35,"['NO ALT', '', '', '', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,6,https://www.olender.com/,29,35,71,10244,1532,594,248,267,3,2,15,57.0,True,Washington DC Medical Malpractice Lawyer | Personal Injury Laws,True,1,['3 Top Reasons to Choose The Malpractice Law Firm Jack H. Olender & Associates for Your Child’s Cerebral Palsy or Other Catastrophic Injury Case'],[False],0,[],[],0,[],[],48,"['', 'NO ALT', 'NO ALT', 'NO ALT', 'slide 1', 'NO ALT', 'NO ALT', 'slide 2', 'NO ALT', 'NO ALT', 'slide 3', 'NO ALT', 'NO ALT', 'slide 4', 'NO ALT', 'NO ALT', 'slide 5', 'NO ALT', 'NO ALT', 'slide 6', 'NO ALT', 'NO ALT', 'slide 7', 'NO ALT', 'NO ALT', 'slide 8', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'LexisNexis']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,7,https://www.paulsonandnace.com/practice-areas/medical-malpractice/,35,37,1,80517,2260,2559,105,86,36,2,16,7.0,True,Washington DC Medical Malpractice Lawyer | Attorneys Paulson & Nace,True,1,"['Trusted Washington, DC Medical Malpractice Lawyers']",[True],13,"['Protecting the Rights of Patients in DC for More Than 40 Years', 'What Is Medical Malpractice?', 'What Kinds of Medical Malpractice Cases Do You Handle?', 'Who Can Be Held Liable for Medical Negligence in Washington, D.C.?', 'What Damages Can You Claim for a Medical Malpractice Case?', 'How Safe Are Washington, D.C. Hospitals?', 'How a D.C. Medical Malpractice Lawyer Can Help You', 'Do you have a medical malpractice attorney near me?', 'Bell v. INOVA Health Systems', 'Boutz v. Stowasser', 'Hudson v. Crisler', 'Bond v. Potomac Associates', 'Havner v. Merrell Dow']","[False, True, True, False, True, False, True, True, False, False, False, False, False]",6,"['What are the four elements of medical malpractice?', 'What is informed consent, and why is it important?', 'Why medical bias should concern patients', 'Protecting the rights of medical malpractice victims in Washington, D.C.', 'Related Articles:', 'Contact Law Firm']","[True, False, False, True, False, False]",14,"['Paulson & Nace, PLLC Logo', 'Medical Malpractice Attorneys in Washington DC', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Paulson & Nace', 'NO ALT']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,8,https://www.blg-dc.com/medical-malpractice/,25,29,1,5675,753,2784,4,361,56,2,18,20.0,True,"Medical Malpractice Attorney - Washington, D.C. - Bertram Law Group, PLLC",True,1,"['Medical Malpractice Lawyer in Washington, D.C.']",[True],10,"['What is Medical Malpractice?', 'Get Your Confidential Consultation Now', 'What a D.C. Medical Malpractice Lawyer Can Offer You', 'Common Types of Medical Malpractice in Washington, D.C.', 'Potential Defendants in D.C Medical Malpractice Claims', 'What Are the Most Common Serious Injuries Related to Negligent Medical Errors in Washington, D.C.?', 'Working with Medical Experts in Washington, DC to Build a Successful Medical Malpractice Claim', 'What Are the Types of Compensation That May Be Available in a Medical Malpractice Case in Washington, D.C.?', 'Why Medical Malpractice Cases Are Complex', 'Let A Washington, DC Medical Malpractice Attorney Review Your Potential Medical Malpractice Case']","[True, False, True, True, True, False, True, True, True, True]",7,"['At Bertram Law Group, PLLC, we are dedicated to pursuing full and fair compensation for our clients. We can design a specific legal strategy to target those who caused your harm. We vow to aggressively fight on your behalf. These are the benefits of choosing our D.C. medical negligence law firm:', 'Our medical malpractice lawyer in Washington, D.C. handles a wide variety of medical malpractice cases:', 'A defendant in a medical malpractice lawsuit is the non-filing party being accused of negligence. Possible defendants in medical malpractice claims include these healthcare professionals or providers:', 'Common injuries related to medical malpractice cases include:', 'Medical experts are key in medical malpractice cases for two main reasons, among many others:', 'Financial compensation for medical malpractice lawsuits in D.C. is divided into two main categories:', 'These factors could be considered when evaluating fault in a medical malpractice claim:']","[False, True, True, True, True, True, True]",21,"['Bertram Law Group PLLC', 'gavel, stethoscope and pills on wooden background', 'image', 'image', 'image', 'attorney', 'Catherine D. Bertram', 'Anne D. Pile', 'The Best Lawyers in America', 'U.S. News Best Law Firms', 'AV Preeminent', 'American Association for Justice', 'Washingtonian Best Lawyer', 'Super Lawyers', 'Best Lawyers 2023', 'Daily Record-The 2022 Powerlist, Personal Injury & Medical Malpractice.', 'Best Lawyers 2022', 'AAJ Leaders Forum', 'Expertise.com', 'Best Lawyers 2021', 'Consultwebs']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,9,https://www.tromblylaw.com/medical-malpractice-lawyer-washington-dc/,30,17,-1,53384,354,1286,126,50,17,0,8,52.0,True,"Medical Malpractice Lawyer - Washington D.C. | Trombly & Singer, PLLC",True,1,['Washington D.C. Medical Malpractice Lawyers'],[True],5,"['Medical Malpractice Lawyers Serving Clients in Washington, D.C.', 'Types of Medical Malpractice Cases in D.C. and Maryland', 'Proving a Medical Malpractice Claim', 'Statute of Limitations for Medical Malpractice Claims in Washington, D.C.', 'Hire a Skilled Washington, D.C. Medical Malpractice Lawyer']","[True, True, True, True, True]",0,[],[],53,"['Trombly & Singery, PLLC', '', 'Trombly & Singer, PLLC', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', '', '', 'Trombly & Singer, PLLC', 'Accel Marketing Solutions, Inc', 'Cleantalk Pixel']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Medical Malpractice Lawyer Washington DC,10,https://www.washingtonlawcenter.com/medical-malpractice-attorney/,14,30,1,39365,2573,1103,113,157,23,0,18,12.0,True,Medical Malpractice Attorney - Washington Law Center,True,1,['Medical Malpractice Attorney'],[True],13,"['Advocates for Victims of Medical Malpractice', 'Free Case Review for Medical Malpractice Victims', 'What defines medical malpractice?', 'How common is medical malpractice in Washington?', 'Why should I hire a medical malpractice attorney instead of doing this on my own?', 'No Fee Until You Win', 'Featured Medical Malpractice Lawyers', 'Ashton Dennis', 'Una Legin', 'Scott Goodrich', 'Daniel Swinford', 'Why Choose Washington Law Center?', 'Washington Law Center']","[True, True, True, True, True, False, True, False, False, False, False, False, False]",4,"['Video Transcript: Medical Malpractice Attorneys', 'Washington Medical Malpractice Attorney FAQs', 'Past Medical Malpractice Client Results', 'Related Personal Injury Practice Areas']","[True, True, True, False]",18,"['Clickcease', 'Washington Law Center', '', 'Loading', 'FAQ - Personal Injury Attorneys near me - Washington Law Center', '', 'Personal Injury Attorney - Ashton Dennis - Tacoma, WA - Washington Law Center', 'Una-Legin-workers-compensaton-labor-industry-attorney-washington-law-center', 'Scott Goodrich', '', 'Washington-State-Bar-Association-Washington-Law-Center', 'Top-100-National-Trial-Lawyers-Washington-Law-Center', 'Washington Best Law Firms - Personal Injury Attorneys - Standard Badge - B-w', 'Washington-workers-compensation-attorney-spencer-parr-Top-100-lawyers', 'Certified-Top-Attorneys-of-North-America-Washington-Law-Center', 'Super-Lawyers-2020-Washington-Law-Center', 'WSAJ-Eagle-Member-Washington-Law-Center', 'Best-personal-injury-lawyers-in-tacoma-washington-expertise-washington-law-center']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
