keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Personal Injury Lawyer Washington DC,1,https://pricebenowitz.com/dc-injury/,44,41,-1,74171,55029,2817,102,151,25,2,46,90.0,True,"DC Personal Injury Lawyer | Washington, DC Injury Claims Attorney",True,1,['DC Personal Injury Lawyers'],[True],4,"['Principle of Personal Injuries in DC', 'Elements ofPersonal Injury Claims', 'Experienced DC Personal Injury Attorneys', 'Client Review']","[False, True, True, False]",0,[],[],21,"['Price Benowitz LLP', 'Price Benowitz LLP', 'icon', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Phone', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,2,https://www.washingtonian.com/speciality/personal-injury/,72,43,1,7055758,218726,338,88,74,0,0,5,,,"Washington, DC’s Top Lawyers - Washingtonian",False,0,[],[],0,[],[],10,"['Select category:', 'Most Popular', 'This Week Is Your Last Chance to Visit the Smithsonian Castle for the Next Five Years', 'Why Some DC People Are Buying Second Homes as First Homes', 'Biden Taps DC Bagel Shop Founder as White House Chief of Staff', 'Is Georgetown Now Actually . . . Cool?', 'Washingtonian Magazine', ""January 2023: 23 Things We're Excited About in 2023"", 'Follow Us on Social', 'Follow Us on Social']","[False, False, False, False, False, False, False, False, False, False]",9,"['Washingtonian.com', 'Washingtonian.com', '', '', '', '', '', 'January 2023: 23 Things We’re Excited About in 2023', 'January 2023: 23 Things We’re Excited About in 2023']","[False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,3,https://www.ashcraftandgerel.com/washington-dc/,30,33,1,24623,2177,1385,311,108,8,6,20,3.0,True,Washington DC Personal Injury Lawyers | Ashcraft & Gerel,True,1,['Washington DC Personal Injury Lawyers'],[True],6,"['TELL US ABOUT YOUR INJURY', 'Washington, D.C. Personal Injury Attorneys', 'TAKE YOUR NEXT STEP', 'Having a Black Car May Make Accidents More Likely', 'Attorney Alan Mensh Achieves Landmark Appeal Victory in Lead Poisoning Case', 'Are Infotainment Systems Dangerously Distracting?']","[False, True, False, False, False, False]",2,"['Putting 65+ Years of Legal Experience on Your Side', 'Why You Should Trust Your Case to an Attorney']","[False, False]",10,"['Ashcraft And Gerel', 'Ashcraft And Gerel Logo', 'Partnerslogo.png', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Ashcraft and Gerel']","[False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,4,https://cohenandcohen.net/personal-injury-washington-dc/,43,34,1,11183,1777,3921,74,329,89,43,68,1.0,True,Personal Injury Lawyer DC | Washington DC Personal Injury Attorney,True,1,['Personal Injury Lawyer Washington DC'],[True],39,"['FREE Case evaluation', 'DC Personal Injury Lawyer', 'Personal Liability vs Personal Injury:', 'What Constitutes a Personal Injury Claim?', 'DC Personal Injury Law Infographics', 'What To Do After A Washington DC Personal Injury?', 'DC Personal Injury Lawyers with Experience', 'Tips for Picking a Washington DC Personal Injury Lawyer:', 'DC Personal Injury Law Statistics', 'FAQs For DC Personal Injury Lawyers', 'How To Find the Best Injury Lawyer DC Has To Offer', 'Cohen & Cohen DC Personal Injury Attorney', 'DC Personal Injury Attorney Google Reviews', 'Our DC Personal Injury Attorney Team Can Help!', 'Washington DC |\xa0Maryland | Virginia', 'Catastrophic Injuries DC, MD, VA', 'Automobile Accidents DC, MD, VA', 'Workers’ Compensation DC, MD, VA', 'Slip and Fall DC, MD, VA', 'Medical Malpractice DC, MD, VA', 'Wrongful Death DC, MD, VA', 'Truck Accidents DC, MD, VA', 'Motorcycle Accidents DC, MD, VA', 'Metro Train Accident DC, MD, VA', 'FREE CASE EVALUATION', 'What Is The Average Settlement For A Washington DC Car Accident?', 'How A Motorcycle Accident Lawyer Can Help', 'Should You file a Medical Malpractice Lawsuit?', 'Essential Wrongful Termination FAQs', 'When Accidents Occur At Hospitals', 'Hear from our clients', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'FREE CASE EVALUATION', 'Call 24/7', '(202) 955-4529', 'Illinois Attorney General Sues Bus Company Over Discrimination', 'Parkland Survivors Sue County for Violating Their Civil Rights', 'Family of Boy Shot Dead for Holding a Toy Gun File Lawsuit']","[False, True, True, True, True, True, True, True, True, True, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",1,['PERSONAL INJURY LAWYER WASHINGTON DC'],[True],36,"['NO ALT', '', '', 'Personal Injury Lawyer Washington DC', 'DC Personal Injury Law Infographics', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,5,https://bencrump.com/washington-dc-personal-injury-lawyer/,49,36,3,30198,6125,1472,74,103,40,15,32,3.0,True,Washington DC Personal Injury Lawyer | Let Ben Crump Be Your Advocate,True,1,['Washington DC Personal Injury Lawyer'],[True],14,"['How to File a Lawsuit in Washington DC', 'How Long You Have to File a Lawsuit', 'Compensation Available for Personal Injury Victims', 'Your Personal Injury Lawyer Will Negotiate a Settlement', 'Get Help From a Personal Injury Lawyer in Washington DC Today', 'District of Columbia Car Accident Facts', 'Understanding Car Accident Liability in DC', 'Personal Injury FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[False, False, True, True, True, False, False, True, False, False, False, False, False, False]",1,['Additional Locations'],[False],15,"['Ben Crump Logo', 'A Washington DC road construction sign', 'a man with a broken leg', 'Can You Represent Yourself in a Personal Injury Claim?', 'How Can I Prove My Pain and Suffering?', 'What Are the Steps in a Personal Injury Lawsuit?', 'What Is the Difference Between Bodily Injury and Personal Injury?', 'Can You Represent Yourself in a Personal Injury Claim?', 'How Can I Prove My Pain and Suffering?', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, False, False, True, False, True, True, True, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,6,https://koonz.com/dc-personal-injury/,38,33,2,10758,2398,1684,12,131,31,8,7,35.0,True,DC Personal Injury Attorney - Koonz McKenney Johnson & DePaolis,True,1,['Washington DC Personal Injury Law Firm'],[True],5,"['Washington DC Personal Injury Law Firm', 'Do I Have A Personal Injury Claim?', 'Common Examples Of Washington DC Personal Injury Lawsuits', 'What Is A Statute Of Limitations For A Washington DC Personal Injury Lawsuit?', 'How Can Koonz McKenney Johnson & DePaolis LLP Help Me?']","[True, True, True, True, False]",0,[],[],7,"['Koonz McKenney Johnson & DePaolis LLP', '', '', '', 'Personal Injury victim filing a claim', 'stethoscope and gavel', 'Koonz McKenney Johnson & DePaolis LLP']","[False, False, False, False, True, False, False]",True,False
Personal Injury Lawyer Washington DC,7,https://cochranfirm.com/washington-dc/practice-areas/personal-injury/,47,26,2,635410,20772,1894,1,0,49,2,36,282.0,False,Personal Injury - The Cochran Firm Washington D.C.,True,1,['Personal Injury'],[True],5,"['Do I have a Case?', 'Do I Have a Case?', 'Washington DC Personal Injury Lawyers serving the District of Columbia, Maryland, and Virginia', 'Client Stories & Testimonials', 'Newsletter']","[False, False, True, False, False]",8,"['If You are a Personal Injury Victim:', 'Types of\xa0Personal Injury Cases We Handle:', 'Experienced Attorneys Committed to Protecting Your Rights', 'Contact Us for a No-Cost, No-Obligation Free Consultation', 'DC Personal Injury Lawyers serving clients throughout:', 'What are the Elements of a Personal Injury Lawsuit?', 'What Compensation Can I Get in a Personal Injury Lawsuit?', 'Personal Injury Lawsuit Resources']","[True, True, False, False, True, True, True, True]",54,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Group Recommend', 'Group Recommend']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,8,https://cochranfirm.com/washington-dc/,47,37,2,635410,20772,1291,1,0,10,1,18,312.0,False,The Cochran Firm Washington D.C.,False,1,['Get The Justice'],[False],23,"['You Deserve', 'DC Injury Lawyers', 'Cases We Handle', 'Personal\xa0Injury', 'Medical Malpractice', 'Nursing Home Abuse', 'Auto Accidents', 'Product Liability', 'Police Brutality', 'Featured Cases', 'Chemical Hair Relaxers Increase Risk of Uterine Cancer', 'CAMP LEJEUNE CONTAMINATED WATER LAWSUIT', 'VIRGINIA DEPUTY SHOOTS UNARMED BLACK MAN 10 TIMES', 'OFF-DUTY PENTAGON POLICE OFFICER SHOOTS TWO BLACK MEN IN THE BACK', 'IS YOUR OVARIAN CANCER DIAGNOSIS RELATED TO TALCUM POWDER USE?', 'Attorneys', 'Client Stories & Testimonials', 'Results', '$190', '$14', '$10.2', '$9.5', 'Newsletter']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0,[],[],54,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Group Recommend', 'Group Recommend']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Personal Injury Lawyer Washington DC,9,https://www.simeonemiller.com/,37,37,1,11554,873,3340,128,105,29,10,68,37.0,True,"Washington DC Personal Injury Lawyer | Simeone & Miller, LLP",True,1,['Washington DC Personal Injury Attorneys'],[True],1,"[""When You've Been Wronged, We Make It Right""]",[False],3,"['When Working With Us,\tYou Can Expect:\u200b\u200b\u200b\u200b', 'Client Testimonials', 'Good Lawyers/Good People Scholarship']","[False, False, False]",44,"['', '', 'Simeone & Miller, LLP', 'Attorney', 'Attorney', 'Wrongful Death', 'Car Accidents', 'Birth Injuries', 'Truck Accidents', 'Medical Malpractice', 'Premises Liability', 'Pedestrian Accidents', 'Product Liability', 'Thomas J. Simeone', 'Craig D. Miller', 'Michael Robinett', 'Linda Mak', 'Fiona Forcey', 'Better Business Bureau', 'The National Trial Lawyers: Top 100 Trial Lawyers in Washington D.C.', 'Martindale-Hubbell® AV® Preeminent™', 'National Association of Distinguished Counsel', 'Litigator of the Year', 'AMERICA’S TOP 100 PERSONAL INJURY ATTORNEYS®', 'Avvo 10/10 Rating', ""The Lawdragon 500 Leading Plaintiff's Lawyers in America"", 'Northern Virginia Magazine 2022 Top Lawyer', 'Top Lawyers - Washington', '', 'American Institute of Personal Injury Attorneys', 'Attorney & Practice Top 10', 'America’s Best Attorneys Top Attorney', 'Trial Lawyers Association of Metropolitan Washington D.C.', 'Virginia Trial Lawyers Association', 'The Best of the Best Attorneys', 'E', 'New York Times', 'ESPN', 'Fox News', 'Washington Post', 'MSNBC', 'Simeone & Miller, LLP', 'Internet Marketing Experts', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Personal Injury Lawyer Washington DC,10,https://www.tromblylaw.com/,30,31,-1,53384,354,1437,126,50,6,0,10,119.0,True,"Washington DC Personal Injury Attorney | Trombly & Singer, PLLC",True,1,"['Washington, D.C. Personal Injury Attorneys']",[True],4,"['Trial Attorneys Serving the Washington Metropolitan Area', 'Kenneth Trombly', 'Daniel Singer', 'Noah Trombly']","[False, False, False, False]",0,[],[],35,"['Trombly & Singery, PLLC', 'Trombly & Singer, PLLC', '', '', '', '', '', '', '', '', 'The dome at the Capitol building', 'NO ALT', 'Auto Accidents', 'Serious Falls', 'Medical Malpractice', 'Traumatic Brain Injuries', 'Product Liability', 'Police Brutality', 'Workplace Accidents', 'Wrongful Death', 'Kenneth Trombly', 'Daniel Singer', 'Noah Trombly', 'Kenneth, Daniel, and Noah together', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'property premises liability invitee licensee', 'truck SUV vehicle rollover accident driving on road', 'Trombly & Singer, PLLC', 'Accel Marketing Solutions, Inc', 'Cleantalk Pixel']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
