keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Wrongful Death Lawyer Washington DC,1,https://pricebenowitz.com/dc-injury/wrongful-death-lawyer/,44,31,-1,74171,55029,1390,102,182,42,3,20,46.0,True,DC Wrongful Death Lawyer | Survivor Action | Price Benowitz,True,1,['DC Wrongful Death Attorney'],[True],7,"['Wrongful Death Claims in DC', 'Types of Wrongful Death Cases', 'Wrongful Death and the Legal Process', 'Wrongful Death Actions and Survivor Actions', 'The Loss of Chance Doctrine', 'How a DC Wrongful Death Lawyer Can Help', 'Client Review']","[True, True, True, True, False, True, False]",0,[],[],24,"['Price Benowitz LLP', 'Price Benowitz LLP', 'icon', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'Wrongful Death Lawyer in Washington, DC', '', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Phone', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Washington DC,2,https://code.dccouncil.gov/us/dc/council/code/titles/16/chapters/27,61,30,11,1516369,24547,77,0,30,0,0,0,,,Chapter 27. Negligence Causing Death. | D.C. Law Library,False,1,['Chapter 27. Negligence Causing Death.'],[False],0,[],[],0,[],[],4,"['Council of the District of Columbia logo', 'D.C. Law Library', 'Council of the District of Columbia logo', '']","[False, False, False, False]",False,False
Wrongful Death Lawyer Washington DC,3,https://pricebenowitz.com/dc-injury/wrongful-death-lawyer/faqs/,44,27,-1,74171,55029,1727,102,182,37,3,15,46.0,True,DC Wrongful Death FAQs | Price Benowitz LLP,True,1,['DC Wrongful Death FAQs'],[True],9,"['What Qualifies as a Wrongful Death in DC?', 'Who is Eligible to File a Wrongful Death Suit?', 'How Much Time Do I Have to File a Wrongful Death Lawsuit in DC?', 'Can a Wrongful Death Suit be Filed if there is Already a Criminal Case in Process?', 'What Types of Damages may be Recovered for Wrongful Death?', 'How are damages distributed?', 'Is it likely that my wrongful death case will be tried in court?', 'What is the cost for hiring an attorney to handle a wrongful death case?', 'Will I have to pay for a consultation if I do not choose to hire your firm?']","[True, True, True, True, True, False, True, True, False]",0,[],[],22,"['Price Benowitz LLP', 'Price Benowitz LLP', 'icon', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Phone', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Washington DC,4,https://www.ashcraftandgerel.com/washington-dc/practice-areas/wrongful-death/,30,26,1,24623,2177,2850,311,108,58,5,18,1.0,True,"Washington, D.C. Wrongful Death Lawyers | Free Consultations",True,1,"['Wrongful Death Lawyers in Washington, D.C.']",[True],5,"['Compassionate Representation; Aggressive Advocacy', 'Washington, DC Blog Posts:', 'Seller Financed Home Ownership: A Dream or Nightmare', 'Solutions to Feeling Pressured to Return to Work', 'Ashcraft & Gerel Set for January 2019 Trial Against J&J']","[False, False, False, False, False]",10,"['Who Is Allowed to File a Wrongful Death Claim in the District of Columbia?', 'Different Types of Wrongful Death', 'Who Can Be Sued for Wrongful Death?', 'What Damages Are Usually Awarded in Wrongful Death Suits?', 'The Statute of Limitations for Filing a Wrongful Death Claim in the District of Columbia', 'How Can Survivors File a Wrongful Death Case?', 'How Damages Are Allocated to the Deceased’s Family Members', 'Can a Wrongful Death Lawyer Help with Claims against the Federal Government?', 'Frequently Asked Questions about Wrongful Death in the District of Columbia', 'Hiring a Washington, D.C. Wrongful Death Lawyer']","[True, True, True, True, True, True, False, True, True, True]",3,"['Ashcraft And Gerel', 'Ashcraft And Gerel Logo', 'Ashcraft and Gerel']","[False, False, False]",True,False
Wrongful Death Lawyer Washington DC,5,https://www.nolo.com/legal-encyclopedia/wrongful-death-lawsuits-the-district-columbia.html,72,43,1,21525812,1824748,1238,0,73,34,0,15,114.0,True,"Washington, D.C. Wrongful Death Law | Nolo",True,1,['Wrongful Death Lawsuits in the District of Columbia'],[True],6,"['A look at wrongful death claims in the District of Columbia, including who can file the lawsuit, types of potential damages, and more.', 'What Is ""Wrongful Death"" in Washington, D.C.?', 'Who Can File a Wrongful Death Lawsuit in the District of Columbia?', 'What Damages Are Available in a District of Columbia Wrongful Death Case?', 'How Long Do I Have to File a Wrongful Death Claim in Washington, D.C.?', 'Talk to a Wrongful Death attorney.']","[True, True, True, True, True, True]",1,['Talk to a Lawyer'],[False],12,"['NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer Washington DC,6,https://www.paulsonandnace.com/practice-areas/personal-injury/wrongful-death/,35,28,1,80517,2260,736,105,86,10,1,3,14.0,True,Washington D.C. Wrongful Death Attorneys,True,1,['Help When Your Life Has Been Changed Irreparably by a Wrongful Death'],[True],7,"['Skilled trial attorneys protecting the futures of Washington, D.C. families', 'The reasons behind wrongful deaths', 'Ealy v. Merrell Dow', 'Hamilton v. Kaiser Permanente', 'Kasdin v. GWU & GWU Health Plan', 'Gerver v. Benavides, M.D.', 'Cappadona v. Nimetz']","[False, True, False, False, False, False, False]",2,"['Learn more about wrongful death claims in Washington, D.C.', 'Contact Law Firm']","[True, False]",14,"['Paulson & Nace, PLLC Logo', 'Washington DC Wrongful Death Lawyers', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'Paulson & Nace', 'NO ALT']","[False, True, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Washington DC,7,https://www.lightfootlawdc.com/practice-areas/personal-injury/wrongful-death/,18,8,1,14978,111,1666,80,0,41,0,18,28.0,True,"Washington, D.C. Wrongful Death Attorneys",True,1,"['Washington, D.C. Wrongful Death Lawyers']",[True],8,"['A Washington, D.C., Wrongful Death Attorney Can Help You', 'What is a Wrongful Death?', 'What is a Survival Action?', 'Who Can File a Wrongful Death Claim in Washington, D.C.?', 'Proving a Wrongful Death Claim in Washington, D.C.', 'Compensation for a Wrongful Death Accident', 'Washington, D.C. Statute of Limitations for Wrongful Death Claims', 'Contact an Experienced Wrongful Death Attorney Today']","[True, True, False, True, True, True, True, True]",2,"['Practice Areas', 'Request your free consultation']","[False, False]",4,"['Lightfoot Law, PLLC', 'Lightfoot Law, PLLC', '', 'Lightfoot Law, PLLC']","[False, False, False, False]",True,False
Wrongful Death Lawyer Washington DC,8,https://bencrump.com/areas-we-serve/washington-dc/wrongful-death-lawyer/,49,27,3,30198,6125,1581,74,103,61,13,41,3.0,True,Washington DC Wrongful Death Lawyers | Ben Crump,True,1,['Washington DC Wrongful Death Lawyer'],[True],11,"['How Wrongful Death Lawsuits Are Determined', 'Wrongful Death Claim Eligibility', 'Financial Compensation For Wrongful Death', 'How Ben Crump Law, PLLC Can Help You', 'Wrongful Death FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[True, True, True, False, True, False, False, False, False, False, False]",8,"['Circumstances Involving Wrongful Death', 'Statute of Limitations on Wrongful Death Cases', 'Spouse or Domestic Partner', 'Child', 'Parent', 'Sibling', 'Other Beneficiary', 'Additional Locations']","[True, True, False, False, False, False, False, False]",15,"['Ben Crump Logo', 'Washington DC Wrongful Death Lawyer', 'What Is the Difference Between Wrongful Death and Survival Action?', 'a young widow resting her hand on her husband’s casket', 'What Takes Time in Wrongful Death Lawsuits', 'Does Insurance Cover Wrongful Death?', 'What Is the Difference Between Wrongful Death and Survival Action?', 'How Do You Prove Wrongful Death?', 'What Takes Time in Wrongful Death Lawsuits', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, True, False, True, True, True, True, True, False, False, False, False, False, False]",True,False
Wrongful Death Lawyer Washington DC,9,https://www.mcclellanlaw.com/personal-injury/wrongful-death/,35,29,1,38193,2547,1835,186,81,23,0,22,3.0,True,San Diego Wrongful Death Lawyer | McClellan Law Firm,True,1,['San Diego Wrongful Death Lawyer'],[True],1,['Who Can File a Wrongful Death Lawsuit?'],[True],6,"['When Is a Death Considered ""Wrongful?""', 'How Much Time Do I Have to File a Lawsuit?', 'What Type of Compensation Could I Be Entitled to?', 'Criminal Charges vs. Wrongful Death Lawsuits', 'Why File a Wrongful Death Lawsuit?', 'Skilled Representation for Wrongful Death Lawsuits']","[False, False, False, True, True, True]",32,"['', 'The McClellan Law Firm', '', '', 'Craig R. McClellan', 'Conor J. Hulburt', 'Carlie Ramos', 'Barbara Rope', 'Shannon McClellan', 'Endorced by the Inner Circle of Advocates', 'Best Lawyers in America 2020', '', 'Best Lawers ""Best Law Firms"" - Personal Injury Litigation Plaintifs Tier 1, 2016', 'Best Lawyers ""Best Law Firms"" - Commercial Litigation Tier 1, 2016', 'Best Lawyers ""Best Law Firms"" - Product Liability Tier 1, 2016', '', 'Top 10 Settlements', 'Craig McClellan selected to Super Lawyers list, Top 10 San Diego Attorneys', '', '2020 AV Preeminent Peer Rated', ""America's Top 100 Personal Injury Attorneys"", 'Craig McClellan is rated 10.0 on Avvo - Top rated Personal Injury Lawyer', 'BBB Accredited Business', 'Consumer Attorneys of San Diego', 'Attorney Craig McClellan was named as one of the “Best Attorneys” by the Los Angeles Times.', 'Attorney Craig McClellan named “Best Lawyers” by San Diego Metro.', 'Attorney Craig McClellan named Top Lawyers in San Diego in Business Litigation by San Diego Magazine.', '', 'Craig and Conor standing in front of a brick wall', 'The McClellan Law Firm', 'Scorpion Legal Internet Marketing', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",False,False
Wrongful Death Lawyer Washington DC,10,https://www.simeonemiller.com/personal-injury/wrongful-death/,37,25,1,11554,873,1347,128,105,23,6,8,21.0,True,"Washington DC Wrongful Death Lawyer | Simeone & Miller, LLP",True,1,['Washington DC Wrongful Death Attorneys'],[True],6,"['Serving Maryland, Virginia & Washington DC', 'Filing a Claim for Death Caused by Negligence', 'Recoverable Damages in a Wrongful Death Case', 'Who Can Sue for Wrongful Death in Washington DC?', 'Determining the Proper Jurisdiction for Your Case', 'Call Simeone & Miller, LLP for a Free Consultation']","[False, False, True, True, False, False]",1,"['How is ""Misconduct"" Defined by Law?']",[False],6,"['', '', 'Simeone & Miller, LLP', 'Simeone & Miller, LLP', 'Internet Marketing Experts', '']","[False, False, False, False, False, False]",False,False
